Gene,Target,Custom_Color_Target
ENSG00000109576,MitoCarta,Green
ENSG00000124608,MitoCarta,Green
ENSG00000008311,MitoCarta,Green
ENSG00000183044,MitoCarta,Green
ENSG00000179869,MitoCarta,Green
ENSG00000154258,MitoCarta,Green
ENSG00000135776,MitoCarta,Green
ENSG00000115657,MitoCarta,Green
ENSG00000131269,MitoCarta,Green
ENSG00000197150,MitoCarta,Green
ENSG00000150967,MitoCarta,Green
ENSG00000101986,MitoCarta,Green
ENSG00000173208,MitoCarta,Green
ENSG00000117528,MitoCarta,Green
ENSG00000033050,MitoCarta,Green
ENSG00000144827,MitoCarta,Green
ENSG00000106077,MitoCarta,Green
ENSG00000060971,MitoCarta,Green
ENSG00000167315,MitoCarta,Green
ENSG00000278540,MitoCarta,Green
ENSG00000076555,MitoCarta,Green
ENSG00000111271,MitoCarta,Green
ENSG00000240303,MitoCarta,Green
ENSG00000151498,MitoCarta,Green
ENSG00000177646,MitoCarta,Green
ENSG00000115361,MitoCarta,Green
ENSG00000117054,MitoCarta,Green
ENSG00000122971,MitoCarta,Green
ENSG00000196177,MitoCarta,Green
ENSG00000072778,MitoCarta,Green
ENSG00000075239,MitoCarta,Green
ENSG00000110455,MitoCarta,Green
ENSG00000131473,MitoCarta,Green
ENSG00000122729,MitoCarta,Green
ENSG00000100412,MitoCarta,Green
ENSG00000112304,MitoCarta,Green
ENSG00000119673,MitoCarta,Green
ENSG00000097021,MitoCarta,Green
ENSG00000123130,MitoCarta,Green
ENSG00000161533,MitoCarta,Green
ENSG00000087008,MitoCarta,Green
ENSG00000162836,MitoCarta,Green
ENSG00000167107,MitoCarta,Green
ENSG00000176715,MitoCarta,Green
ENSG00000151726,MitoCarta,Green
ENSG00000068366,MitoCarta,Green
ENSG00000164398,MitoCarta,Green
ENSG00000166743,MitoCarta,Green
ENSG00000183747,MitoCarta,Green
ENSG00000005187,MitoCarta,Green
ENSG00000183549,MitoCarta,Green
ENSG00000154930,MitoCarta,Green
ENSG00000111058,MitoCarta,Green
ENSG00000170634,MitoCarta,Green
ENSG00000063761,MitoCarta,Green
ENSG00000133597,MitoCarta,Green
ENSG00000173137,MitoCarta,Green
ENSG00000147576,MitoCarta,Green
ENSG00000135537,MitoCarta,Green
ENSG00000141385,MitoCarta,Green
ENSG00000006530,MitoCarta,Green
ENSG00000116771,MitoCarta,Green
ENSG00000155189,MitoCarta,Green
ENSG00000106541,MitoCarta,Green
ENSG00000172482,MitoCarta,Green
ENSG00000113492,MitoCarta,Green
ENSG00000168710,MitoCarta,Green
ENSG00000156709,MitoCarta,Green
ENSG00000042286,MitoCarta,Green
ENSG00000183773,MitoCarta,Green
ENSG00000004455,MitoCarta,Green
ENSG00000147853,MitoCarta,Green
ENSG00000162433,MitoCarta,Green
ENSG00000121057,MitoCarta,Green
ENSG00000108599,MitoCarta,Green
ENSG00000198074,MitoCarta,Green
ENSG00000053371,MitoCarta,Green
ENSG00000023330,MitoCarta,Green
ENSG00000158578,MitoCarta,Green
ENSG00000059573,MitoCarta,Green
ENSG00000137124,MitoCarta,Green
ENSG00000144908,MitoCarta,Green
ENSG00000136010,MitoCarta,Green
ENSG00000111275,MitoCarta,Green
ENSG00000072210,MitoCarta,Green
