Gene,Target,Custom_Color_Target,Custom_Color_Seed
ENSG00000179091,MitoCarta,Blue,
ENSG00000117118,MitoCarta,Blue,
ENSG00000167186,MitoCarta,Blue,
ENSG00000073578,MitoCarta,Blue,
ENSG00000010256,MitoCarta,Blue,
ENSG00000110871,MitoCarta,Blue,
ENSG00000131828,MitoCarta,Blue,
ENSG00000088682,MitoCarta,Blue,
ENSG00000262814,MitoCarta,Blue,
ENSG00000099624,MitoCarta,Blue,
ENSG00000178741,MitoCarta,Blue,
ENSG00000165898,MitoCarta,Blue,
ENSG00000105819,MitoCarta,Blue,
ENSG00000169021,MitoCarta,Blue,
ENSG00000152234,MitoCarta,Blue,
ENSG00000105953,MitoCarta,Blue,
ENSG00000168291,MitoCarta,Blue,
ENSG00000140740,MitoCarta,Blue,
ENSG00000204370,MitoCarta,Blue,
ENSG00000061794,MitoCarta,Blue,
ENSG00000164405,MitoCarta,Blue,
ENSG00000204822,MitoCarta,Blue,
ENSG00000137992,MitoCarta,Blue,
ENSG00000004799,MitoCarta,Blue,
ENSG00000146701,MitoCarta,Blue,
ENSG00000113048,MitoCarta,Blue,
ENSG00000062485,MitoCarta,Blue,
ENSG00000109519,MitoCarta,Blue,
ENSG00000150768,MitoCarta,Blue,
ENSG00000138095,MitoCarta,Blue,
ENSG00000119689,MitoCarta,Blue,
ENSG00000110435,MitoCarta,Blue,
ENSG00000168827,MitoCarta,Blue,
ENSG00000143158,MitoCarta,Blue,
ENSG00000023228,MitoCarta,Blue,
ENSG00000259494,MitoCarta,Blue,
ENSG00000124172,MitoCarta,Blue,
ENSG00000075415,MitoCarta,Blue,
ENSG00000181610,MitoCarta,Blue,
ENSG00000091483,MitoCarta,Blue,
ENSG00000165688,MitoCarta,Blue,
ENSG00000110955,MitoCarta,Blue,
ENSG00000154079,MitoCarta,Blue,
ENSG00000184076,MitoCarta,Blue,
ENSG00000135070,MitoCarta,Blue,
ENSG00000136143,MitoCarta,Blue,
ENSG00000132423,MitoCarta,Blue,
ENSG00000067704,MitoCarta,Blue,
ENSG00000116898,MitoCarta,Blue,
ENSG00000166411,MitoCarta,Blue,
ENSG00000166260,MitoCarta,Blue,
ENSG00000171503,MitoCarta,Blue,
ENSG00000134809,MitoCarta,Blue,
ENSG00000130312,MitoCarta,Blue,
ENSG00000112651,MitoCarta,Blue,
ENSG00000248098,MitoCarta,Blue,
ENSG00000173660,MitoCarta,Blue,
ENSG00000146066,MitoCarta,Blue,
ENSG00000241837,MitoCarta,Blue,
ENSG00000127884,MitoCarta,Blue,
ENSG00000050426,MitoCarta,Blue,
ENSG00000111775,MitoCarta,Blue,
ENSG00000014919,MitoCarta,Blue,
ENSG00000141385,MitoCarta,Blue,
ENSG00000084754,MitoCarta,Blue,
ENSG00000140374,MitoCarta,Blue,
ENSG00000115286,MitoCarta,Blue,
ENSG00000157184,MitoCarta,Blue,
ENSG00000083123,MitoCarta,Blue,
ENSG00000101365,MitoCarta,Blue,
ENSG00000011376,MitoCarta,Blue,
