ID,custom_color
ENSG00000233927,Red
ENSG00000197958,Red
ENSG00000182899,Red
ENSG00000280969,Red
ENSG00000136942,Red
ENSG00000185414,Red
ENSG00000105364,Red
ENSG00000108298,Red
ENSG00000231500,Red
ENSG00000142676,Red
ENSG00000266472,Red
ENSG00000166441,Red
ENSG00000114391,Red
ENSG00000202526,Red
ENSG00000201321,Red
ENSG00000134419,Red
ENSG00000165496,Red
ENSG00000112651,Red
ENSG00000147604,Red
ENSG00000137154,Red
ENSG00000278233,Red
ENSG00000161970,Red
ENSG00000108107,Red
ENSG00000096080,Red
ENSG00000105372,Red
ENSG00000145425,Red
ENSG00000166902,Red
ENSG00000122406,Red
ENSG00000158042,Red
ENSG00000108826,Red
ENSG00000201355,Red
ENSG00000083845,Red
ENSG00000137547,Red
ENSG00000124614,Red
ENSG00000197756,Red
ENSG00000211459,Red
ENSG00000129824,Red
ENSG00000202257,Red
ENSG00000165502,Red
ENSG00000200343,Red
ENSG00000086504,Red
ENSG00000215472,Red
ENSG00000048544,Red
ENSG00000221983,Red
ENSG00000177954,Red
ENSG00000265681,Red
ENSG00000112306,Red
ENSG00000122140,Red
ENSG00000199334,Red
ENSG00000199337,Red
ENSG00000135972,Red
ENSG00000198242,Red
ENSG00000186468,Red
ENSG00000167526,Red
ENSG00000125691,Red
ENSG00000163584,Red
ENSG00000239789,Red
ENSG00000105193,Red
ENSG00000008988,Red
ENSG00000200624,Red
ENSG00000275215,Red
ENSG00000182774,Red
ENSG00000170889,Red
ENSG00000143947,Red
ENSG00000199910,Red
ENSG00000180992,Red
ENSG00000161016,Red
ENSG00000202521,Red
ENSG00000171863,Red
ENSG00000198034,Red
ENSG00000128626,Red
ENSG00000156482,Red
ENSG00000148303,Red
ENSG00000174444,Red
ENSG00000130312,Red
ENSG00000120333,Red
ENSG00000110700,Red
ENSG00000182180,Red
ENSG00000116251,Red
ENSG00000071082,Red
ENSG00000241343,Red
ENSG00000177600,Red
ENSG00000198918,Red
ENSG00000188846,Red
ENSG00000164587,Red
ENSG00000063177,Red
ENSG00000115268,Red
ENSG00000089009,Red
ENSG00000214026,Red
ENSG00000243927,Red
ENSG00000270800,Red
ENSG00000199352,Red
ENSG00000172172,Red
ENSG00000201588,Red
ENSG00000278189,Red
ENSG00000143314,Red
ENSG00000169288,Red
ENSG00000142534,Red
ENSG00000185088,Red
ENSG00000197728,Red
ENSG00000199270,Red
ENSG00000131469,Red
ENSG00000114686,Red
ENSG00000137818,Red
ENSG00000276700,Red
ENSG00000143436,Red
ENSG00000130255,Red
ENSG00000200370,Red
ENSG00000142937,Red
ENSG00000089157,Red
ENSG00000201925,Red
ENSG00000163682,Red
ENSG00000242485,Red
ENSG00000149806,Red
ENSG00000116898,Red
ENSG00000106591,Red
ENSG00000109475,Red
ENSG00000198755,Red
ENSG00000257529,Red
ENSG00000197345,Red
ENSG00000181991,Red
ENSG00000125445,Red
ENSG00000149273,Red
ENSG00000243147,Red
ENSG00000112110,Red
ENSG00000174547,Red
ENSG00000138326,Red
ENSG00000171421,Red
ENSG00000174748,Red
ENSG00000144029,Red
ENSG00000162244,Red
ENSG00000144713,Red
ENSG00000082515,Red
ENSG00000140988,Red
ENSG00000274917,Red
ENSG00000171858,Red
ENSG00000115364,Red
ENSG00000262814,Red
ENSG00000140986,Red
ENSG00000137876,Red
ENSG00000122026,Red
ENSG00000147403,Red
ENSG00000100316,Red
ENSG00000118181,Red
ENSG00000145592,Red
ENSG00000132313,Red
ENSG00000199396,Red
ENSG00000142541,Red
ENSG00000105640,Red
ENSG00000163319,Red
ENSG00000172809,Red
ENSG00000229117,Red
ENSG00000213741,Red
ENSG00000168028,Red
ENSG00000037241,Red
ENSG00000210082,Red
ENSG00000200381,Red
ENSG00000159111,Red
