Gene1,Gene2,Score
ENSG00000138029,ENSG00000084754,0.99998
ENSG00000012048,ENSG00000138376,0.999934
ENSG00000196419,ENSG00000079246,0.999997
ENSG00000103197,ENSG00000165699,0.999014
ENSG00000177606,ENSG00000170345,0.999492
ENSG00000141510,ENSG00000135679,1
ENSG00000101266,ENSG00000070770,0.999769
ENSG00000110092,ENSG00000135446,0.999182
ENSG00000166949,ENSG00000141646,0.999702
ENSG00000137312,ENSG00000132589,0.999658
ENSG00000169032,ENSG00000102882,0.999535
ENSG00000198909,ENSG00000161011,0.999308
ENSG00000122705,ENSG00000141367,0.999515
ENSG00000109320,ENSG00000100906,0.999083
ENSG00000175387,ENSG00000141646,0.999954
ENSG00000136997,ENSG00000125952,0.999132
ENSG00000082701,ENSG00000103126,0.999643
ENSG00000156976,ENSG00000161960,0.999931
ENSG00000116478,ENSG00000196591,0.999977
ENSG00000096717,ENSG00000141510,0.999607
ENSG00000137076,ENSG00000035403,0.999146
ENSG00000168040,ENSG00000064012,0.999447
ENSG00000175104,ENSG00000198909,0.999109
ENSG00000134982,ENSG00000103126,0.999752
ENSG00000039068,ENSG00000168036,0.999914
ENSG00000134982,ENSG00000168036,0.9999
ENSG00000117748,ENSG00000132383,0.999403
ENSG00000096717,ENSG00000100393,0.999151
ENSG00000127616,ENSG00000099956,0.999987
ENSG00000080503,ENSG00000073584,0.999871
ENSG00000124762,ENSG00000123374,0.999554
ENSG00000118260,ENSG00000177606,0.999809
ENSG00000168036,ENSG00000044115,0.999634
ENSG00000173801,ENSG00000039068,0.999873
ENSG00000160691,ENSG00000177885,0.999801
ENSG00000197122,ENSG00000146648,0.999119
ENSG00000146648,ENSG00000141736,0.999422
ENSG00000100030,ENSG00000169032,0.999923
ENSG00000050820,ENSG00000099942,0.999375
ENSG00000169083,ENSG00000204209,0.999056
ENSG00000103275,ENSG00000169083,0.999448
ENSG00000110330,ENSG00000127191,0.99972
ENSG00000173039,ENSG00000116478,0.999203
ENSG00000146648,ENSG00000177885,0.99944
ENSG00000160691,ENSG00000146648,0.999568
ENSG00000102882,ENSG00000105974,0.999101
ENSG00000146648,ENSG00000105974,0.999152
ENSG00000166949,ENSG00000175387,0.999642
ENSG00000168036,ENSG00000103126,0.999542
ENSG00000104365,ENSG00000269335,0.999585
ENSG00000100906,ENSG00000104365,0.999028
ENSG00000269335,ENSG00000213341,0.999592
ENSG00000198909,ENSG00000108953,0.99947
ENSG00000198909,ENSG00000105401,0.999207
ENSG00000113558,ENSG00000166167,0.999864
ENSG00000198909,ENSG00000080824,0.999554
ENSG00000213341,ENSG00000104365,0.999947
ENSG00000121481,ENSG00000178691,0.999983
ENSG00000121481,ENSG00000141570,0.999884
ENSG00000103197,ENSG00000100030,0.999007
ENSG00000139842,ENSG00000111530,0.999794
ENSG00000158290,ENSG00000111530,0.999706
ENSG00000169016,ENSG00000106462,0.999053
ENSG00000100387,ENSG00000055130,0.999917
ENSG00000108055,ENSG00000123374,0.999133
ENSG00000139180,ENSG00000213619,0.999753
ENSG00000161011,ENSG00000150991,0.999003
ENSG00000102054,ENSG00000106462,0.999956
ENSG00000158290,ENSG00000043093,0.999988
ENSG00000121481,ENSG00000183337,0.999491
ENSG00000100393,ENSG00000141510,0.999889
ENSG00000123374,ENSG00000072501,0.99926
ENSG00000043093,ENSG00000055130,0.99999
ENSG00000121022,ENSG00000168090,0.999497
ENSG00000178691,ENSG00000113648,0.999797
ENSG00000141570,ENSG00000168283,0.999582
ENSG00000134686,ENSG00000168283,0.999302
ENSG00000073584,ENSG00000127616,0.999974
ENSG00000141646,ENSG00000112742,0.999434
ENSG00000173473,ENSG00000099956,0.999993
ENSG00000108094,ENSG00000134086,0.999999
ENSG00000164754,ENSG00000072501,0.999964
ENSG00000173801,ENSG00000134982,0.99965
ENSG00000121481,ENSG00000115289,0.999606
ENSG00000055130,ENSG00000113558,0.999753
ENSG00000196363,ENSG00000118260,0.999228
ENSG00000074266,ENSG00000106462,0.999889
ENSG00000110330,ENSG00000184047,0.999606
ENSG00000108094,ENSG00000043093,0.99999
ENSG00000177889,ENSG00000103266,0.999934
ENSG00000166266,ENSG00000043093,0.999991
ENSG00000121481,ENSG00000168283,0.999848
ENSG00000168283,ENSG00000143569,0.999129
ENSG00000055130,ENSG00000166167,0.999876
ENSG00000106462,ENSG00000178691,0.999894
ENSG00000177606,ENSG00000100393,0.999611
ENSG00000108094,ENSG00000111530,0.999857
ENSG00000132155,ENSG00000100030,0.999
ENSG00000213341,ENSG00000127191,0.999477
ENSG00000169032,ENSG00000149269,0.999234
ENSG00000149269,ENSG00000166333,0.999665
ENSG00000099284,ENSG00000178691,0.999792
ENSG00000100387,ENSG00000134086,0.999875
ENSG00000121481,ENSG00000134686,0.999467
ENSG00000168283,ENSG00000204227,0.999619
ENSG00000171552,ENSG00000165637,0.999015
ENSG00000043093,ENSG00000036257,0.99999
ENSG00000121481,ENSG00000196591,0.999367
ENSG00000113648,ENSG00000121481,0.999689
ENSG00000074266,ENSG00000121481,0.999985
ENSG00000168036,ENSG00000101665,0.999252
ENSG00000196591,ENSG00000185787,0.999397
ENSG00000118260,ENSG00000100393,0.999351
ENSG00000106462,ENSG00000162521,0.999882
ENSG00000035403,ENSG00000168036,0.999505
ENSG00000107643,ENSG00000177606,0.999725
ENSG00000074266,ENSG00000196591,0.999259
ENSG00000139842,ENSG00000113851,0.999317
ENSG00000104365,ENSG00000127191,0.999389
ENSG00000204227,ENSG00000121481,0.999887
ENSG00000141564,ENSG00000198793,0.999788
ENSG00000171346,ENSG00000185640,0.999646
ENSG00000147274,ENSG00000165119,0.999503
ENSG00000204435,ENSG00000101266,0.999805
ENSG00000067369,ENSG00000141510,0.999505
ENSG00000100519,ENSG00000165916,0.999066
ENSG00000101945,ENSG00000122565,0.999927
ENSG00000142192,ENSG00000080815,0.999639
ENSG00000108468,ENSG00000101945,0.999806
ENSG00000108106,ENSG00000134086,0.999993
ENSG00000141510,ENSG00000004487,0.999084
ENSG00000132604,ENSG00000188486,0.999593
ENSG00000066117,ENSG00000173473,0.999962
ENSG00000111725,ENSG00000162409,0.999427
ENSG00000185359,ENSG00000074319,0.999765
ENSG00000129084,ENSG00000179455,0.999121
ENSG00000162961,ENSG00000129691,0.999123
ENSG00000124762,ENSG00000135446,0.999431
ENSG00000131711,ENSG00000172531,0.999427
ENSG00000117748,ENSG00000106399,0.99965
ENSG00000106588,ENSG00000041357,0.999366
ENSG00000099783,ENSG00000169045,0.999385
ENSG00000156976,ENSG00000114867,0.999471
ENSG00000134371,ENSG00000006712,0.999963
ENSG00000188313,ENSG00000099942,0.999366
ENSG00000165119,ENSG00000104897,0.99956
ENSG00000099995,ENSG00000183431,0.999735
ENSG00000183337,ENSG00000115289,0.999914
ENSG00000254772,ENSG00000114942,0.999979
ENSG00000124762,ENSG00000132646,0.999932
ENSG00000145604,ENSG00000055130,0.999974
ENSG00000108953,ENSG00000164924,0.999602
ENSG00000185627,ENSG00000175166,0.999982
ENSG00000187555,ENSG00000141510,0.999136
ENSG00000169217,ENSG00000174231,0.999931
ENSG00000116062,ENSG00000095002,0.999947
ENSG00000173473,ENSG00000127616,0.999986
ENSG00000101945,ENSG00000116478,0.999806
ENSG00000196591,ENSG00000101945,0.999816
ENSG00000204843,ENSG00000094631,0.99931
ENSG00000096401,ENSG00000099783,0.999127
ENSG00000198909,ENSG00000100030,0.99919
ENSG00000166848,ENSG00000132604,0.999471
ENSG00000145335,ENSG00000142192,0.999138
ENSG00000142192,ENSG00000143801,0.999591
ENSG00000131196,ENSG00000177606,0.999334
ENSG00000175166,ENSG00000100764,0.999795
ENSG00000197079,ENSG00000170454,0.999954
ENSG00000105618,ENSG00000125835,0.999721
ENSG00000100030,ENSG00000099942,0.99924
ENSG00000111057,ENSG00000185640,0.999907
ENSG00000070770,ENSG00000204435,0.99964
ENSG00000118260,ENSG00000141510,0.999249
ENSG00000113368,ENSG00000160789,0.999829
ENSG00000167792,ENSG00000165637,0.99946
ENSG00000162521,ENSG00000116478,0.999983
ENSG00000162231,ENSG00000213024,0.999032
ENSG00000204852,ENSG00000168778,0.999039
ENSG00000161960,ENSG00000114867,0.999749
ENSG00000100603,ENSG00000063244,0.999696
ENSG00000108883,ENSG00000174231,0.999861
ENSG00000143368,ENSG00000087365,0.999561
ENSG00000204209,ENSG00000141510,0.999391
ENSG00000101945,ENSG00000096717,0.999944
ENSG00000198909,ENSG00000075711,0.99948
ENSG00000114107,ENSG00000124074,0.99901
ENSG00000122565,ENSG00000130726,0.9997
ENSG00000144566,ENSG00000122126,0.999226
ENSG00000171346,ENSG00000277586,0.999565
ENSG00000105618,ENSG00000147274,0.999528
ENSG00000180900,ENSG00000168036,0.99919
ENSG00000100387,ENSG00000145604,0.999965
ENSG00000141510,ENSG00000183765,0.999514
ENSG00000176619,ENSG00000113368,0.999988
ENSG00000113558,ENSG00000145604,0.999956
ENSG00000044115,ENSG00000173801,0.999845
ENSG00000087586,ENSG00000104695,0.999057
ENSG00000106588,ENSG00000129084,0.999687
ENSG00000101945,ENSG00000132275,0.999389
ENSG00000275714,ENSG00000122565,0.999678
ENSG00000179455,ENSG00000100109,0.999492
ENSG00000100567,ENSG00000041357,0.99944
ENSG00000136146,ENSG00000141026,0.999105
ENSG00000196504,ENSG00000131051,0.999366
ENSG00000141510,ENSG00000112592,0.999703
ENSG00000087365,ENSG00000144028,0.999276
ENSG00000137309,ENSG00000168148,0.999316
ENSG00000147162,ENSG00000172534,0.999158
ENSG00000105048,ENSG00000140416,0.999375
ENSG00000138100,ENSG00000124074,0.999037
ENSG00000051180,ENSG00000141510,0.999484
ENSG00000100603,ENSG00000100138,0.999702
ENSG00000130520,ENSG00000182004,0.999017
ENSG00000100567,ENSG00000159377,0.999594
ENSG00000029725,ENSG00000144566,0.999638
ENSG00000100567,ENSG00000129084,0.999831
ENSG00000131469,ENSG00000114391,0.999324
ENSG00000110107,ENSG00000174231,0.999348
ENSG00000174231,ENSG00000144028,0.999968
ENSG00000088986,ENSG00000146425,0.999099
ENSG00000141367,ENSG00000122126,0.999612
ENSG00000129245,ENSG00000102081,0.999047
ENSG00000065978,ENSG00000135829,0.999444
ENSG00000108094,ENSG00000100387,0.999991
ENSG00000181222,ENSG00000101413,0.999946
ENSG00000103275,ENSG00000141510,0.999528
ENSG00000147140,ENSG00000116560,0.999963
ENSG00000174231,ENSG00000143368,0.999362
ENSG00000123416,ENSG00000258947,0.999158
ENSG00000141510,ENSG00000082898,0.999489
ENSG00000087365,ENSG00000174231,0.999206
ENSG00000118058,ENSG00000129691,0.999989
ENSG00000108883,ENSG00000125835,0.999222
ENSG00000105618,ENSG00000179455,0.999499
ENSG00000072501,ENSG00000108055,0.999584
ENSG00000149480,ENSG00000116478,0.999973
ENSG00000130726,ENSG00000094916,0.999133
ENSG00000167987,ENSG00000185359,0.99949
ENSG00000102081,ENSG00000114416,0.999627
ENSG00000171346,ENSG00000170454,0.999668
ENSG00000131462,ENSG00000082701,0.999153
ENSG00000104722,ENSG00000277586,0.99998
ENSG00000066117,ENSG00000099956,0.99969
ENSG00000074266,ENSG00000178691,0.999986
ENSG00000203852,ENSG00000168148,0.999475
ENSG00000116478,ENSG00000102054,0.99994
ENSG00000275713,ENSG00000113648,0.999337
ENSG00000100028,ENSG00000125835,0.999931
ENSG00000185069,ENSG00000094796,0.999891
ENSG00000104897,ENSG00000135486,0.999509
ENSG00000168036,ENSG00000089159,0.999485
ENSG00000164754,ENSG00000101972,0.999749
ENSG00000186298,ENSG00000141510,0.999558
ENSG00000196363,ENSG00000172534,0.999814
ENSG00000044115,ENSG00000035403,0.999607
ENSG00000096717,ENSG00000141027,0.999381
ENSG00000140575,ENSG00000168036,0.999342
ENSG00000138668,ENSG00000165119,0.999644
ENSG00000102054,ENSG00000149480,0.999677
ENSG00000132155,ENSG00000099942,0.999215
ENSG00000118058,ENSG00000196363,0.999956
ENSG00000185640,ENSG00000131737,0.999783
ENSG00000168283,ENSG00000106462,0.999861
ENSG00000135486,ENSG00000170144,0.999867
ENSG00000094796,ENSG00000131095,0.999251
ENSG00000111057,ENSG00000171346,0.999924
ENSG00000176619,ENSG00000160789,0.999879
ENSG00000104529,ENSG00000254772,0.999976
ENSG00000165527,ENSG00000206450,0.99937
ENSG00000104897,ENSG00000125835,0.999835
ENSG00000169564,ENSG00000165119,0.999265
ENSG00000134982,ENSG00000101367,0.999311
ENSG00000170454,ENSG00000094796,0.99997
ENSG00000108055,ENSG00000164754,0.999891
ENSG00000141510,ENSG00000116478,0.999529
ENSG00000043093,ENSG00000123091,0.999978
ENSG00000131095,ENSG00000171346,0.999943
ENSG00000204889,ENSG00000185069,0.999693
ENSG00000100804,ENSG00000100567,0.999844
ENSG00000167986,ENSG00000158290,0.999878
ENSG00000185640,ENSG00000197079,0.999696
ENSG00000100902,ENSG00000100567,0.99972
ENSG00000139842,ENSG00000167986,0.99995
ENSG00000170454,ENSG00000131737,0.999726
ENSG00000185627,ENSG00000100567,0.999837
ENSG00000097007,ENSG00000099942,0.999131
ENSG00000161057,ENSG00000175166,0.999695
ENSG00000131828,ENSG00000152256,0.999638
ENSG00000104897,ENSG00000077312,0.999436
ENSG00000145425,ENSG00000164587,0.999769
ENSG00000092199,ENSG00000087365,0.999877
ENSG00000124074,ENSG00000080561,0.999073
ENSG00000145335,ENSG00000148798,0.999896
ENSG00000143549,ENSG00000105048,0.999733
ENSG00000132604,ENSG00000196419,0.999165
ENSG00000189091,ENSG00000108883,0.999766
ENSG00000184678,ENSG00000203852,0.999212
ENSG00000171345,ENSG00000185640,0.999622
ENSG00000169045,ENSG00000125835,0.999445
ENSG00000080815,ENSG00000143801,0.999086
ENSG00000167987,ENSG00000074319,0.999559
ENSG00000101210,ENSG00000104529,0.999694
ENSG00000170454,ENSG00000204889,0.999783
ENSG00000204889,ENSG00000166579,0.999702
ENSG00000197102,ENSG00000146425,0.999707
ENSG00000104897,ENSG00000189091,0.999876
ENSG00000165637,ENSG00000213585,0.999828
