ID,custom_color_direction
ENSG00000131584,#NA
ENSG00000097021,#NA
ENSG00000116771,#NA
ENSG00000188157,#NA
ENSG00000177674,#NA
ENSG00000196581,#NA
ENSG00000053371,#NA
ENSG00000162482,#NA
ENSG00000211454,#NA
ENSG00000159423,Green
ENSG00000162551,#NA
ENSG00000171819,#NA
ENSG00000235098,#NA
ENSG00000074964,#NA
ENSG00000130762,#NA
ENSG00000142632,#NA
ENSG00000197785,#NA
ENSG00000160072,#NA
ENSG00000215915,#NA
ENSG00000159363,#NA
ENSG00000175756,#NA
ENSG00000176022,#NA
ENSG00000175262,#NA
ENSG00000131591,Green
ENSG00000198912,#NA
ENSG00000173372,Red
ENSG00000173369,Red
ENSG00000159189,Red
ENSG00000169885,NA
ENSG00000162545,#NA
ENSG00000171735,#NA
ENSG00000077549,#NA
ENSG00000132906,#NA
ENSG00000130940,#NA
ENSG00000221978,#NA
ENSG00000158825,Red
ENSG00000070831,#NA
ENSG00000008128,#NA
ENSG00000248333,#NA
ENSG00000142615,#NA
ENSG00000215704,#NA
ENSG00000175279,NA
ENSG00000116198,#NA
ENSG00000142609,#NA
ENSG00000116254,Green
ENSG00000011021,#NA
ENSG00000186510,#NA
ENSG00000184908,#NA
ENSG00000171603,#NA
ENSG00000241563,NA
ENSG00000224051,#NA
ENSG00000058453,#NA
ENSG00000215908,#NA
ENSG00000080947,#NA
ENSG00000178585,#NA
ENSG00000197312,#NA
ENSG00000244038,#NA
ENSG00000160049,#NA
ENSG00000169598,#NA
ENSG00000162496,#NA
ENSG00000204624,#NA
ENSG00000007923,#NA
ENSG00000116138,#NA
ENSG00000162490,#NA
ENSG00000107404,#NA
ENSG00000117298,#NA
ENSG00000142634,#NA
ENSG00000236698,NA
ENSG00000075151,#NA
ENSG00000127463,#NA
ENSG00000074800,#NA
ENSG00000142627,Red
ENSG00000070886,Green
ENSG00000133216,#NA
ENSG00000116285,#NA
ENSG00000187017,#NA
ENSG00000171824,#NA
ENSG00000162585,#NA
ENSG00000185519,#NA
ENSG00000157870,#NA
ENSG00000183114,#NA
ENSG00000162458,#NA
ENSG00000116661,#NA
ENSG00000037637,#NA
ENSG00000132879,#NA
ENSG00000116663,#NA
ENSG00000142621,#NA
ENSG00000228594,Green
ENSG00000187730,#NA
ENSG00000078369,#NA
ENSG00000158292,#NA
ENSG00000180758,#NA
ENSG00000049239,Green
ENSG00000188290,#NA
ENSG00000273529,NA
ENSG00000127483,#NA
ENSG00000173641,#NA
ENSG00000142798,Red
ENSG00000179546,#NA
ENSG00000116237,#NA
ENSG00000169991,#NA
ENSG00000117154,#NA
ENSG00000127054,#NA
ENSG00000187608,#NA
ENSG00000189337,#NA
ENSG00000234593,NA
ENSG00000069424,#NA
ENSG00000004487,#NA
ENSG00000116685,#NA
ENSG00000117245,#NA
ENSG00000054523,#NA
ENSG00000187961,Red
ENSG00000162413,#NA
ENSG00000225880,#NA
ENSG00000218510,#NA
ENSG00000177133,#NA
ENSG00000228794,#NA
ENSG00000236963,#NA
ENSG00000261326,#NA
ENSG00000226029,Green
ENSG00000230415,#NA
ENSG00000162494,#NA
ENSG00000130764,#NA
ENSG00000169641,#NA
ENSG00000162441,Red
ENSG00000116670,#NA
ENSG00000009724,#NA
ENSG00000162591,#NA
ENSG00000116688,#NA
ENSG00000197530,#NA
ENSG00000116691,#NA
ENSG00000173436,#NA
ENSG00000228526,#NA
ENSG00000284005,NA
ENSG00000189409,NA
ENSG00000116151,#NA
ENSG00000242485,#NA
ENSG00000053372,#NA
ENSG00000186715,#NA
ENSG00000186301,#NA
ENSG00000248527,#NA
ENSG00000237973,Green
ENSG00000229344,Green
ENSG00000198744,Green
ENSG00000177000,#NA
ENSG00000225972,Green
ENSG00000225630,Green
ENSG00000198793,#NA
ENSG00000090432,#NA
ENSG00000162576,#NA
ENSG00000008130,#NA
ENSG00000158747,Green
ENSG00000219481,#NA
ENSG00000142794,#NA
ENSG00000157191,#NA
ENSG00000173614,#NA
ENSG00000188976,#NA
ENSG00000162408,#NA
ENSG00000131697,#NA
ENSG00000175206,NA
ENSG00000169914,#NA
ENSG00000142623,NA
ENSG00000117115,#NA
ENSG00000159339,NA
ENSG00000273494,NA
ENSG00000116288,#NA
ENSG00000009709,#NA
ENSG00000162493,#NA
ENSG00000049246,#NA
ENSG00000157911,#NA
ENSG00000142655,#NA
ENSG00000142657,#NA
ENSG00000116273,#NA
ENSG00000171608,Red
ENSG00000158828,Red
ENSG00000117242,#NA
ENSG00000188257,NA
ENSG00000127472,Green
ENSG00000276429,NA
ENSG00000171680,#NA
ENSG00000116786,#NA
ENSG00000083444,#NA
ENSG00000040487,Green
