ID,custom_color_deubiquitination
ENSG00000137486,Red
ENSG00000133135,Red
ENSG00000141378,Red
ENSG00000166987,Red
ENSG00000181481,Red
ENSG00000213585,Red
ENSG00000041357,Red
ENSG00000273703,Red
ENSG00000175792,Red
ENSG00000111667,Red
ENSG00000124635,Red
ENSG00000118939,Red
ENSG00000127191,Red
ENSG00000248920,Red
ENSG00000126858,Red
ENSG00000101442,Red
ENSG00000168646,Red
ENSG00000019995,Red
ENSG00000090432,Red
ENSG00000092853,Red
ENSG00000150991,Red
ENSG00000165097,Red
ENSG00000099341,Red
ENSG00000196890,Red
ENSG00000126581,Red
ENSG00000114316,Red
ENSG00000162711,Red
ENSG00000108344,Red
ENSG00000105619,Red
ENSG00000236125,Red
ENSG00000141568,Red
ENSG00000108854,Red
ENSG00000100644,Red
ENSG00000233136,Red
ENSG00000106799,Red
ENSG00000107201,Red
ENSG00000164916,Red
ENSG00000158373,Red
ENSG00000136014,Red
ENSG00000173692,Red
ENSG00000124356,Red
ENSG00000100393,Red
ENSG00000167207,Red
ENSG00000180596,Red
ENSG00000232399,Red
ENSG00000175073,Red
ENSG00000116750,Red
ENSG00000184979,Red
ENSG00000166949,Red
ENSG00000185627,Red
ENSG00000248933,Red
ENSG00000048028,Red
ENSG00000175387,Red
ENSG00000277224,Red
ENSG00000079999,Red
ENSG00000083799,Red
ENSG00000276410,Red
ENSG00000103194,Red
ENSG00000113812,Red
ENSG00000100324,Red
ENSG00000147162,Red
ENSG00000129559,Red
ENSG00000159377,Red
ENSG00000115233,Red
ENSG00000169918,Red
ENSG00000166192,Red
ENSG00000230549,Red
ENSG00000172534,Red
ENSG00000112335,Red
ENSG00000222028,Red
ENSG00000170315,Red
ENSG00000170312,Red
ENSG00000107485,Red
ENSG00000134588,Red
ENSG00000196367,Red
ENSG00000233822,Red
ENSG00000100811,Red
ENSG00000013275,Red
ENSG00000227140,Red
ENSG00000036672,Red
ENSG00000130706,Red
ENSG00000175166,Red
ENSG00000250844,Red
ENSG00000225327,Red
ENSG00000187555,Red
ENSG00000143970,Red
ENSG00000114933,Red
ENSG00000223443,Red
ENSG00000275221,Red
ENSG00000101843,Red
ENSG00000184481,Red
ENSG00000170365,Red
ENSG00000134574,Red
ENSG00000275713,Red
ENSG00000141480,Red
ENSG00000154611,Red
ENSG00000156256,Red
ENSG00000221983,Red
ENSG00000203812,Red
ENSG00000001626,Red
ENSG00000072401,Red
ENSG00000203814,Red
ENSG00000161677,Red
ENSG00000196787,Red
ENSG00000274641,Red
ENSG00000249104,Red
ENSG00000087206,Red
ENSG00000135913,Red
ENSG00000196747,Red
ENSG00000166337,Red
ENSG00000119318,Red
ENSG00000087191,Red
ENSG00000170242,Red
ENSG00000164663,Red
ENSG00000012048,Red
ENSG00000138376,Red
ENSG00000115274,Red
ENSG00000278463,Red
ENSG00000107854,Red
ENSG00000181788,Red
ENSG00000143947,Red
ENSG00000169592,Red
ENSG00000070010,Red
ENSG00000136930,Red
ENSG00000180667,Red
ENSG00000134982,Red
ENSG00000141510,Red
