ID,custom_color,
ENSG00000115977,red,lauren
ENSG00000267446,red,
ENSG00000273734,red,
ENSG00000229180,red,
ENSG00000270892,red,
ENSG00000267583,red,
ENSG00000275512,red,
ENSG00000207123,red,
ENSG00000234500,red,
ENSG00000253496,red,
ENSG00000259675,red,
ENSG00000258853,red,
ENSG00000254143,red,
ENSG00000259208,red,
ENSG00000260674,red,
ENSG00000287401,red,
ENSG00000250509,red,
ENSG00000266929,red,
ENSG00000243276,red,
ENSG00000256875,red,
ENSG00000265380,red,
ENSG00000257545,red,
ENSG00000239397,red,
ENSG00000257435,red,
ENSG00000257239,red,
ENSG00000223523,red,
ENSG00000251095,red,
ENSG00000288563,red,
ENSG00000283563,red,
ENSG00000253505,red,
ENSG00000254153,red,
ENSG00000286074,red,
ENSG00000242814,red,
ENSG00000250348,red,
ENSG00000287962,red,
ENSG00000285521,red,
ENSG00000243295,red,
ENSG00000255439,red,
ENSG00000153086,red,
ENSG00000150594,red,
ENSG00000157985,red,
ENSG00000229425,red,
ENSG00000281706,red,
ENSG00000287252,red,
ENSG00000286235,red,
ENSG00000278153,red,
ENSG00000252236,red,
ENSG00000279960,red,
ENSG00000227809,red,
ENSG00000258784,red,
ENSG00000234580,red,
ENSG00000288520,red,
ENSG00000226134,red,
ENSG00000237356,red,
ENSG00000223368,red,
ENSG00000283360,red,
ENSG00000171714,red,
ENSG00000213153,red,
ENSG00000130203,red,
ENSG00000116539,red,
ENSG00000141431,red,
ENSG00000118217,red,
ENSG00000159363,red,
ENSG00000151929,red,
ENSG00000103507,red,
ENSG00000147439,red,
ENSG00000078725,red,
ENSG00000136492,red,
ENSG00000109743,red,
ENSG00000178538,red,
ENSG00000102547,red,
ENSG00000145349,red,
ENSG00000249231,red,
ENSG00000130783,red,
ENSG00000149231,red,
ENSG00000112761,red,
ENSG00000082258,red,
ENSG00000224043,red,
ENSG00000177455,red,
ENSG00000177200,red,
ENSG00000134121,red,
ENSG00000234661,red,
ENSG00000283946,red,
ENSG00000233003,red,
ENSG00000109572,red,
ENSG00000180745,red,
ENSG00000153721,red,
ENSG00000018236,red,
ENSG00000197467,red,
ENSG00000168542,red,
ENSG00000204262,red,
ENSG00000276191,red,
ENSG00000088766,red,
ENSG00000178971,red,
ENSG00000285132,red,
ENSG00000107874,red,
ENSG00000083799,red,
ENSG00000148795,red,
ENSG00000153310,red,
ENSG00000163257,red,
ENSG00000043093,red,
ENSG00000198171,red,
ENSG00000145214,red,
ENSG00000150672,red,
ENSG00000187775,red,
ENSG00000087470,red,
ENSG00000134757,red,
ENSG00000157540,red,
ENSG00000236759,red,
ENSG00000237080,red,
ENSG00000164181,red,
ENSG00000122591,red,
ENSG00000161682,red,
ENSG00000189157,red,
ENSG00000272414,red,
ENSG00000153310,red,
ENSG00000112787,red,
ENSG00000143226,red,
ENSG00000284967,red,
ENSG00000139132,red,
ENSG00000078579,red,
ENSG00000282826,red,
ENSG00000010810,red,
ENSG00000178950,red,
ENSG00000054983,red,
ENSG00000185274,red,
ENSG00000177628,red,
ENSG00000160766,red,
ENSG00000107862,red,
ENSG00000131979,red,
ENSG00000131459,red,
ENSG00000136235,red,
ENSG00000140030,red,
ENSG00000216915,red,
ENSG00000030582,red,
ENSG00000151233,red,
ENSG00000130787,red,
ENSG00000196735,red,
ENSG00000179344,red,
ENSG00000204287,red,
ENSG00000196126,red,
