ID,logFC_CBE_Mayo,custom_direction_CBE_Mayo,logFC_TCX_Mayo,direction_TCX_Mayo
ENSG00000131584,-0.209336382,NONE,-0.121039075,NONE
ENSG00000097021,-0.031959545,NONE,-0.245346497,NONE
ENSG00000116771,-0.168006687,NONE,-0.365882463,DOWN
ENSG00000188157,0.260900382,NONE,0.1567263,NONE
ENSG00000177674,-0.184133277,NONE,0.19616907,NONE
ENSG00000196581,0.067373334,NONE,-0.115263958,NONE
ENSG00000053371,0.086472299,NONE,0.24834778,NONE
ENSG00000162482,-0.120169645,NONE,-0.066657627,NONE
ENSG00000211454,-0.096017415,NONE,-0.18935565,NONE
ENSG00000159423,-0.395153478,Down,0.192770754,NONE
ENSG00000162551,0.272857741,NONE,0.335547573,UP
ENSG00000171819,-0.054169575,NONE,0.275931856,NONE
ENSG00000235098,-0.093082261,NONE,0.054086474,NONE
ENSG00000074964,0.166396583,NONE,0.308319105,UP
ENSG00000130762,0.208549539,NONE,-0.027908388,NONE
ENSG00000142632,0.21628496,NONE,0.331287966,UP
ENSG00000197785,-0.097238028,NONE,-0.161389379,NONE
ENSG00000160072,-0.145343341,NONE,-0.210079918,NONE
ENSG00000215915,-0.027678263,NONE,0.063582172,NONE
ENSG00000159363,-0.004802488,NONE,-0.110269727,NONE
ENSG00000175756,-0.03294007,NONE,0.053082438,NONE
ENSG00000176022,-0.169390353,NONE,-0.149456024,NONE
ENSG00000175262,-0.421551507,NONE,-0.274523203,NONE
ENSG00000131591,-0.356320104,Down,-0.345300393,DOWN
ENSG00000198912,0.032830972,NONE,-0.047328532,NONE
ENSG00000173372,0.569122576,UP,0.400630268,NONE
ENSG00000173369,0.712510981,UP,0.595960006,UP
ENSG00000159189,0.632048396,UP,0.591843957,UP
ENSG00000169885,NA,NA,NA,NA
ENSG00000162545,-0.114337569,NONE,-0.227429729,NONE
ENSG00000171735,0.028060521,NONE,-0.357775007,DOWN
ENSG00000077549,-0.058683741,NONE,-0.045086743,NONE
ENSG00000132906,-0.077233452,NONE,-0.161254223,NONE
ENSG00000130940,0.113719939,NONE,0.42822226,UP
ENSG00000221978,-0.155859188,NONE,-0.117058921,NONE
ENSG00000158825,0.665290771,UP,1.077087282,UP
ENSG00000070831,-0.087194032,NONE,-0.087145419,NONE
ENSG00000008128,0.195883526,NONE,-0.014545514,NONE
ENSG00000248333,0.079879752,NONE,-0.051434842,NONE
ENSG00000142615,0.266944096,NONE,0.051774688,NONE
ENSG00000215704,0.061013494,NONE,-0.127187037,NONE
ENSG00000175279,NA,NA,NA,NA
ENSG00000116198,0.109772464,NONE,0.060994969,NONE
ENSG00000142609,-0.080158541,NONE,-0.554944154,DOWN
ENSG00000116254,-0.38582036,Down,-0.278399792,DOWN
ENSG00000011021,-0.034946578,NONE,0.035063481,NONE
ENSG00000186510,-0.287987385,NONE,0.482830743,UP
ENSG00000184908,0.071787647,NONE,0.248328096,NONE
