ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000071054,2.09,6.22,6.41,1.04,7.51,NONE,NONE
ENSG00000100605,2.7,3.58,3.41,1.61,6.74,NONE,NONE
ENSG00000171206,2.16,2.75,4.15,1.36,6.43,NONE,UP
ENSG00000079841,-1.48,-3.27,-3.24,-2.34,-6.41,NONE,DOWN
ENSG00000155980,0.93,6.37,1.91,0.3,6.35,NONE,UP
ENSG00000135622,-0.66,-2.25,-1.59,-1.34,-4.89,NONE,NONE
ENSG00000136205,2.26,2.17,3,0.97,4.46,NONE,UP
ENSG00000174243,1.95,2.24,4.7,0.93,3.66,NONE,NONE
ENSG00000055955,-0.56,-3.31,-1.4,-1.1,-3.52,NA,NA
ENSG00000110786,-2.04,-1.55,-3.99,-1.74,-3.45,DOWN,DOWN
ENSG00000135525,1.11,2.16,3.58,0.16,3.27,NONE,NONE
ENSG00000174720,1.93,1.76,1.95,4.3,3.05,NONE,NONE
ENSG00000004534,0.72,1.84,0.72,2.07,3.04,NONE,NONE
ENSG00000139131,-1.39,-2.63,-1.52,-1.38,-3.03,NONE,NONE
ENSG00000168610,0.44,1.06,2.73,0.04,2.74,NONE,UP
ENSG00000078043,-0.66,-1.44,-1.06,-1.2,-2.6,DOWN,DOWN
ENSG00000054523,1.78,2.61,4.05,0.12,2.51,NONE,NONE
ENSG00000265681,-1.14,-1.41,-0.79,-0.31,-2.49,NONE,NONE
ENSG00000266173,-0.54,-1.37,-1.48,-2.01,-2.41,NONE,NONE
ENSG00000100902,-0.84,-0.59,-1.28,-0.38,-2.38,NONE,NONE
ENSG00000166484,1.81,1.55,2.77,0.07,2.36,NONE,NONE
ENSG00000079332,-0.42,-0.13,0.34,-0.98,-2.19,NONE,NONE
ENSG00000064419,-0.86,-1.47,-0.64,-1.91,-2.1,NONE,NONE
ENSG00000081307,-0.63,-0.96,-0.26,-2.88,-2.04,NONE,NONE
ENSG00000163932,-0.5,-1.88,-0.9,-0.48,-2.01,NONE,DOWN
ENSG00000240184,0.7,1.15,1.14,-0.19,1.99,UP,UP
ENSG00000065526,0.91,1.64,2.03,0.14,1.95,NONE,NONE
ENSG00000071626,0.15,0.53,0.21,0.28,1.91,NONE,NONE
ENSG00000170855,-0.38,-1.09,-0.87,-0.33,-1.8,NONE,NONE
ENSG00000013288,-1.29,-1.54,-0.76,-2.23,-1.79,NONE,NONE
ENSG00000120896,0.55,0.36,1.68,0.57,1.77,NONE,NONE
ENSG00000082701,-0.61,-0.31,-1.04,-0.98,-1.75,NONE,NONE
ENSG00000198742,-1.03,-1.07,-0.57,-2.28,-1.72,NONE,NONE
ENSG00000120088,-0.27,-1.07,-1.86,0.28,-1.69,NONE,NONE
ENSG00000144028,0.15,1.16,0.6,1.16,1.69,NONE,NONE
ENSG00000182810,-0.28,-1.38,-1.27,0,-1.65,NONE,NONE
ENSG00000120875,-1.74,-1.02,-0.88,-1.31,-1.63,DOWN,DOWN
ENSG00000105193,0.12,0.77,1.25,0.15,1.61,NONE,NONE
ENSG00000143753,0.96,1.43,1.56,1.25,1.57,NONE,NONE
ENSG00000165280,-0.62,-0.5,-0.34,-2.57,-1.48,NONE,NONE
ENSG00000050748,-0.54,-0.31,-1.43,-0.25,-1.35,NONE,DOWN
ENSG00000128050,0.23,0.3,0.52,0.13,1.35,NONE,NONE
ENSG00000176986,0.64,2.13,1.03,0.12,1.33,UP,NONE
ENSG00000241553,-0.56,-2.07,-0.58,0.17,-1.31,DOWN,NONE
ENSG00000186111,1.41,1.07,-0.03,0.96,1.31,NONE,NONE
ENSG00000187531,1.67,1.13,1.45,0.7,1.22,NONE,NONE
ENSG00000104228,0.32,-0.35,-0.03,-0.71,-1.21,NONE,NONE
ENSG00000198692,-2.05,-0.76,-1.45,-0.59,-1.2,NONE,NONE
ENSG00000075945,-0.18,-0.05,-0.84,-0.41,-1.2,NONE,NONE
ENSG00000130175,0.69,0.56,1.03,0.2,1.18,NONE,NONE
ENSG00000087269,1.05,-0.01,1.99,1.09,1.16,NONE,NONE
ENSG00000115325,0.98,0.36,1.8,0.3,1.09,NONE,UP
ENSG00000136160,0.82,0.51,1.83,-0.17,1.06,UP,UP
ENSG00000076928,0.58,0.27,1.06,0.58,1.04,NONE,NONE
ENSG00000159202,0.12,-0.79,0.11,-1.9,-1.03,NONE,NONE
ENSG00000168404,0.06,0.42,0.14,-0.83,1.02,NONE,UP
ENSG00000244165,0.43,0.65,0.43,2.91,1.02,NONE,NONE
ENSG00000132341,-0.52,-0.1,-0.1,-1.73,-0.99,NONE,NONE
ENSG00000144115,-0.98,-1.16,-1.25,-0.19,-0.98,NONE,NONE
ENSG00000196367,0.24,1.47,0.48,-0.04,0.97,NONE,NONE
ENSG00000143324,0.19,-0.55,-0.31,0.11,-0.97,NONE,NONE
ENSG00000148843,-0.55,-2.2,-0.62,0.01,-0.94,NONE,NONE
ENSG00000100109,0.56,0.33,-0.12,1.4,0.91,NONE,NONE
ENSG00000167658,-0.69,-0.39,-0.45,-1.24,-0.9,NONE,NONE
ENSG00000084623,-0.55,-0.63,-1.39,-1.57,-0.86,NONE,NONE
ENSG00000143924,-1,-0.28,-1.17,-0.89,-0.85,NONE,NONE
ENSG00000174807,-0.68,-0.07,-0.38,-1.09,-0.81,NONE,NONE
ENSG00000143748,-0.14,-1.03,-0.88,0.57,-0.81,DOWN,DOWN
ENSG00000130741,-0.95,-1.16,-0.21,-1.41,-0.79,NONE,NONE
ENSG00000196547,0.71,1.68,1.64,-0.12,0.77,NONE,NONE
ENSG00000221823,-0.75,-0.76,-1.17,-0.64,-0.77,NONE,NONE
ENSG00000099817,-0.38,-0.49,-1.58,0.11,-0.76,NONE,NONE
ENSG00000182004,-1.29,-0.49,-1.18,-0.03,-0.73,NONE,NONE
ENSG00000137942,0.1,0.91,0.41,-0.09,0.73,NONE,UP
ENSG00000099250,-1.16,-0.78,-0.32,-2.58,-0.72,UP,NONE
ENSG00000186868,-0.01,-0.33,-0.12,0.06,-0.72,NONE,NONE
ENSG00000131437,0.32,-0.2,-0.51,0.5,-0.64,NONE,NONE
ENSG00000106263,1.11,-0.06,1.53,1.99,0.63,NONE,NONE
ENSG00000141867,0.26,0.16,0.44,0.42,0.63,NONE,NONE
ENSG00000186907,0.01,-0.66,-0.76,-0.03,-0.61,NONE,NONE
ENSG00000143977,0.11,0.47,0.32,0.2,0.58,NONE,NONE
ENSG00000181222,0.01,-0.22,0.15,-1.24,-0.56,UP,NONE
ENSG00000180263,0.26,0.24,0.45,-0.02,0.56,NONE,UP
ENSG00000118432,-0.44,-0.58,-1.06,-0.68,-0.54,NONE,DOWN
ENSG00000172977,0.24,-0.12,0.02,1.24,0.53,NONE,NONE
ENSG00000110031,-0.65,0.16,-0.85,0.12,0.49,DOWN,NONE
ENSG00000116688,0,-0.11,0.39,-0.67,-0.47,NONE,NONE
ENSG00000070756,0.02,0.27,1.78,0.3,0.46,NONE,NONE
ENSG00000133878,-0.32,-0.45,-1.21,0.06,-0.46,NONE,NONE
ENSG00000141552,-0.02,0.44,0.27,0.97,0.46,NONE,NONE
ENSG00000159409,-0.35,-0.24,-1.55,-0.42,-0.45,NONE,NONE
ENSG00000127511,-0.25,-0.15,-0.75,-0.81,-0.43,NONE,NONE
ENSG00000164162,-1.23,0.02,-1.05,-0.2,-0.41,NONE,NONE
ENSG00000119707,0.02,0.09,-0.06,0.31,0.41,NONE,NONE
ENSG00000125743,-0.25,-0.45,-0.43,0.67,-0.38,NONE,NONE
ENSG00000104852,0.13,-0.17,0.61,-0.03,0.38,NONE,NONE
ENSG00000158106,-0.37,-0.37,-0.78,0.05,-0.37,NONE,NONE
ENSG00000165119,0.01,0.62,0.64,-0.45,0.35,NONE,NONE
ENSG00000119638,-0.05,0.09,0.73,-1.21,0.33,NONE,NONE
ENSG00000108651,-0.44,-0.85,-1.17,-0.08,-0.33,NONE,NONE
ENSG00000160551,0.46,0.2,1.24,0.54,0.32,NONE,NONE
ENSG00000120948,0,0.53,0.7,-0.58,0.32,NONE,NONE
ENSG00000113296,0.2,0.64,0.97,-0.02,0.31,NONE,UP
ENSG00000163636,-0.16,0.63,0.13,-0.4,0.31,NONE,NONE
ENSG00000105618,0.67,-0.11,0.76,1.35,0.29,NONE,NONE
ENSG00000073849,0.48,0.38,0.94,-0.6,-0.28,UP,UP
ENSG00000178814,0.14,-0.31,0.25,-0.02,0.26,DOWN,NONE
ENSG00000163743,-0.09,0.16,0.02,-0.38,-0.24,NONE,NONE
ENSG00000161542,-1.78,0.05,-0.35,-1.9,-0.24,NONE,NONE
ENSG00000093010,0.07,-0.25,0.35,-0.22,0.24,NONE,NONE
ENSG00000115694,-0.1,-0.29,-0.53,0.04,-0.23,NONE,NONE
ENSG00000179603,-0.11,0.36,-0.88,-0.1,-0.22,NONE,DOWN
ENSG00000129187,-0.3,0.23,0.01,0.17,-0.22,NONE,NONE
ENSG00000061273,0.14,-0.14,0.55,-0.47,0.21,NONE,NONE
ENSG00000188322,0.1,0.08,-0.55,0.02,-0.21,NONE,NONE
ENSG00000110436,0,-0.13,0.47,-0.61,0.21,NONE,UP
ENSG00000121879,0.03,0.88,0.15,-0.11,0.2,UP,UP
ENSG00000006062,-0.09,-0.21,-0.05,-1.02,-0.2,NONE,NONE
ENSG00000153201,0.2,0.36,0.49,-0.78,0.2,UP,NONE
ENSG00000175216,-0.25,0.16,-0.17,-0.97,-0.19,NONE,NONE
ENSG00000159792,0.61,-0.05,0.76,0.5,0.17,DOWN,NONE
ENSG00000100292,-0.09,-0.03,0.41,-0.54,0.17,NONE,UP
ENSG00000042445,-0.16,-0.33,-0.06,-0.68,-0.15,NONE,NONE
ENSG00000108424,0.05,-0.95,0.66,-0.41,-0.15,NONE,NONE
ENSG00000130713,-0.81,-1.33,-0.83,0.13,-0.14,NONE,NONE
ENSG00000047634,-1.26,0.07,-0.06,-1.36,0.14,NONE,NONE
ENSG00000174444,0.07,-0.26,0.89,0.68,0.14,NONE,NONE
ENSG00000078140,0.2,0.36,0.1,0.59,-0.13,NONE,NONE
ENSG00000089737,0.79,-0.11,0.07,0.65,-0.1,NONE,NONE
ENSG00000141551,0.84,0.18,2.45,-0.4,0.08,NONE,NONE
ENSG00000183495,-0.42,-0.01,-0.23,-1.54,-0.07,NONE,NONE
ENSG00000144048,-0.07,-0.37,-0.61,-0.1,-0.07,NONE,NONE
ENSG00000115266,0.66,-0.05,0.62,-0.06,0.06,NONE,NONE
ENSG00000117625,-0.39,0.13,0.13,-0.22,0.05,DOWN,NONE
ENSG00000112658,0.02,0.26,-0.09,-0.16,-0.04,NONE,NONE
ENSG00000114904,-0.04,-0.09,0.33,-0.32,0.04,UP,NONE
ENSG00000107581,0.86,-0.09,2.3,-0.09,0.04,NONE,NONE
ENSG00000114956,-0.67,-0.08,-2.13,0.82,-0.04,NONE,NONE
ENSG00000132153,0.11,-0.48,0.01,0.09,0.03,NONE,NONE
ENSG00000108773,-0.12,0.12,-0.04,-0.19,-0.03,NONE,NONE
ENSG00000125977,0.03,-0.11,-0.09,1.06,-0.03,NONE,NONE
ENSG00000133226,-0.34,-0.05,0.2,-0.68,0.01,NONE,NONE
