ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000005469,-1.35,-2.77,-2.32,-1.16,-7.89,NONE,NONE
ENSG00000166111,-1.39,-4.57,-2.95,-1.73,-7.84,NONE,DOWN
ENSG00000071054,2.09,6.22,6.41,1.04,7.51,NONE,NONE
ENSG00000105655,3.22,5.82,3.3,3.91,7.13,NONE,UP
ENSG00000136848,3.1,4.2,4.4,4.31,7.04,NONE,NONE
ENSG00000100605,2.7,3.58,3.41,1.61,6.74,NONE,NONE
ENSG00000182902,2.75,3.25,3.86,2.84,6.51,NONE,UP
ENSG00000171206,2.16,2.75,4.15,1.36,6.43,NONE,UP
ENSG00000079841,-1.48,-3.27,-3.24,-2.34,-6.41,NONE,DOWN
ENSG00000155980,0.93,6.37,1.91,0.3,6.35,NONE,UP
ENSG00000184307,-2.27,-2.24,-3,-4.46,-5.62,NONE,DOWN
ENSG00000188542,-1.76,-3.13,-3.05,-0.86,-5.54,NONE,NONE
ENSG00000179241,2.36,4.08,3.36,2.42,5.39,NONE,UP
ENSG00000121966,1.28,3.12,2.27,1.87,5.33,UP,UP
ENSG00000101040,2.36,3.36,2.38,3.44,5.3,NONE,NONE
ENSG00000166333,1.3,3.49,1.75,0.9,5.17,NA,NA
ENSG00000097007,1.75,2.38,3.88,0.39,4.96,NONE,NONE
ENSG00000125952,1.46,3.8,1.1,1.99,4.91,NONE,NONE
ENSG00000135622,-0.66,-2.25,-1.59,-1.34,-4.89,NONE,NONE
ENSG00000181449,0.69,0.9,1.38,0.94,4.72,NONE,UP
ENSG00000141198,0.1,-0.9,-0.92,-0.83,-4.69,NONE,NONE
ENSG00000089041,1.31,4.16,3.65,0.27,4.53,UP,UP
ENSG00000198053,1.58,2.47,2.06,1.4,4.48,NONE,NONE
ENSG00000136205,2.26,2.17,3,0.97,4.46,NONE,UP
ENSG00000124440,0.89,1.43,1.37,1.03,4.22,NONE,UP
ENSG00000121774,-2.57,-2.41,-1.66,-3.5,-3.92,NONE,NONE
ENSG00000135547,1.62,2.31,4.25,0.71,3.9,NONE,NONE
ENSG00000105376,-1.73,-3.5,-3.27,-2.33,-3.88,NONE,DOWN
ENSG00000153721,1.93,4.01,3.17,0.26,3.87,NONE,NONE
ENSG00000075089,-2.35,-1.41,-1.94,-2.45,-3.84,NONE,NONE
ENSG00000221944,-0.62,-3.38,-2.18,-1.5,-3.8,DOWN,DOWN
ENSG00000140750,1.23,1.5,2.02,1.5,3.76,NONE,NONE
ENSG00000182134,-2.43,-1.35,-2.11,-5.19,-3.69,NONE,DOWN
ENSG00000174243,1.95,2.24,4.7,0.93,3.66,NONE,NONE
ENSG00000205336,1.87,1.43,2.72,0.38,3.59,NONE,UP
ENSG00000055955,-0.56,-3.31,-1.4,-1.1,-3.52,NA,NA
ENSG00000100523,-1.14,-0.98,-1.59,-1.43,-3.5,DOWN,NONE
ENSG00000124214,1,3.3,1.92,0.47,3.49,NONE,NONE
ENSG00000121957,0.99,2.39,3,0.52,3.46,NONE,NONE
ENSG00000110786,-2.04,-1.55,-3.99,-1.74,-3.45,DOWN,DOWN
ENSG00000109501,1.91,1.11,2.81,1.04,3.39,NONE,UP
ENSG00000087095,-0.91,-1.51,-2.24,-0.77,-3.35,NONE,NONE
ENSG00000150907,0.5,0.39,2.89,0.49,3.31,UP,UP
ENSG00000135525,1.11,2.16,3.58,0.16,3.27,NONE,NONE
ENSG00000213722,3.71,1.47,4.5,2.36,3.26,NONE,UP
ENSG00000111361,-3.28,-2.95,-2.35,-3.51,-3.25,NONE,NONE
