ID,custom_color_mitophagy
ENSG00000170315,Red
ENSG00000107643,Red
ENSG00000121749,Red
ENSG00000136436,Red
ENSG00000112561,Red
ENSG00000185591,Red
ENSG00000171109,Red
ENSG00000158186,Red
ENSG00000188554,Red
ENSG00000116688,Red
ENSG00000164442,Red
ENSG00000204435,Red
ENSG00000181652,Red
ENSG00000104946,Red
ENSG00000126858,Red
ENSG00000177606,Red
ENSG00000143947,Red
ENSG00000139112,Red
ENSG00000183735,Red
ENSG00000185345,Red
ENSG00000150991,Red
ENSG00000057663,Red
ENSG00000254598,Red
ENSG00000174775,Red
ENSG00000221983,Red
ENSG00000172071,Red
ENSG00000126581,Red
ENSG00000173039,Red
ENSG00000034713,Red
ENSG00000196289,Red
ENSG00000135655,Red
ENSG00000106052,Red
ENSG00000100644,Red
ENSG00000128272,Red
ENSG00000070770,Red
ENSG00000158828,Red
ENSG00000197122,Red
ENSG00000187098,Red
ENSG00000140983,Red
ENSG00000171552,Red
ENSG00000214253,Red
ENSG00000101266,Red
ENSG00000126458,Red
ENSG00000118689,Red
ENSG00000198925,Red
ENSG00000213281,Red
ENSG00000170296,Red
ENSG00000050748,Red
ENSG00000069509,Red
ENSG00000133818,Red
ENSG00000141510,Red
ENSG00000177169,Red
ENSG00000161011,Red
ENSG00000133703,Red
ENSG00000176171,Red
ENSG00000247077,Red
ENSG00000068323,Red
ENSG00000101412,Red
ENSG00000075785,Red
ENSG00000196683,Red
ENSG00000123240,Red
ENSG00000135093,Red
ENSG00000138592,Red
ENSG00000099968,Red
ENSG00000110497,Red
ENSG00000104765,Red
ENSG00000276600,Red
ENSG00000109339,Red
