ID,logFC_CBE_Mayo
ENSG00000131584,-0.209336382
ENSG00000097021,-0.031959545
ENSG00000116771,-0.168006687
ENSG00000188157,0.260900382
ENSG00000177674,-0.184133277
ENSG00000196581,0.067373334
ENSG00000053371,0.086472299
ENSG00000162482,-0.120169645
ENSG00000211454,-0.096017415
ENSG00000159423,-0.395153478
ENSG00000162551,0.272857741
ENSG00000171819,-0.054169575
ENSG00000235098,-0.093082261
ENSG00000074964,0.166396583
ENSG00000130762,0.208549539
ENSG00000142632,0.21628496
ENSG00000197785,-0.097238028
ENSG00000160072,-0.145343341
ENSG00000215915,-0.027678263
ENSG00000159363,-0.004802488
ENSG00000175756,-0.03294007
ENSG00000176022,-0.169390353
ENSG00000175262,-0.421551507
ENSG00000131591,-0.356320104
ENSG00000198912,0.032830972
ENSG00000173372,0.569122576
ENSG00000173369,0.712510981
ENSG00000159189,0.632048396
ENSG00000162545,-0.114337569
ENSG00000171735,0.028060521
ENSG00000077549,-0.058683741
ENSG00000132906,-0.077233452
ENSG00000130940,0.113719939
ENSG00000221978,-0.155859188
ENSG00000158825,0.665290771
ENSG00000070831,-0.087194032
ENSG00000008128,0.195883526
ENSG00000248333,0.079879752
ENSG00000142615,0.266944096
ENSG00000215704,0.061013494
ENSG00000116198,0.109772464
ENSG00000142609,-0.080158541
ENSG00000116254,-0.38582036
ENSG00000011021,-0.034946578
ENSG00000186510,-0.287987385
ENSG00000184908,0.071787647
ENSG00000171603,0.162542015
ENSG00000224051,-0.166087005
ENSG00000058453,-0.049019828
ENSG00000215908,0.114423175
ENSG00000080947,-0.055535246
ENSG00000178585,-0.148672884
ENSG00000197312,-0.073574699
ENSG00000244038,0.14982806
ENSG00000160049,-0.00632254
ENSG00000169598,0.036091082
ENSG00000162496,0.07961497
ENSG00000204624,-0.191420938
ENSG00000007923,0.129370015
ENSG00000116138,-0.045855026
ENSG00000162490,-0.123856555
ENSG00000107404,-0.024610769
ENSG00000117298,0.178281249
ENSG00000142634,0.180018232
ENSG00000075151,-0.021571042
ENSG00000127463,-0.043045505
ENSG00000074800,0.251564357
ENSG00000142627,0.463702831
ENSG00000070886,-0.496319003
ENSG00000133216,0.064402054
ENSG00000116285,-0.039112697
ENSG00000187017,0.053877579
ENSG00000171824,-0.061959611
ENSG00000162585,-0.013663505
ENSG00000185519,-0.114826518
ENSG00000157870,0.042640781
ENSG00000183114,0.143155028
ENSG00000162458,0.185772959
ENSG00000116661,0.21448338
ENSG00000037637,-0.022571246
ENSG00000132879,0.030073348
ENSG00000116663,0.056374934
ENSG00000142621,0.174318075
ENSG00000228594,-0.522876432
ENSG00000187730,-0.068200405
ENSG00000078369,0.131070607
ENSG00000158292,-0.057205155
ENSG00000180758,-0.022042549
ENSG00000049239,-0.301479528
ENSG00000188290,0.020354952
ENSG00000127483,-0.021505917
ENSG00000173641,-0.100684254
ENSG00000142798,0.408412902
ENSG00000179546,0.285900841
ENSG00000116237,-0.09352182
ENSG00000169991,0.058796163
ENSG00000117154,-0.081029564
ENSG00000127054,-0.035559615
ENSG00000187608,0.158463536
ENSG00000189337,0.106753465
ENSG00000069424,-0.117920031
ENSG00000004487,-0.03528373
ENSG00000116685,0.11672788
ENSG00000117245,-0.186463946
ENSG00000054523,0.120293616
ENSG00000187961,0.458917496
ENSG00000162413,0.197059169
ENSG00000225880,0.243753538
ENSG00000218510,-0.199827586
ENSG00000177133,0.017141603
ENSG00000228794,0.069667023
ENSG00000236963,-0.054600436
ENSG00000261326,-0.251360808
ENSG00000226029,-0.302877553
ENSG00000230415,-0.192379023
ENSG00000162494,-0.188054019
ENSG00000130764,0.05570021
ENSG00000169641,0.084461762
ENSG00000162441,0.309784316
ENSG00000116670,0.042369998
ENSG00000009724,0.24408837
ENSG00000162591,-0.035349762
ENSG00000116688,0.076097259
ENSG00000197530,-0.058689219
ENSG00000116691,0.038268545
ENSG00000173436,-0.169963858
ENSG00000228526,-0.262620932
ENSG00000116151,-0.171867408
ENSG00000242485,-0.125283157
ENSG00000053372,-0.252737811
ENSG00000186715,-0.21415182
ENSG00000186301,-0.037774218
ENSG00000248527,-0.036168551
ENSG00000237973,-0.572777274
ENSG00000229344,-0.704668429
ENSG00000198744,-0.776329962
ENSG00000177000,-0.244333823
ENSG00000225972,-0.659271526
ENSG00000225630,-0.877009101
ENSG00000198793,-0.013337838
ENSG00000090432,-0.013656057
ENSG00000162576,-0.134475802
ENSG00000008130,0.069083969
ENSG00000158747,-0.30693223
ENSG00000219481,0.176964417
ENSG00000142794,0.004495291
ENSG00000157191,-0.085143369
ENSG00000173614,-0.127252136
ENSG00000188976,0.092637103
ENSG00000162408,-0.07205493
ENSG00000131697,0.013530868
ENSG00000169914,-0.234853598
ENSG00000117115,-0.185233511
ENSG00000116288,0.01429949
ENSG00000009709,-0.232927976
ENSG00000162493,-0.00217698
ENSG00000049246,-0.173714543
ENSG00000157911,-0.019361288
ENSG00000142655,-0.194538962
ENSG00000142657,-0.051784456
ENSG00000116273,0.221566806
ENSG00000171608,0.284611201
ENSG00000158828,0.297778611
ENSG00000117242,-0.159238999
ENSG00000127472,-0.532442507
ENSG00000171680,0.077416045
ENSG00000116786,0.054982188
ENSG00000083444,0.241331315
ENSG00000040487,-0.325524625
ENSG00000142611,0.294982916
ENSG00000116731,0.04170353
ENSG00000067606,0.207584669
ENSG00000182873,0.202629586
ENSG00000169972,-0.01328128
ENSG00000076864,0.006391436
ENSG00000162444,0.123237849
ENSG00000179051,0.262238932
ENSG00000157916,0.154233791
ENSG00000142599,-0.069107143
ENSG00000158286,-0.052162926
ENSG00000116251,-0.013460951
ENSG00000187634,0.612685887
ENSG00000162572,-0.339931734
ENSG00000078808,-0.098685728
ENSG00000117118,0.059354541
ENSG00000189410,-0.417635851
ENSG00000157933,0.007499842
ENSG00000171612,0.032306037
ENSG00000162461,-0.177232864
ENSG00000142583,0.327505194
ENSG00000189339,0.209445264
ENSG00000162426,-0.14798523
ENSG00000187144,-0.201102803
ENSG00000065526,0.149377692
ENSG00000171621,-0.039778881
ENSG00000183888,0.463843192
ENSG00000116649,-0.211302805
ENSG00000160075,-0.033073769
ENSG00000055070,-0.133246217
ENSG00000120948,0.166886636
ENSG00000169962,0.273415367
ENSG00000041988,0.097614826
ENSG00000162542,0.217469777
ENSG00000188807,-0.134612253
ENSG00000205090,0.044497731
ENSG00000171729,0.368500232
ENSG00000175147,-0.008994827
ENSG00000178821,-0.200711059
ENSG00000205116,-0.177004087
ENSG00000028137,0.247076719
ENSG00000215788,0.083919992
ENSG00000078900,0.153715601
ENSG00000227372,0.056805573
ENSG00000158109,0.12779779
ENSG00000215912,-0.535906791
ENSG00000160087,0.005123201
ENSG00000130939,-0.154670778
ENSG00000120942,0.103789227
ENSG00000127481,0.128938331
ENSG00000162543,-0.023477016
ENSG00000233954,0.074678331
ENSG00000090686,-0.19831834
ENSG00000049245,0.044891165
ENSG00000048707,0.136142789
ENSG00000179403,-0.006532699
ENSG00000227232,0.100643958
ENSG00000162552,-0.004588056
ENSG00000116213,-0.034115794
ENSG00000116809,0.027824039
ENSG00000184677,0.273153839
ENSG00000204859,-0.059973618
ENSG00000121753,0.102663154
ENSG00000116863,0.028305628
ENSG00000092847,-0.052936464
ENSG00000126070,0.08049306
ENSG00000134698,-0.236628365
ENSG00000126705,0.072155427
ENSG00000004455,-0.202530207
ENSG00000174574,0.149330322
ENSG00000117448,-0.159747306
ENSG00000117713,0.054777283
ENSG00000117407,-0.352470936
ENSG00000088280,0.089518827
ENSG00000130770,-0.097422043
ENSG00000117410,-0.028089828
ENSG00000123472,-0.096708733
ENSG00000127423,-0.139770825
ENSG00000142920,-0.231553158
ENSG00000117411,-0.034526608
ENSG00000142959,-0.348036993
ENSG00000116985,-0.048592027
ENSG00000160058,-0.033999661
ENSG00000222009,-0.004071039
ENSG00000116922,0.126873596
ENSG00000197982,0.081612728
ENSG00000142686,0.423178066
ENSG00000164008,-0.138135169
ENSG00000131236,0.115768041
ENSG00000280670,-0.013196973
ENSG00000159588,0.003818397
ENSG00000159214,-0.240686559
ENSG00000160050,-0.082861497
ENSG00000186409,-0.19806594
ENSG00000130695,0.013371686
ENSG00000179862,-0.15881579
ENSG00000169504,0.39861548
ENSG00000142675,-0.223259456
ENSG00000084636,-0.258827298
ENSG00000171812,0.316064228
ENSG00000049089,-0.150391182
ENSG00000119535,0.405932799
ENSG00000121904,-0.018377729
ENSG00000171793,0.120747351
ENSG00000222046,-0.1857886
ENSG00000117682,-0.323478728
ENSG00000116544,0.050394833
ENSG00000178028,-0.019874488
ENSG00000126698,0.016570226
ENSG00000163879,-0.154770078
ENSG00000132768,-0.031238357
ENSG00000117395,0.084940539
ENSG00000159658,0.016956173
ENSG00000070785,-0.037342327
ENSG00000084623,0.001943557
ENSG00000011007,0.026804361
ENSG00000066322,-0.005026426
ENSG00000159023,0.026341545
ENSG00000183317,-0.535903355
ENSG00000117419,-0.08396103
ENSG00000164010,-0.052868629
ENSG00000142694,0.071083657
ENSG00000164002,-0.024899035
ENSG00000158008,-0.154962719
ENSG00000158161,-0.142064974
ENSG00000117480,-0.28620618
ENSG00000232022,0.272454748
ENSG00000121769,-0.093797621
ENSG00000197245,0.173768202
ENSG00000183615,0.495295031
ENSG00000225828,0.311906762
ENSG00000009780,-0.425302587
ENSG00000000938,0.41221194
ENSG00000183386,0.239646866
ENSG00000160097,-0.126495773
ENSG00000198815,-0.104813016
ENSG00000204060,-0.08297175
ENSG00000179163,-0.022646566
ENSG00000117308,-0.136431889
ENSG00000187513,0.714988451
ENSG00000188910,-0.222942644
ENSG00000162419,-0.155891991
ENSG00000134697,-0.115738248
ENSG00000198746,0.041947675
ENSG00000159592,0.062322099
ENSG00000142751,0.04155969
ENSG00000181773,-0.357906861
ENSG00000163873,-0.258293019
ENSG00000116478,0.073357018
ENSG00000126107,-0.03405604
ENSG00000163909,0.077545413
ENSG00000127124,-0.083326567
ENSG00000117305,-0.332833906
ENSG00000198830,-0.149825446
ENSG00000125944,0.155832377
ENSG00000121905,-0.045066933
ENSG00000116983,-0.089226149
ENSG00000186603,-0.124649981
ENSG00000178922,-0.010338697
ENSG00000117318,0.620199231
ENSG00000126709,-0.002331236
ENSG00000185436,0.002860339
ENSG00000204084,-0.048824838
ENSG00000117408,-0.071717105
ENSG00000197429,-0.135798539
ENSG00000160051,-0.058427041
ENSG00000117013,0.051000183
ENSG00000066135,0.178575624
ENSG00000121774,0.003642809
ENSG00000142687,-0.263524444
