ID,logFC_SNCA_Apex,Direction_SNCA_DEG,logFC_SNCA_Pvalue,custom_color_test
ENSG00000122705,1.06075,1,2.541110258,red
ENSG00000102003,1.73775,1,2.469422924,yellow
ENSG00000197451,1.06475,1,2.335337344,orange
ENSG00000168993,1.13775,1,2.31745377,green
ENSG00000141985,0.93875,1,2.311261249,red
ENSG00000116161,1.19125,1,2.223448884,yellow
ENSG00000140350,0.95675,1,2.184509916,blue
ENSG00000099622,0.88375,1,2.087259014,green
ENSG00000101460,0.80325,1,2.053612098,#NA
ENSG00000070087,0.77325,1,2.020800111,#NA
ENSG00000092964,0.78925,1,2.015352901,#NA
ENSG00000145335,0.81925,1,1.997301487,na
ENSG00000141367,0.72025,1,1.913684811,#NA
ENSG00000111669,0.70925,1,1.902518901,#NA
ENSG00000111667,0.70175,1,1.900519533,#NA
ENSG00000165280,0.71125,1,1.899844208,#NA
ENSG00000074317,0.72475,1,1.899844208,#NA
ENSG00000139436,0.71325,1,1.867264961,#NA
ENSG00000168280,0.68625,1,1.819261611,#NA
ENSG00000119125,0.66125,1,1.805009195,#NA
ENSG00000135387,0.79075,1,1.784585509,#NA
ENSG00000138757,0.85275,1,1.766999115,#NA
ENSG00000084764,0.73175,1,1.755824325,blue
ENSG00000172137,0.70025,1,1.746677409,green
ENSG00000138814,0.63475,1,1.73652014,red
ENSG00000122566,0.62975,1,1.729187566,yellow
ENSG00000152795,0.94325,1,1.723181233,blue
ENSG00000136738,0.65425,1,1.696372347,green
ENSG00000047056,0.61675,1,1.696372347,red
ENSG00000105568,0.65425,1,1.680487019,yellow
ENSG00000126803,0.60475,1,1.661937618,blue
ENSG00000078018,0.60775,1,1.653169603,green
ENSG00000124614,0.72175,1,1.643604824,red
ENSG00000107295,0.60325,1,1.633751524,yellow
ENSG00000167658,0.59925,1,1.624005717,blue
ENSG00000100129,0.58525,1,1.598710736,green
ENSG00000128872,0.61475,1,1.59437976,red
ENSG00000203879,0.57975,1,1.589984385,yellow
ENSG00000096384,0.57725,1,1.586544488,blue
ENSG00000105649,0.59475,1,1.552549415,green
