ID,Custom_color_direction
ENSG00000175756,#NA
ENSG00000244038,#NA
ENSG00000226029,green
ENSG00000130764,#NA
ENSG00000242485,#NA
ENSG00000188976,#NA
ENSG00000157916,#NA
ENSG00000116251,#NA
ENSG00000117118,#NA
ENSG00000065526,#NA
ENSG00000041988,#NA
ENSG00000233954,#NA
ENSG00000116213,#NA
ENSG00000117448,#NA
ENSG00000117410,#NA
ENSG00000116922,#NA
ENSG00000197982,#NA
ENSG00000117395,#NA
ENSG00000117308,#NA
ENSG00000134697,#NA
ENSG00000168653,#NA
ENSG00000175087,#NA
ENSG00000084072,#NA
ENSG00000117748,#NA
ENSG00000142937,#NA
ENSG00000010803,green
ENSG00000183431,#NA
ENSG00000163866,#NA
ENSG00000163877,#NA
ENSG00000117614,#NA
ENSG00000054116,#NA
ENSG00000173660,#NA
ENSG00000126088,#NA
ENSG00000183520,#NA
ENSG00000065978,#NA
ENSG00000162384,green
ENSG00000162595,green
ENSG00000137947,#NA
ENSG00000198841,#NA
ENSG00000157193,#NA
ENSG00000058804,#NA
ENSG00000142892,#NA
ENSG00000116171,#NA
ENSG00000198711,#NA
ENSG00000123473,#NA
ENSG00000162604,#NA
ENSG00000116209,#NA
ENSG00000116459,#NA
ENSG00000116752,#NA
ENSG00000118292,#NA
ENSG00000117262,green
ENSG00000188092,green
ENSG00000163349,#NA
ENSG00000184270,#NA
ENSG00000224699,#NA
ENSG00000266472,#NA
ENSG00000273136,#NA
ENSG00000198890,#NA
ENSG00000143106,#NA
ENSG00000117569,#NA
ENSG00000215717,#NA
ENSG00000065183,#NA
ENSG00000143162,#NA
ENSG00000179085,#NA
ENSG00000160752,#NA
ENSG00000143575,#NA
ENSG00000162755,green
ENSG00000116586,#NA
ENSG00000143198,#NA
ENSG00000143314,#NA
ENSG00000143436,#NA
ENSG00000173171,#NA
ENSG00000162734,#NA
ENSG00000143224,#NA
ENSG00000159377,#NA
ENSG00000159352,#NA
ENSG00000163156,#NA
ENSG00000143252,#NA
ENSG00000198952,#NA
ENSG00000143553,#NA
ENSG00000163479,#NA
ENSG00000143183,#NA
ENSG00000143549,#NA
ENSG00000215845,#NA
ENSG00000158773,#NA
ENSG00000163159,#NA
ENSG00000162757,#NA
ENSG00000213047,#NA
ENSG00000234741,green
ENSG00000123684,#NA
ENSG00000077157,#NA
ENSG00000117523,#NA
ENSG00000182004,#NA
ENSG00000134375,#NA
ENSG00000116857,#NA
ENSG00000186283,#NA
ENSG00000117533,#NA
ENSG00000143727,#NA
ENSG00000154309,#NA
ENSG00000092978,#NA
ENSG00000143774,#NA
ENSG00000081692,#NA
ENSG00000162910,#NA
ENSG00000135778,#NA
ENSG00000067533,#NA
ENSG00000151353,#NA
ENSG00000221843,#NA
ENSG00000143933,#NA
ENSG00000115944,#NA
ENSG00000119203,#NA
ENSG00000119878,#NA
ENSG00000115137,#NA
ENSG00000032389,#NA
ENSG00000219626,#NA
ENSG00000171055,#NA
ENSG00000134330,#NA
ENSG00000138095,#NA
ENSG00000180398,#NA
ENSG00000084676,#NA
ENSG00000115216,#NA
ENSG00000228474,#NA
ENSG00000240857,#NA
ENSG00000171863,#NA
ENSG00000115128,#NA
ENSG00000115234,#NA
ENSG00000176887,#NA
ENSG00000115306,#NA
ENSG00000115750,#NA
ENSG00000163170,#NA
ENSG00000135624,#NA
ENSG00000011523,#NA
ENSG00000035141,#NA
ENSG00000059728,#NA
ENSG00000169599,green
ENSG00000135617,#NA
ENSG00000200488,#NA
ENSG00000168894,#NA
ENSG00000208772,#NA
ENSG00000115525,#NA
ENSG00000163541,#NA
ENSG00000116001,green
ENSG00000034510,#NA
ENSG00000136002,#NA
ENSG00000136710,#NA
ENSG00000135940,#NA
ENSG00000136718,#NA
ENSG00000173272,#NA
ENSG00000152082,#NA
ENSG00000155438,#NA
ENSG00000115539,#NA
ENSG00000115762,#NA
ENSG00000125630,#NA
ENSG00000115514,#NA
ENSG00000136709,#NA
ENSG00000154518,#NA
ENSG00000082153,#NA
ENSG00000077232,#NA
ENSG00000119013,#NA
ENSG00000115233,#NA
ENSG00000127837,#NA
ENSG00000123983,#NA
ENSG00000198612,#NA
ENSG00000172428,#NA
ENSG00000135930,#NA
ENSG00000144567,#NA
ENSG00000163481,#NA
ENSG00000144451,green
ENSG00000115661,#NA
ENSG00000158552,#NA
ENSG00000197548,#NA
ENSG00000134107,#NA
ENSG00000187118,#NA
ENSG00000113851,#NA
ENSG00000125037,#NA
ENSG00000075914,green
ENSG00000114745,#NA
ENSG00000181061,#NA
ENSG00000170860,#NA
ENSG00000151093,#NA
ENSG00000070950,#NA
ENSG00000174748,#NA
ENSG00000168137,#NA
ENSG00000008324,#NA
ENSG00000170142,#NA
ENSG00000164062,#NA
ENSG00000160799,#NA
ENSG00000164051,#NA
ENSG00000163832,#NA
ENSG00000016864,#NA
ENSG00000163938,#NA
ENSG00000163376,#NA
ENSG00000088727,#NA
ENSG00000178057,#NA
ENSG00000114388,#NA
ENSG00000168291,#NA
ENSG00000163636,#NA
ENSG00000162244,#NA
ENSG00000114902,green
ENSG00000164081,#NA
ENSG00000129055,#NA
ENSG00000184220,#NA
ENSG00000241278,#NA
ENSG00000073111,#NA
ENSG00000114686,#NA
ENSG00000114021,#NA
ENSG00000170854,#NA
ENSG00000251474,#NA
ENSG00000121542,#NA
ENSG00000154174,#NA
ENSG00000174173,#NA
ENSG00000081307,#NA
ENSG00000175054,#NA
ENSG00000205981,#NA
ENSG00000068885,#NA
ENSG00000175110,#NA
ENSG00000136521,green
ENSG00000155893,#NA
ENSG00000177565,#NA
ENSG00000058056,#NA
ENSG00000156931,#NA
ENSG00000169020,#NA
ENSG00000156976,#NA
ENSG00000125386,#NA
