"Node1","Node2","Score"
"ENSG00000094631","ENSG00000048052","0.1"
"ENSG00000156711","ENSG00000112062","0.1"
"ENSG00000184588","ENSG00000065989","0.1"
"ENSG00000140009","ENSG00000091831","0.1"
"ENSG00000134852","ENSG00000133794","0.1"
"ENSG00000065978","ENSG00000136244","0.1"
"ENSG00000174697","ENSG00000136826","0.3"
"ENSG00000049768","ENSG00000186716","0.2"
"ENSG00000132170","ENSG00000131759","0.3"
"ENSG00000159216","ENSG00000172757","0.2"
"ENSG00000186868","ENSG00000186716","0.3"
"ENSG00000100219","ENSG00000154727","0.2"
"ENSG00000113575","ENSG00000213585","0.3"
"ENSG00000133794","ENSG00000105329","0.9"
"ENSG00000136244","ENSG00000109819","0.3"
"ENSG00000080815","ENSG00000175104","0.2"
"ENSG00000112062","ENSG00000113575","0.3"
"ENSG00000161011","ENSG00000154229","0.6"
"ENSG00000141510","ENSG00000138069","0.1"
"ENSG00000180210","ENSG00000146648","0.3"
"ENSG00000146648","ENSG00000169083","0.2"
"ENSG00000232810","ENSG00000096717","0.9"
"ENSG00000091831","ENSG00000131095","0.1"
"ENSG00000107643","ENSG00000136997","0.2"
"ENSG00000146648","ENSG00000134333","0.2"
"ENSG00000121879","ENSG00000082701","1"
"ENSG00000114166","ENSG00000169083","0.2"
"ENSG00000109819","ENSG00000133794","0.3"
"ENSG00000106546","ENSG00000017427","0.1"
"ENSG00000100030","ENSG00000154229","0.3"
"ENSG00000180210","ENSG00000232810","0.3"
"ENSG00000120948","ENSG00000082701","0.2"
"ENSG00000134852","ENSG00000091831","0.2"
"ENSG00000080815","ENSG00000172757","0.2"
"ENSG00000134982","ENSG00000039068","0.1"
"ENSG00000080824","ENSG00000141510","0.2"
"ENSG00000133794","ENSG00000125845","0.3"
"ENSG00000096717","ENSG00000100219","0.2"
"ENSG00000136869","ENSG00000132170","0.9"
"ENSG00000134982","ENSG00000110092","0.2"
"ENSG00000159216","ENSG00000140009","0.1"
"ENSG00000124216","ENSG00000159216","0.3"
"ENSG00000198400","ENSG00000112062","0.6"
"ENSG00000136244","ENSG00000169047","0.3"
"ENSG00000169083","ENSG00000105329","0.9"
"ENSG00000113916","ENSG00000146648","0.2"
"ENSG00000091831","ENSG00000097007","0.1"
"ENSG00000048052","ENSG00000174697","0.3"
"ENSG00000136826","ENSG00000065989","0.1"
"ENSG00000168610","ENSG00000291237","0.3"
"ENSG00000136869","ENSG00000109819","0.3"
"ENSG00000010610","ENSG00000165025","0.2"
"ENSG00000169057","ENSG00000118260","0.9"
"ENSG00000136997","ENSG00000125845","0.1"
"ENSG00000180210","ENSG00000140443","0.2"
"ENSG00000106546","ENSG00000114166","0.1"
"ENSG00000100030","ENSG00000172757","0.2"
