"Node1","Node2","Score"
"ENSG00000145675","ENSG00000155511","0.3"
"ENSG00000091831","ENSG00000145725","0.3"
"ENSG00000232810","ENSG00000162551","0.9"
"ENSG00000135346","ENSG00000181856","0.3"
"ENSG00000005339","ENSG00000175206","0.3"
"ENSG00000182771","ENSG00000138336","0.3"
"ENSG00000091831","ENSG00000105409","0.3"
"ENSG00000182771","ENSG00000072195","0.3"
"ENSG00000186868","ENSG00000055609","0.3"
"ENSG00000196591","ENSG00000125378","0.3"
"ENSG00000145675","ENSG00000186868","0.3"
"ENSG00000182771","ENSG00000120251","0.3"
"ENSG00000196591","ENSG00000273079","0.3"
"ENSG00000048052","ENSG00000174697","0.3"
"ENSG00000170315","ENSG00000181092","0.3"
"ENSG00000169057","ENSG00000118260","0.9"
"ENSG00000136574","ENSG00000146648","0.3"
"ENSG00000175206","ENSG00000170345","0.9"
"ENSG00000085276","ENSG00000132170","0.3"
"ENSG00000232810","ENSG00000163220","0.9"
"ENSG00000232810","ENSG00000135547","0.9"
"ENSG00000181092","ENSG00000232810","0.9"
"ENSG00000196591","ENSG00000175206","0.3"
"ENSG00000109320","ENSG00000181856","0.3"
"ENSG00000196591","ENSG00000153046","0.3"
"ENSG00000005339","ENSG00000170374","0.3"
"ENSG00000181856","ENSG00000075624","0.3"
"ENSG00000170315","ENSG00000073861","0.3"
"ENSG00000109320","ENSG00000171862","0.9"
"ENSG00000102003","ENSG00000186868","0.3"
"ENSG00000118260","ENSG00000181092","0.3"
"ENSG00000172819","ENSG00000186868","0.3"
"ENSG00000182771","ENSG00000075624","0.3"
"ENSG00000080824","ENSG00000132170","0.3"
"ENSG00000174697","ENSG00000073861","0.3"
"ENSG00000196591","ENSG00000170374","0.3"
"ENSG00000142208","ENSG00000115266","0.3"
"ENSG00000135346","ENSG00000181092","0.3"
"ENSG00000127481","ENSG00000105409","0.3"
"ENSG00000005339","ENSG00000136574","0.3"
"ENSG00000170315","ENSG00000136574","0.3"
"ENSG00000132170","ENSG00000145675","0.3"
"ENSG00000072195","ENSG00000094631","0.3"
"ENSG00000182771","ENSG00000105409","0.3"
"ENSG00000196591","ENSG00000176697","0.3"
"ENSG00000170315","ENSG00000132535","0.3"
"ENSG00000232810","ENSG00000196591","0.9"
"ENSG00000067715","ENSG00000186868","0.3"
"ENSG00000196591","ENSG00000143257","0.3"
"ENSG00000125378","ENSG00000171862","0.3"
"ENSG00000186868","ENSG00000153046","0.3"
"ENSG00000067715","ENSG00000102003","0.3"
"ENSG00000132170","ENSG00000138336","0.3"
"ENSG00000125378","ENSG00000135111","0.3"
"ENSG00000091831","ENSG00000100297","0.3"
"ENSG00000118260","ENSG00000091831","0.3"
"ENSG00000135346","ENSG00000073756","0.3"
"ENSG00000186868","ENSG00000172819","0.3"
"ENSG00000196591","ENSG00000181856","0.3"
"ENSG00000168610","ENSG00000170374","0.3"
"ENSG00000091831","ENSG00000145675","0.6"
"ENSG00000091831","ENSG00000073756","0.9"
"ENSG00000232810","ENSG00000091831","0.9"
"ENSG00000118260","ENSG00000132535","0.3"
"ENSG00000171862","ENSG00000273079","0.3"
"ENSG00000232810","ENSG00000142208","0.3"
"ENSG00000091831","ENSG00000132170","0.3"
"ENSG00000146648","ENSG00000145675","0.8"
"ENSG00000170374","ENSG00000242252","0.3"
"ENSG00000118260","ENSG00000109320","0.9"
"ENSG00000176697","ENSG00000232810","0.3"
"ENSG00000182771","ENSG00000127561","0.3"
"ENSG00000091831","ENSG00000012048","0.9"
"ENSG00000168610","ENSG00000176697","0.3"
"ENSG00000080824","ENSG00000075624","0.6"
"ENSG00000135547","ENSG00000232810","0.3"
"ENSG00000080824","ENSG00000146648","0.7"
"ENSG00000132170","ENSG00000242252","0.9"
"ENSG00000196591","ENSG00000125740","0.3"
"ENSG00000072195","ENSG00000196591","0.3"
"ENSG00000232810","ENSG00000175206","0.9"
"ENSG00000109320","ENSG00000168610","0.3"
