"Node1","Node2","Score"
"ENSG00000173039","ENSG00000110092","0.9"
"ENSG00000145675","ENSG00000155511","0.3"
"ENSG00000091831","ENSG00000145725","0.3"
"ENSG00000112062","ENSG00000113575","0.3"
"ENSG00000182771","ENSG00000121774","0.3"
"ENSG00000232810","ENSG00000162551","0.9"
"ENSG00000197122","ENSG00000145675","0.6"
"ENSG00000179348","ENSG00000091831","0.3"
"ENSG00000091831","ENSG00000152822","0.3"
"ENSG00000135346","ENSG00000181856","0.3"
"ENSG00000168610","ENSG00000183072","0.3"
"ENSG00000232810","ENSG00000096717","0.9"
"ENSG00000173039","ENSG00000141052","0.3"
"ENSG00000136244","ENSG00000125730","0.3"
"ENSG00000101144","ENSG00000091831","0.3"
"ENSG00000118515","ENSG00000100393","0.3"
"ENSG00000121879","ENSG00000082701","1"
"ENSG00000125398","ENSG00000122641","0.3"
"ENSG00000171720","ENSG00000162551","0.3"
"ENSG00000100030","ENSG00000154229","0.3"
"ENSG00000136869","ENSG00000106366","0.9"
"ENSG00000185591","ENSG00000101144","0.3"
"ENSG00000100393","ENSG00000014216","0.3"
"ENSG00000091831","ENSG00000105409","0.3"
"ENSG00000055609","ENSG00000168646","0.3"
"ENSG00000179295","ENSG00000145675","0.6"
"ENSG00000108821","ENSG00000125845","0.3"
"ENSG00000186951","ENSG00000100906","0.3"
"ENSG00000154229","ENSG00000109320","1"
"ENSG00000106211","ENSG00000100030","0.3"
"ENSG00000186868","ENSG00000055609","0.3"
"ENSG00000136869","ENSG00000138061","0.3"
"ENSG00000125378","ENSG00000140009","0.3"
"ENSG00000122641","ENSG00000168542","0.9"
"ENSG00000154342","ENSG00000091831","0.3"
"ENSG00000136869","ENSG00000132170","0.9"
"ENSG00000196591","ENSG00000125378","0.3"
"ENSG00000155511","ENSG00000110955","0.3"
"ENSG00000162374","ENSG00000254647","0.3"
"ENSG00000113575","ENSG00000166501","0.3"
"ENSG00000183072","ENSG00000141052","0.3"
"ENSG00000198400","ENSG00000112062","0.6"
"ENSG00000145675","ENSG00000186868","0.3"
"ENSG00000136244","ENSG00000169047","0.3"
"ENSG00000182771","ENSG00000120251","0.3"
"ENSG00000196591","ENSG00000273079","0.3"
"ENSG00000142192","ENSG00000110955","0.3"
"ENSG00000170315","ENSG00000181092","0.3"
"ENSG00000168610","ENSG00000291237","0.3"
"ENSG00000169057","ENSG00000118260","0.9"
"ENSG00000082701","ENSG00000111276","0.9"
"ENSG00000132170","ENSG00000173039","0.3"
"ENSG00000181092","ENSG00000096717","0.9"
"ENSG00000162909","ENSG00000145675","0.3"
"ENSG00000091831","ENSG00000106366","0.9"
"ENSG00000136869","ENSG00000140009","0.3"
"ENSG00000118515","ENSG00000273079","0.3"
"ENSG00000171855","ENSG00000073756","0.3"
"ENSG00000182771","ENSG00000082701","0.3"
"ENSG00000171720","ENSG00000169710","0.3"
"ENSG00000100030","ENSG00000140009","0.3"
"ENSG00000091831","ENSG00000077942","0.3"
"ENSG00000096717","ENSG00000082701","0.3"
"ENSG00000140009","ENSG00000123454","0.3"
"ENSG00000232810","ENSG00000113575","0.3"
"ENSG00000106546","ENSG00000140459","0.3"
"ENSG00000154229","ENSG00000075624","0.3"
