"Node1","Node2","Score"
"ENSG00000168610","ENSG00000115415","0.1"
"ENSG00000094631","ENSG00000048052","0.1"
"ENSG00000156711","ENSG00000112062","0.1"
"ENSG00000172977","ENSG00000075624","0.1"
"ENSG00000184588","ENSG00000065989","0.1"
"ENSG00000126351","ENSG00000131759","0.1"
"ENSG00000134250","ENSG00000148400","0.1"
"ENSG00000115594","ENSG00000115008","0.1"
"ENSG00000140009","ENSG00000091831","0.1"
"ENSG00000134852",NA,"0.1"
"ENSG00000164736","ENSG00000109819","0.2"
"ENSG00000065978","ENSG00000136244","0.1"
"ENSG00000157764","ENSG00000100030","0.2"
"ENSG00000174697","ENSG00000136826","0.3"
"ENSG00000113916","ENSG00000068028","0.1"
"ENSG00000004487","ENSG00000186951","0.3"
"ENSG00000049768","ENSG00000186716","0.2"
"ENSG00000132170","ENSG00000131759","0.3"
"ENSG00000136997","ENSG00000113263","0.1"
"ENSG00000116044","ENSG00000140009","0.2"
"ENSG00000159216","ENSG00000172757","0.2"
"ENSG00000164736","ENSG00000169083","0.2"
"ENSG00000106546","ENSG00000116044","0.1"
"ENSG00000112658","ENSG00000163435","0.2"
"ENSG00000186868","ENSG00000186716","0.3"
"ENSG00000168036","ENSG00000135346","0.2"
"ENSG00000100219","ENSG00000154727","0.2"
"ENSG00000113575","ENSG00000213585","0.3"
NA,"ENSG00000105329","0.9"
"ENSG00000130816","ENSG00000170606","0.2"
"ENSG00000132170","ENSG00000075624","0.1"
"ENSG00000136244","ENSG00000109819","0.3"
"ENSG00000181163","ENSG00000133216","0.2"
"ENSG00000080815","ENSG00000175104","0.2"
"ENSG00000126767","ENSG00000136997","0.3"
"ENSG00000112062","ENSG00000113575","0.3"
"ENSG00000161011","ENSG00000154229","0.6"
"ENSG00000136997","ENSG00000151490","0.1"
"ENSG00000185811","ENSG00000148400","0.3"
"ENSG00000141510","ENSG00000138069","0.1"
"ENSG00000179348","ENSG00000115594","0.2"
