"Node1","Node2","Score"
"ENSG00000173039","ENSG00000110092","0.9"
"ENSG00000136244","ENSG00000125730","0.3"
"ENSG00000121879","ENSG00000082701","1"
"ENSG00000145675","ENSG00000186868","0.3"
"ENSG00000100030","ENSG00000140009","0.3"
"ENSG00000171720","ENSG00000169429","0.9"
"ENSG00000141510","ENSG00000091831","0.9"
"ENSG00000140009","ENSG00000284190","0.9"
"ENSG00000113575","ENSG00000127955","0.3"
"ENSG00000124216","ENSG00000073756","0.9"
"ENSG00000091831","ENSG00000145675","0.6"
"ENSG00000091831","ENSG00000073756","0.9"
"ENSG00000124216","ENSG00000136244","0.9"
"ENSG00000091831","ENSG00000141510","0.9"
"ENSG00000100030","ENSG00000169429","1"
"ENSG00000140009","ENSG00000136244","0.3"
"ENSG00000136244","ENSG00000091831","0.9"
"ENSG00000136244","ENSG00000140009","0.9"
"ENSG00000165025","ENSG00000145675","0.6"
"ENSG00000173039","ENSG00000073756","0.3"
"ENSG00000171720","ENSG00000124253","0.9"
"ENSG00000140009","ENSG00000125730","0.9"
"ENSG00000124216","ENSG00000173039","0.9"
"ENSG00000091831","ENSG00000169429","0.9"
"ENSG00000173039","ENSG00000118515","0.3"
"ENSG00000113575","ENSG00000145675","0.3"
"ENSG00000113575","ENSG00000198400","1"
"ENSG00000136244","ENSG00000091831","0.9"
"ENSG00000091831","ENSG00000124216","1"
"ENSG00000113575","ENSG00000082701","0.3"
"ENSG00000121879","ENSG00000124216","1"
"ENSG00000173039","ENSG00000124253","0.9"
"ENSG00000140009","ENSG00000173039","0.9"
"ENSG00000100030","ENSG00000073756","1"
"ENSG00000100030","ENSG00000136244","1"
"ENSG00000173039","ENSG00000171720","0.3"
"ENSG00000082701","ENSG00000171720","0.3"
"ENSG00000100030","ENSG00000141510","1"
"ENSG00000171720","ENSG00000114315","0.9"
"ENSG00000121879","ENSG00000112715","1"
"ENSG00000173039","ENSG00000112715","0.9"
"ENSG00000100030","ENSG00000173039","0.3"
"ENSG00000136244","ENSG00000091831","0.9"
"ENSG00000118515","ENSG00000082701","1"
"ENSG00000145675","ENSG00000121879","0.3"
"ENSG00000091831","ENSG00000114315","0.9"
"ENSG00000141510","ENSG00000091831","0.9"
"ENSG00000091831","ENSG00000284190","0.9"
"ENSG00000091831","ENSG00000140009","0.9"
"ENSG00000113575","ENSG00000141510","0.9"
"ENSG00000198400","ENSG00000136244","0.3"
"ENSG00000136244","ENSG00000140009","0.9"
"ENSG00000091831","ENSG00000110092","0.9"
"ENSG00000136244","ENSG00000140009","0.9"
"ENSG00000082701","ENSG00000110092","0.7"
"ENSG00000198400","ENSG00000140009","0.3"
"ENSG00000127955","ENSG00000121879","1"
"ENSG00000091831","ENSG00000141510","0.9"
"ENSG00000171720","ENSG00000173039","0.9"
"ENSG00000091831","ENSG00000140009","0.9"
"ENSG00000091831","ENSG00000112715","0.3"
"ENSG00000091831","ENSG00000127955","0.6"
"ENSG00000141510","ENSG00000091831","0.9"
"ENSG00000113575","ENSG00000082701","0.3"
"ENSG00000140009","ENSG00000073756","0.9"
"ENSG00000091831","ENSG00000140009","0.9"
"ENSG00000113575","ENSG00000100030","0.3"
"ENSG00000140009","ENSG00000291237","1"
"ENSG00000091831","ENSG00000171094","0.3"
"ENSG00000136244","ENSG00000124253","0.9"
"ENSG00000114315","ENSG00000124216","0.3"
"ENSG00000091831","ENSG00000291237","1"
"ENSG00000091831","ENSG00000141510","0.9"
"ENSG00000113575","ENSG00000291237","0.3"
"ENSG00000140009","ENSG00000118515","0.9"
"ENSG00000284190","ENSG00000173039","0.3"
"ENSG00000091831","ENSG00000124253","0.9"
"ENSG00000082701","ENSG00000141510","0.9"
"ENSG00000091831","ENSG00000173039","0.3"
"ENSG00000140009","ENSG00000127955","0.3"
"ENSG00000141510","ENSG00000291237","0.3"
"ENSG00000141510","ENSG00000118515","0.3"
"ENSG00000145675","ENSG00000121879","0.7"
"ENSG00000091831","ENSG00000145675","0.6"
"ENSG00000113575","ENSG00000100030","0.6"
"ENSG00000100030","ENSG00000140009","0.8"
"ENSG00000141510","ENSG00000136244","0.9"
"ENSG00000100030","ENSG00000091831","0.8"
"ENSG00000140009","ENSG00000112715","0.9"
"ENSG00000091831","ENSG00000125730","0.9"
"ENSG00000113575","ENSG00000186868","0.6"
"ENSG00000082701","ENSG00000173039","0.9"
