"Node1","Node2","Score"
"ENSG00000197122","ENSG00000089159","0.993659"
"ENSG00000172977","ENSG00000149311","0.991241"
"ENSG00000103275","ENSG00000116030","0.998302"
"ENSG00000196419","ENSG00000079246","0.999997"
"ENSG00000134057","ENSG00000170312","0.997751"
"ENSG00000074219","ENSG00000137693","0.995059"
"ENSG00000141510","ENSG00000171862","0.995948"
"ENSG00000076242","ENSG00000141510","0.997648"
"ENSG00000141510","ENSG00000135679","1"
"ENSG00000101266","ENSG00000070770","0.999769"
"ENSG00000110092","ENSG00000135446","0.999182"
"ENSG00000196591","ENSG00000169375","0.99997"
"ENSG00000116478","ENSG00000169375","0.999982"
"ENSG00000169032","ENSG00000102882","0.999535"
"ENSG00000100030","ENSG00000126934","0.997686"
"ENSG00000183454","ENSG00000176884","0.999808"
"ENSG00000273079","ENSG00000176884","0.999605"
"ENSG00000197879","ENSG00000075624","0.998566"
"ENSG00000118260","ENSG00000110092","0.992107"
"ENSG00000115415","ENSG00000168610","0.994684"
"ENSG00000005339","ENSG00000110092","0.995304"
"ENSG00000124762","ENSG00000141510","0.996099"
"ENSG00000132155","ENSG00000197122","0.997097"
"ENSG00000132155","ENSG00000164924","0.985161"
"ENSG00000116030","ENSG00000169083","0.998229"
"ENSG00000091831","ENSG00000116030","0.996718"
"ENSG00000126934","ENSG00000169032","0.992288"
"ENSG00000012048","ENSG00000116030","0.995749"
"ENSG00000143799","ENSG00000116030","0.984416"
"ENSG00000116030","ENSG00000005339","0.983333"
"ENSG00000204209","ENSG00000116030","0.997821"
"ENSG00000116030","ENSG00000100393","0.995612"
"ENSG00000084676","ENSG00000116030","0.994547"
"ENSG00000116030","ENSG00000140396","0.998334"
"ENSG00000169375","ENSG00000116030","0.997457"
"ENSG00000116030","ENSG00000135679","0.995693"
"ENSG00000177606","ENSG00000171862","0.995424"
"ENSG00000116478","ENSG00000196591","0.999977"
"ENSG00000096717","ENSG00000141510","0.999607"
"ENSG00000113580","ENSG00000140396","0.998046"
"ENSG00000091831","ENSG00000141027","0.996202"
"ENSG00000142208","ENSG00000132155","0.996959"
"ENSG00000132155","ENSG00000157764","0.980079"
"ENSG00000039068","ENSG00000168036","0.999914"
"ENSG00000112592","ENSG00000066336","0.988586"
"ENSG00000105810","ENSG00000110092","0.996398"
"ENSG00000080824","ENSG00000141736","0.987092"
"ENSG00000171720","ENSG00000168610","0.994595"
"ENSG00000117748","ENSG00000132383","0.999403"
"ENSG00000113580","ENSG00000169083","0.996892"
"ENSG00000096717","ENSG00000100393","0.999151"
"ENSG00000136997","ENSG00000166949","0.992689"
"ENSG00000132604","ENSG00000149311","0.997905"
"ENSG00000127616","ENSG00000099956","0.999987"
"ENSG00000080503","ENSG00000073584","0.999871"
"ENSG00000132155","ENSG00000108953","0.995753"
"ENSG00000087586","ENSG00000149269","0.987843"
"ENSG00000196367","ENSG00000172977","0.999747"
"ENSG00000124762","ENSG00000123374","0.999554"
"ENSG00000118260","ENSG00000177606","0.999809"
"ENSG00000164362","ENSG00000097007","0.986341"
"ENSG00000137693","ENSG00000140464","0.994038"
"ENSG00000005339","ENSG00000177606","0.999821"
"ENSG00000173801","ENSG00000039068","0.999873"
"ENSG00000089250","ENSG00000132535","0.987151"
"ENSG00000100393","ENSG00000005339","0.99987"
"ENSG00000005339","ENSG00000118260","0.998416"
"ENSG00000142208","ENSG00000080824","0.990561"
