"Node1","Node2","Score"
"ENSG00000141510","ENSG00000171862","0.995948"
"ENSG00000141510","ENSG00000135679","1"
"ENSG00000124762","ENSG00000141510","0.996099"
"ENSG00000096717","ENSG00000141510","0.999607"
"ENSG00000139687","ENSG00000132170","0.906664"
"ENSG00000113580","ENSG00000169083","0.996892"
"ENSG00000089250","ENSG00000132535","0.987151"
"ENSG00000141510","ENSG00000139687","0.92046"
"ENSG00000172531","ENSG00000169083","0.997788"
"ENSG00000139687","ENSG00000169083","0.927538"
"ENSG00000169083","ENSG00000096717","0.998764"
"ENSG00000169083","ENSG00000171862","0.987871"
"ENSG00000169083","ENSG00000091831","0.992817"
"ENSG00000135679","ENSG00000169083","0.897783"
"ENSG00000169083","ENSG00000012048","0.995216"
"ENSG00000102882","ENSG00000112062","0.981596"
"ENSG00000132906","ENSG00000102882","0.991288"
"ENSG00000169083","ENSG00000105329","0.901072"
"ENSG00000141510","ENSG00000112062","0.998265"
"ENSG00000137462","ENSG00000141510","0.867676"
"ENSG00000132170","ENSG00000113580","0.985569"
"ENSG00000171862","ENSG00000172531","0.930823"
"ENSG00000141510","ENSG00000102882","0.998501"
"ENSG00000157764","ENSG00000139687","0.900316"
"ENSG00000102882","ENSG00000185122","0.80231"
"ENSG00000143322","ENSG00000141736","0.549607"
"ENSG00000170579","ENSG00000132535","0.204283"
"ENSG00000132170","ENSG00000096717","0.995585"
"ENSG00000141510","ENSG00000198793","0.99647"
"ENSG00000012048","ENSG00000091831","0.998764"
"ENSG00000162711","ENSG00000055332","0.992257"
"ENSG00000186868","ENSG00000188906","0.972718"
"ENSG00000188906","ENSG00000172531","0.768577"
"ENSG00000188906","ENSG00000067560","0.980326"
"ENSG00000188906","ENSG00000186416","0.245098"
"ENSG00000112062","ENSG00000139687","0.911682"
"ENSG00000137462","ENSG00000105329","0.924486"
"ENSG00000136997","ENSG00000096717","0.997597"
"ENSG00000012048","ENSG00000172531","0.976695"
"ENSG00000154229","ENSG00000094631","0.991459"
"ENSG00000134001","ENSG00000055332","0.901109"
"ENSG00000102882","ENSG00000172531","0.995846"
"ENSG00000091831","ENSG00000135679","0.992683"
"ENSG00000124762","ENSG00000130741","0.993853"
"ENSG00000132170","ENSG00000164885","0.719003"
"ENSG00000135679","ENSG00000132535","0.946892"
"ENSG00000132535","ENSG00000176884","0.999"
"ENSG00000105329","ENSG00000271503","0.972279"
"ENSG00000150995","ENSG00000141736","0.987044"
"ENSG00000102081","ENSG00000169756","0.172963"
"ENSG00000124762","ENSG00000164885","0.972229"
"ENSG00000139687","ENSG00000135679","0.933882"
"ENSG00000154229","ENSG00000185386","0.943736"
"ENSG00000154229","ENSG00000134001","0.898942"
"ENSG00000185386","ENSG00000112062","0.941645"
"ENSG00000185386","ENSG00000141510","0.993682"
"ENSG00000141510","ENSG00000172531","0.998368"
"ENSG00000188486","ENSG00000012048","0.997249"
"ENSG00000143322","ENSG00000169083","0.78581"
"ENSG00000141510","ENSG00000169083","0.997501"
"ENSG00000188906","ENSG00000094631","0.876392"
"ENSG00000141510","ENSG00000012048","0.978591"
"ENSG00000105329","ENSG00000141736","0.959279"
"ENSG00000124762","ENSG00000135679","0.993945"
"ENSG00000143322","ENSG00000188906","0.484466"
"ENSG00000186868","ENSG00000164885","0.999214"
"ENSG00000139687","ENSG00000172531","0.916564"
"ENSG00000198793","ENSG00000096717","0.996408"
"ENSG00000169083","ENSG00000142515","0.69165"
"ENSG00000172531","ENSG00000164885","0.998889"
"ENSG00000096717","ENSG00000139687","0.468867"
"ENSG00000094631","ENSG00000141736","0.96493"
"ENSG00000133216","ENSG00000112062","0.669868"
"ENSG00000134001","ENSG00000130741","0.991178"
"ENSG00000136997","ENSG00000012048","0.9983"
"ENSG00000066336","ENSG00000139687","0.782189"
"ENSG00000172531","ENSG00000137693","0.995757"
"ENSG00000150995","ENSG00000185532","0.806565"
"ENSG00000141510","ENSG00000135679","0.0882592"
"ENSG00000141510","ENSG00000091831","0.995728"
"ENSG00000124762","ENSG00000139687","0.911671"
"ENSG00000141736","ENSG00000132535","0.977263"
"ENSG00000154229","ENSG00000132535","0.989569"
"ENSG00000139687","ENSG00000136997","0.908589"
"ENSG00000132906","ENSG00000127946","0.975643"
"ENSG00000091831","ENSG00000141736","0.9975"
"ENSG00000132906","ENSG00000139687","0.779658"
"ENSG00000164418","ENSG00000132535","0.998028"
"ENSG00000091831","ENSG00000124762","0.984217"
"ENSG00000154229","ENSG00000089250","0.98287"
"ENSG00000186868","ENSG00000188130","0.926334"
"ENSG00000172531","ENSG00000188486","0.994237"
"ENSG00000102882","ENSG00000091831","0.995368"
"ENSG00000113580","ENSG00000141510","0.997317"
"ENSG00000135679","ENSG00000113580","0.966158"
"ENSG00000091831","ENSG00000112062","0.982458"
"ENSG00000055332","ENSG00000172531","0.969239"
"ENSG00000143322","ENSG00000133216","0.0468765"
"ENSG00000150995","ENSG00000067560","0.974835"
"ENSG00000254647","ENSG00000139687","0.901656"
"ENSG00000012048","ENSG00000139687","0.915555"
"ENSG00000067560","ENSG00000154229","0.986521"
"ENSG00000136997","ENSG00000102882","0.985429"
"ENSG00000188130","ENSG00000132535","0.814235"
"ENSG00000198598","ENSG00000232810","0.987817"
"ENSG00000132535","ENSG00000168758","0.986769"
"ENSG00000154229","ENSG00000185532","0.872094"
"ENSG00000141510","ENSG00000164885","0.992278"
"ENSG00000141510","ENSG00000055332","0.943682"
"ENSG00000133216","ENSG00000176884","0.838634"
"ENSG00000154229","ENSG00000141510","0.99893"
"ENSG00000091831","ENSG00000171862","0.9928"
"ENSG00000096717","ENSG00000185122","0.906887"
"ENSG00000094631","ENSG00000186868","0.981889"
"ENSG00000091831","ENSG00000136997","0.782951"
"ENSG00000188486","ENSG00000141510","0.998845"
"ENSG00000124762","ENSG00000094631","0.989857"
"ENSG00000113580","ENSG00000094631","0.93761"
"ENSG00000096717","ENSG00000186868","0.958181"
"ENSG00000172531","ENSG00000136997","0.996173"
"ENSG00000198793","ENSG00000154229","0.993843"
"ENSG00000091831","ENSG00000096717","0.995537"
"ENSG00000164885","ENSG00000139687","0.905843"
"ENSG00000118181","ENSG00000135679","0.944275"
"ENSG00000135679","ENSG00000067560","0.981269"
"ENSG00000012048","ENSG00000102882","0.99623"
"ENSG00000102081","ENSG00000091831","0.917587"
"ENSG00000172531","ENSG00000091831","0.998616"
"ENSG00000188486","ENSG00000091831","0.887953"
"ENSG00000198793","ENSG00000012048","0.989885"
"ENSG00000141543","ENSG00000102081","0.996529"
"ENSG00000141510","ENSG00000136997","0.997928"
"ENSG00000176884","ENSG00000148660","0.894294"
"ENSG00000154229","ENSG00000176884","0.989764"
"ENSG00000169756","ENSG00000186868","0.325797"
"ENSG00000186868","ENSG00000156711","0.746062"
"ENSG00000186868","ENSG00000185386","0.892986"
"ENSG00000012048","ENSG00000132906","0.980442"
"ENSG00000094631","ENSG00000102882","0.994094"
"ENSG00000124762","ENSG00000118181","0.970411"
"ENSG00000141510","ENSG00000118181","0.944886"
"ENSG00000154229","ENSG00000132170","0.988764"
"ENSG00000091831","ENSG00000141543","0.918912"
"ENSG00000156711","ENSG00000188130","0.966786"
"ENSG00000232810","ENSG00000168758","0.80386"
"ENSG00000150995","ENSG00000012048","0.619053"
"ENSG00000169083","ENSG00000185532","0.360316"
"ENSG00000135679","ENSG00000143322","0.977809"
"ENSG00000172531","ENSG00000094631","0.994474"
"ENSG00000171862","ENSG00000118181","0.924989"
"ENSG00000102882","ENSG00000157764","0.99247"
"ENSG00000135679","ENSG00000132170","0.913354"
"ENSG00000135679","ENSG00000172531","0.996185"
"ENSG00000094631","ENSG00000162711","0.550407"
"ENSG00000188906","ENSG00000141510","0.987412"
"ENSG00000096717","ENSG00000135679","0.997602"
"ENSG00000171862","ENSG00000254647","0.669638"
"ENSG00000067560","ENSG00000171862","0.985605"
"ENSG00000171862","ENSG00000055332","0.938972"
"ENSG00000198793","ENSG00000091831","0.996098"
"ENSG00000012048","ENSG00000118181","0.899786"
"ENSG00000012048","ENSG00000134333","0.58493"
"ENSG00000186416","ENSG00000012048","0.28217"
"ENSG00000134001","ENSG00000012048","0.896326"
"ENSG00000124762","ENSG00000112062","0.994524"
"ENSG00000172531","ENSG00000157764","0.980306"
"ENSG00000105329","ENSG00000141543","0.823418"
"ENSG00000067560","ENSG00000105329","0.954111"
"ENSG00000232810","ENSG00000118181","0.90479"
"ENSG00000132170","ENSG00000141510","0.995632"
"ENSG00000171862","ENSG00000148660","0.990806"
"ENSG00000136997","ENSG00000148660","0.991875"
"ENSG00000186416","ENSG00000136997","0.640415"
"ENSG00000134333","ENSG00000136997","0.945944"
"ENSG00000136997","ENSG00000134001","0.983464"
"ENSG00000136997","ENSG00000154229","0.974664"
"ENSG00000055332","ENSG00000136997","0.800887"
"ENSG00000141543","ENSG00000136997","0.972362"
"ENSG00000118181","ENSG00000136997","0.980979"
"ENSG00000136997","ENSG00000094631","0.994844"
"ENSG00000141736","ENSG00000133216","0.533703"
"ENSG00000186868","ENSG00000130741","0.951463"
"ENSG00000102882","ENSG00000186868","0.996818"
"ENSG00000186868","ENSG00000112062","0.989284"
"ENSG00000186868","ENSG00000154229","0.987372"
"ENSG00000137693","ENSG00000186416","0.448372"
"ENSG00000186868","ENSG00000172531","0.987248"
"ENSG00000164885","ENSG00000188906","0.943862"
"ENSG00000171862","ENSG00000094631","0.902651"
"ENSG00000171862","ENSG00000137693","0.932884"
"ENSG00000137764","ENSG00000141736","0.898999"
"ENSG00000137764","ENSG00000136997","0.994792"
"ENSG00000141510","ENSG00000137764","0.987799"
"ENSG00000112062","ENSG00000136997","0.989055"
"ENSG00000141736","ENSG00000136997","0.950477"
"ENSG00000135679","ENSG00000136997","0.994598"
"ENSG00000171862","ENSG00000136997","0.980738"
"ENSG00000141736","ENSG00000141510","0.972169"
