Node_1,Node_2,Score
ENSG00000158828,ENSG00000125538,0.058510638
ENSG00000158828,ENSG00000132356,0.037234043
ENSG00000158828,ENSG00000142192,0.074468085
ENSG00000158828,ENSG00000141510,0.095744681
ENSG00000158828,ENSG00000155090,0.026595745
ENSG00000158828,ENSG00000175193,0.324468085
ENSG00000158828,ENSG00000198793,0.042553191
ENSG00000158828,ENSG00000091831,0.117021277
ENSG00000158828,ENSG00000186868,0.037234043
ENSG00000158828,ENSG00000176697,0.015957447
ENSG00000158828,ENSG00000137693,0.021276596
ENSG00000158828,ENSG00000166170,0.021276596
ENSG00000158828,ENSG00000188906,0.04787234
ENSG00000158828,ENSG00000112530,1
ENSG00000158828,ENSG00000154229,0.085106383
ENSG00000158828,ENSG00000136997,0.010638298
ENSG00000158828,ENSG00000142082,0.026595745
ENSG00000158828,ENSG00000176171,0.04787234
ENSG00000158828,ENSG00000105329,0.021276596
ENSG00000158828,ENSG00000164850,0.010638298
ENSG00000158828,ENSG00000198836,0.031914894
ENSG00000158828,ENSG00000171552,0.031914894
ENSG00000158828,ENSG00000102125,0.005319149
ENSG00000158828,ENSG00000164362,0.005319149
ENSG00000158828,ENSG00000166825,0.010638298
ENSG00000158828,ENSG00000141867,0.010638298
ENSG00000158828,ENSG00000162772,0.031914894
ENSG00000158828,ENSG00000152818,0.058510638
ENSG00000158828,ENSG00000081181,0.005319149
ENSG00000158828,ENSG00000159399,0.015957447
ENSG00000158828,ENSG00000136758,0.005319149
ENSG00000158828,ENSG00000153774,0.005319149
ENSG00000158828,ENSG00000134107,0.005319149
ENSG00000158828,ENSG00000162600,0.04787234
ENSG00000158828,ENSG00000164683,0.005319149
ENSG00000158828,ENSG00000111275,0.031914894
ENSG00000158828,ENSG00000165280,0.010638298
ENSG00000158828,ENSG00000148848,0.005319149
ENSG00000158828,ENSG00000158315,0.010638298
ENSG00000158828,ENSG00000076242,0.005319149
ENSG00000158828,ENSG00000105819,0.015957447
ENSG00000158828,ENSG00000132305,0.04787234
ENSG00000158828,ENSG00000197785,0.005319149
ENSG00000158828,ENSG00000135698,0.010638298
ENSG00000158828,ENSG00000163719,0.005319149
ENSG00000158828,ENSG00000100253,0.005319149
