ID,custom_color
ENSG00000179091,orange
ENSG00000117118,orange
ENSG00000167186,orange
ENSG00000073578,orange
ENSG00000010256,orange
ENSG00000110871,orange
ENSG00000131828,orange
ENSG00000088682,orange
ENSG00000262814,orange
ENSG00000178741,orange
ENSG00000165898,orange
ENSG00000105819,orange
ENSG00000169021,orange
ENSG00000105953,orange
ENSG00000168291,orange
ENSG00000140740,orange
ENSG00000204370,orange
ENSG00000061794,orange
ENSG00000164405,orange
ENSG00000204822,orange
ENSG00000137992,orange
ENSG00000004799,orange
ENSG00000146701,orange
ENSG00000113048,orange
ENSG00000062485,orange
ENSG00000109519,orange
ENSG00000150768,orange
ENSG00000138095,orange
ENSG00000119689,orange
ENSG00000110435,orange
ENSG00000168827,orange
ENSG00000143158,orange
ENSG00000023228,orange
ENSG00000259494,orange
ENSG00000075415,orange
ENSG00000181610,orange
ENSG00000091483,orange
ENSG00000165688,orange
ENSG00000184076,orange
ENSG00000135070,orange
ENSG00000136143,orange
ENSG00000132423,orange
ENSG00000067704,orange
ENSG00000116898,orange
ENSG00000166411,orange
ENSG00000166260,orange
ENSG00000171503,orange
ENSG00000134809,orange
ENSG00000130312,orange
ENSG00000112651,orange
ENSG00000248098,orange
ENSG00000173660,orange
ENSG00000146066,orange
ENSG00000127884,orange
ENSG00000050426,orange
ENSG00000111775,orange
ENSG00000014919,orange
ENSG00000141385,orange
ENSG00000084754,orange
ENSG00000140374,orange
ENSG00000115286,orange
ENSG00000157184,orange
ENSG00000083123,orange
ENSG00000101365,orange
ENSG00000011376,orange
ENSG00000122971,orange
ENSG00000168924,orange
ENSG00000198836,orange
ENSG00000148090,orange
ENSG00000163541,orange
ENSG00000178127,orange
ENSG00000119723,orange
ENSG00000055950,orange
ENSG00000106077,orange
ENSG00000154723,orange
ENSG00000166136,orange
ENSG00000255339,orange
ENSG00000196365,orange
ENSG00000091140,orange
ENSG00000156709,orange
ENSG00000134463,orange
ENSG00000155008,orange
ENSG00000159111,orange
ENSG00000148187,orange
ENSG00000110717,orange
ENSG00000117054,orange
ENSG00000132305,orange
ENSG00000100575,orange
ENSG00000151729,orange
ENSG00000100347,orange
ENSG00000158864,orange
ENSG00000167792,orange
ENSG00000100412,orange
ENSG00000156502,orange
ENSG00000066926,orange
ENSG00000085760,orange
ENSG00000167085,orange
ENSG00000198130,orange
ENSG00000122140,orange
ENSG00000113013,orange
ENSG00000148290,orange
ENSG00000165672,orange
ENSG00000165678,orange
ENSG00000151806,orange
ENSG00000099800,orange
ENSG00000214113,orange
ENSG00000166902,orange
ENSG00000185608,orange
ENSG00000067829,orange
ENSG00000143252,orange
ENSG00000136521,orange
ENSG00000167985,orange
ENSG00000256591,orange
ENSG00000135469,orange
ENSG00000100348,orange
ENSG00000096080,orange
ENSG00000164919,orange
ENSG00000147684,orange
ENSG00000109919,orange
ENSG00000184983,orange
ENSG00000178537,orange
ENSG00000169288,orange
ENSG00000104980,orange
ENSG00000138495,orange
ENSG00000112096,orange
ENSG00000126267,orange
ENSG00000213585,orange
ENSG00000125656,orange
ENSG00000138796,orange
ENSG00000115361,orange
ENSG00000075239,orange
ENSG00000156928,orange
ENSG00000166855,orange
ENSG00000164258,orange
ENSG00000105364,orange
ENSG00000108561,orange
ENSG00000107959,orange
ENSG00000101019,orange
ENSG00000162910,orange
ENSG00000278619,orange
ENSG00000116353,orange
ENSG00000135900,orange
ENSG00000119471,orange
ENSG00000120333,orange
ENSG00000197150,orange
ENSG00000171953,orange
ENSG00000139180,orange
ENSG00000168275,orange
ENSG00000099821,orange
ENSG00000136003,orange
ENSG00000130347,orange
ENSG00000197444,orange
ENSG00000103507,orange
ENSG00000164347,orange
ENSG00000123545,orange
ENSG00000125434,orange
ENSG00000108528,orange
ENSG00000150779,orange
ENSG00000100294,orange
ENSG00000181873,orange
ENSG00000215021,orange
ENSG00000132676,orange
ENSG00000103121,orange
ENSG00000205138,orange
ENSG00000239789,orange
ENSG00000147576,orange
ENSG00000285791,orange
ENSG00000244005,orange
ENSG00000101247,orange
ENSG00000158042,orange
ENSG00000136463,orange
ENSG00000171109,orange
ENSG00000196850,orange
ENSG00000174547,orange
ENSG00000131143,orange
ENSG00000145494,orange
ENSG00000172172,orange
ENSG00000083720,orange
ENSG00000135940,orange
ENSG00000005882,orange
ENSG00000023330,orange
ENSG00000243147,orange
ENSG00000135297,orange
ENSG00000121897,orange
ENSG00000128609,orange
ENSG00000165264,orange
ENSG00000128654,orange
ENSG00000172340,orange
ENSG00000137714,orange
ENSG00000100075,orange
ENSG00000147586,orange
ENSG00000105197,orange
ENSG00000165637,orange
ENSG00000181035,orange
ENSG00000196683,orange
ENSG00000104823,orange
ENSG00000074582,orange
ENSG00000132591,orange
ENSG00000187118,orange
ENSG00000086504,orange
ENSG00000123297,orange
ENSG00000165060,orange
ENSG00000285130,orange
ENSG00000169599,orange
ENSG00000139131,orange
ENSG00000197345,orange
ENSG00000159423,orange
ENSG00000158882,orange
ENSG00000137806,orange
ENSG00000140990,orange
ENSG00000196177,orange
ENSG00000135972,orange
ENSG00000072778,orange
ENSG00000167113,orange
ENSG00000137547,orange
ENSG00000131495,orange
ENSG00000143314,orange
ENSG00000144381,orange
ENSG00000168653,orange
ENSG00000147853,orange
ENSG00000172115,orange
ENSG00000027001,orange
ENSG00000186687,orange
ENSG00000095321,orange
ENSG00000114054,orange
ENSG00000125445,orange
ENSG00000114686,orange
ENSG00000100033,orange
ENSG00000175198,orange
ENSG00000078070,orange
ENSG00000128626,orange
ENSG00000162129,orange
ENSG00000152256,orange
ENSG00000149792,orange
ENSG00000112695,orange
ENSG00000171202,orange
ENSG00000121310,orange
ENSG00000004961,orange
ENSG00000106049,orange
ENSG00000115364,orange
ENSG00000171421,orange
ENSG00000174032,orange
ENSG00000161267,orange
ENSG00000145982,orange
ENSG00000131269,orange
ENSG00000173171,orange
ENSG00000267855,orange
ENSG00000134375,orange
ENSG00000143149,orange
ENSG00000163319,orange
ENSG00000247626,orange
ENSG00000119711,orange
ENSG00000161513,orange
ENSG00000257218,orange
ENSG00000126602,orange
ENSG00000151498,orange
