ID,custom_color_protein_processing_ER
ENSG00000109846,Red
ENSG00000131508,Red
ENSG00000100934,Red
ENSG00000068912,Red
ENSG00000136770,Red
ENSG00000088833,Red
ENSG00000079332,Red
ENSG00000128829,Red
ENSG00000127191,Red
ENSG00000099958,Red
ENSG00000030110,Red
ENSG00000157020,Red
ENSG00000134001,Red
ENSG00000109501,Red
ENSG00000058262,Red
ENSG00000128272,Red
ENSG00000025796,Red
ENSG00000076984,Red
ENSG00000149428,Red
ENSG00000150961,Red
ENSG00000055130,Red
ENSG00000140943,Red
ENSG00000188021,Red
ENSG00000166598,Red
ENSG00000178607,Red
ENSG00000160087,Red
ENSG00000116663,Red
ENSG00000116661,Red
ENSG00000159461,Red
ENSG00000067167,Red
ENSG00000118705,Red
ENSG00000119318,Red
ENSG00000050748,Red
ENSG00000173110,Red
ENSG00000134109,Red
ENSG00000100387,Red
ENSG00000113558,Red
ENSG00000107643,Red
ENSG00000160803,Red
ENSG00000090520,Red
ENSG00000171791,Red
ENSG00000106803,Red
ENSG00000109339,Red
ENSG00000012174,Red
ENSG00000111885,Red
ENSG00000155660,Red
ENSG00000180879,Red
ENSG00000109332,Red
ENSG00000213676,Red
ENSG00000101251,Red
ENSG00000130939,Red
ENSG00000239264,Red
ENSG00000071537,Red
ENSG00000169223,Red
ENSG00000179218,Red
ENSG00000163902,Red
ENSG00000163793,Red
ENSG00000107262,Red
ENSG00000145495,Red
ENSG00000101152,Red
ENSG00000133265,Red
ENSG00000117643,Red
ENSG00000244038,Red
ENSG00000138073,Red
ENSG00000162298,Red
ENSG00000126803,Red
ENSG00000132002,Red
ENSG00000104691,Red
ENSG00000135506,Red
ENSG00000125844,Red
ENSG00000070010,Red
ENSG00000044574,Red
ENSG00000051108,Red
ENSG00000055332,Red
ENSG00000138942,Red
ENSG00000127022,Red
ENSG00000162909,Red
ENSG00000177239,Red
ENSG00000116044,Red
ENSG00000086232,Red
ENSG00000103266,Red
ENSG00000086619,Red
ENSG00000151092,Red
ENSG00000138674,Red
ENSG00000152700,Red
ENSG00000136731,Red
ENSG00000074695,Red
ENSG00000014216,Red
ENSG00000072401,Red
ENSG00000114850,Red
ENSG00000174599,Red
ENSG00000180667,Red
ENSG00000184787,Red
ENSG00000148719,Red
ENSG00000182446,Red
ENSG00000172071,Red
ENSG00000162191,Red
ENSG00000096384,Red
ENSG00000185825,Red
ENSG00000089248,Red
ENSG00000175197,Red
ENSG00000008952,Red
ENSG00000136986,Red
ENSG00000137055,Red
ENSG00000065665,Red
ENSG00000077232,Red
ENSG00000109971,Red
ENSG00000147570,Red
ENSG00000176986,Red
ENSG00000198162,Red
ENSG00000165280,Red
ENSG00000102580,Red
ENSG00000123594,Red
ENSG00000164070,Red
ENSG00000066427,Red
ENSG00000163527,Red
ENSG00000129562,Red
ENSG00000204403,Red
ENSG00000197930,Red
ENSG00000115275,Red
ENSG00000102595,Red
ENSG00000160202,Red
ENSG00000138802,Red
ENSG00000134910,Red
ENSG00000140506,Red
ENSG00000136026,Red
ENSG00000198833,Red
ENSG00000120694,Red
ENSG00000112208,Red
ENSG00000087074,Red
ENSG00000104723,Red
ENSG00000089597,Red
ENSG00000130175,Red
ENSG00000116406,Red
ENSG00000131871,Red
ENSG00000132388,Red
ENSG00000132432,Red
ENSG00000163479,Red
ENSG00000185345,Red
ENSG00000144224,Red
ENSG00000120725,Red
ENSG00000113615,Red
ENSG00000198168,Red
ENSG00000204389,Red
ENSG00000204388,Red
ENSG00000101310,Red
ENSG00000204308,Red
ENSG00000276076,Red
ENSG00000100219,Red
ENSG00000143870,Red
ENSG00000088298,Red
ENSG00000118217,Red
ENSG00000185624,Red
ENSG00000086061,Red
ENSG00000080824,Red
ENSG00000175520,Red
ENSG00000179262,Red
ENSG00000167004,Red
ENSG00000124783,Red
ENSG00000204390,Red
ENSG00000087088,Red
ENSG00000135018,Red
ENSG00000197442,Red
ENSG00000167671,Red
ENSG00000075826,Red
ENSG00000069345,Red
ENSG00000072849,Red
ENSG00000173960,Red
ENSG00000135924,Red
ENSG00000078967,Red
