ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,trait_Cognitive.decline,direction_CBE,direction_TCX
ENSG00000111328,3.61,5.86,4.77,3.63,12.19,UP,UP
ENSG00000111181,3.32,7.35,3.45,4.18,11.01,UP,UP
ENSG00000188783,3.45,6.67,4.74,2.81,10.92,UP,UP
ENSG00000170759,2.26,7.13,4.6,1.86,10.26,NONE,UP
ENSG00000196517,7.19,6.17,7.14,4.2,9.94,NONE,UP
ENSG00000125534,-3.58,-7.14,-3.85,-4.64,-9.85,DOWN,NONE
ENSG00000079432,3.8,5.74,3.83,3.35,9.82,NONE,NONE
ENSG00000139410,-2.3,-5.42,-2.37,-3.43,-9.68,DOWN,NONE
ENSG00000184481,3.09,5.27,4.37,3.23,9.67,NONE,NONE
ENSG00000108349,2.4,5.21,4.61,2.06,9.65,NONE,NONE
ENSG00000166669,-2.6,-5.69,-3.52,-1.22,-9.6,DOWN,DOWN
ENSG00000154945,2.39,5.51,6.66,2.81,9.39,NONE,NONE
ENSG00000159176,2.89,5.12,4.74,1.89,9.36,NONE,UP
ENSG00000087116,4.29,7.03,2.61,4.6,9.33,DOWN,UP
ENSG00000119950,2.77,6.23,4.85,2.14,9.13,NONE,NONE
ENSG00000116661,3.56,5.59,2.65,2.55,9.01,NONE,UP
ENSG00000088836,4.44,9.08,4.02,6.05,8.82,NONE,UP
ENSG00000141337,-2.6,-4.4,-4.68,-3.39,-8.65,DOWN,DOWN
ENSG00000177830,-4.25,-9.91,-5.8,-4.88,-8.57,NONE,NONE
ENSG00000106665,3.76,6.79,4.12,2.37,8.48,NONE,NONE
ENSG00000145882,-3.88,-5.53,-5.77,-2.21,-8.42,DOWN,DOWN
ENSG00000153048,1.38,6.54,2.84,0.07,8.4,NONE,NONE
ENSG00000125733,2.53,5.43,3.29,2.11,8.39,UP,UP
ENSG00000100906,2.06,5.26,3.2,1.59,8.38,UP,UP
ENSG00000074964,3.71,3.58,4.2,2.29,8.32,NONE,UP
ENSG00000166508,1.63,4.77,2.29,1.78,8.31,NONE,NONE
ENSG00000105643,2.85,5.23,3.38,3.14,8.31,UP,NONE
ENSG00000115194,-1.89,-4.43,-4.2,-2.52,-8.25,NONE,DOWN
ENSG00000021300,2.16,4.23,4.07,1.07,8.2,NONE,NONE
ENSG00000198792,3.77,4.19,6.87,1.71,8.2,NONE,NONE
ENSG00000186891,-1.88,-4.86,-4.21,-1.07,-8.14,NA,NA
ENSG00000196415,-2.04,-4.31,-5,-0.57,-8.06,NA,NA
ENSG00000132155,2.01,3.44,4.31,1.23,8,NONE,NONE
ENSG00000134802,2.65,4.5,3.61,1.39,8,NONE,UP
ENSG00000162433,2.49,3.67,4.06,0.95,7.99,NONE,UP
ENSG00000133069,3.37,5.91,2.19,4.09,7.97,NONE,NONE
ENSG00000112851,1.87,4.78,6.42,1.79,7.96,NONE,UP
ENSG00000005469,-1.35,-2.77,-2.32,-1.16,-7.89,NONE,NONE
ENSG00000166111,-1.39,-4.57,-2.95,-1.73,-7.84,NONE,DOWN
ENSG00000119760,-5.75,-3.84,-5.62,-8.06,-7.78,NONE,NONE
ENSG00000157833,3.93,3.83,3.87,2.66,7.74,UP,UP
ENSG00000179029,-4.46,-4.34,-4.43,-6.42,-7.71,NONE,NONE
ENSG00000241563,-2.96,-3.66,-5.38,-2.28,-7.69,NA,NA
ENSG00000119729,1.81,4.04,3.91,1.39,7.59,NONE,UP
ENSG00000126777,2.78,4.46,4.52,1.88,7.57,UP,UP
ENSG00000197724,1.45,4.8,1.73,2.39,7.56,NONE,NONE
ENSG00000071054,2.09,6.22,6.41,1.04,7.51,NONE,NONE
ENSG00000152931,-2.22,-3.77,-3.49,-2.25,-7.49,NONE,DOWN
ENSG00000140564,3,5.18,2.72,3.44,7.46,NONE,NONE
ENSG00000166535,2.61,3.49,2.74,3.3,7.42,NONE,UP
ENSG00000196739,3.51,3.61,2.17,6.07,7.39,NONE,UP
ENSG00000177807,2.63,3.25,4.31,0.93,7.32,UP,UP
ENSG00000170276,3.38,5.76,2.5,4.83,7.31,NA,NA
ENSG00000051009,-2.6,-6.79,-3.32,-2.43,-7.3,NONE,NONE
ENSG00000119403,2.85,3.86,5.33,1.98,7.29,NONE,NONE
ENSG00000165458,2.14,3.43,4.04,1.24,7.26,NONE,UP
ENSG00000205352,-3.8,-4.54,-3.55,-4.39,-7.23,DOWN,NONE
ENSG00000129250,1.72,4.19,4.04,1.58,7.22,NONE,NONE
ENSG00000111961,2.41,3.99,6.29,1.37,7.17,UP,UP
ENSG00000167632,-1.28,-4.96,-3.04,-2.4,-7.16,NONE,NONE
ENSG00000105655,3.22,5.82,3.3,3.91,7.13,NONE,UP
ENSG00000159674,-2.68,-5.38,-2.71,-2.38,-7.1,NONE,DOWN
ENSG00000079462,1.54,3.5,0.79,4.65,7.09,NONE,NONE
ENSG00000053702,3.49,6.81,1.9,3.14,7.05,NONE,NONE
ENSG00000140688,-3.6,-5.06,-3.97,-4.19,-7.05,NONE,NONE
ENSG00000136848,3.1,4.2,4.4,4.31,7.04,NONE,NONE
ENSG00000186635,4.07,3.57,7.11,2.35,7.03,NONE,NONE
ENSG00000169064,-2.68,-5.28,-2.83,-2.98,-7.01,NONE,DOWN
ENSG00000188039,3.04,2.69,4.17,3.42,6.98,NONE,UP
ENSG00000165406,3.97,4.24,7.83,1.54,6.96,UP,NONE
ENSG00000114853,4.29,3.21,5.04,3.6,6.92,NONE,NONE
ENSG00000166912,1.82,4.39,5.4,0.83,6.91,NONE,UP
ENSG00000198081,0.46,3.64,1.31,1.46,6.91,NONE,NONE
ENSG00000144655,0.91,2.4,1.96,1.19,6.89,UP,UP
ENSG00000124126,2.57,2.93,6.56,0.92,6.88,NONE,UP
ENSG00000204310,-1.08,-4.45,-1.22,-2.05,-6.87,NONE,NONE
ENSG00000186298,1.79,3.87,5.31,1.95,6.86,NONE,UP
ENSG00000121897,-2.36,-3.75,-3.72,-2.04,-6.86,DOWN,DOWN
ENSG00000112245,-1.55,-2.52,-1.32,-3.03,-6.84,NONE,NONE
ENSG00000173588,-2.97,-3.03,-2.14,-1.67,-6.84,NONE,NONE
ENSG00000101187,0.91,3.22,2.01,1.82,6.82,UP,UP
ENSG00000067057,4.25,6.51,3.16,2.15,6.82,UP,UP
ENSG00000092820,1.64,2.61,3.71,0.75,6.8,UP,UP
ENSG00000141905,3.41,3.14,2.33,2.49,6.79,NONE,NONE
ENSG00000125772,-1.54,-3.97,-2.68,-2.28,-6.78,DOWN,DOWN
ENSG00000163053,-1.87,-2.94,-3.13,-2.41,-6.77,NONE,DOWN
ENSG00000169271,-1.4,-3.4,-3.22,-1.51,-6.75,NONE,DOWN
ENSG00000020577,2.63,5.13,4.17,0.89,6.75,NONE,UP
ENSG00000100605,2.7,3.58,3.41,1.61,6.74,NONE,NONE
ENSG00000143157,2.51,4.88,4.22,1.74,6.71,NONE,NONE
ENSG00000064102,2.28,4.31,1.81,3.37,6.7,NONE,NONE
ENSG00000011426,3.83,4.45,6.85,1.5,6.7,UP,UP
ENSG00000155368,2,4,3.04,1.57,6.69,NONE,UP
ENSG00000104859,2.38,3.94,2.1,2.6,6.69,NONE,NONE
ENSG00000111218,-2.31,-3.09,-4.45,-2.11,-6.67,NONE,DOWN
ENSG00000197892,3.33,3.9,5.47,1.29,6.67,NONE,NONE
ENSG00000131475,-1.51,-2.72,-1.79,-2.43,-6.67,NONE,NONE
ENSG00000126803,2.96,3.98,4.69,1.04,6.65,NONE,NONE
ENSG00000171388,1.96,3.51,1.89,2.03,6.63,NONE,UP
ENSG00000148468,3.08,3.29,3.78,1.39,6.62,NONE,NONE
ENSG00000132613,1.84,2.96,3.91,0.92,6.59,NONE,UP
ENSG00000116786,1,4.87,1.04,0.54,6.58,NONE,UP
ENSG00000140931,2.81,4.07,4.33,3.76,6.57,NONE,UP
ENSG00000151552,3.72,6.11,6,1.72,6.56,NONE,UP
ENSG00000132819,3.72,2.37,5.44,3.01,6.56,NONE,UP
ENSG00000143772,2.42,3.32,5.1,1.33,6.55,UP,UP
ENSG00000198830,-3.3,-4.79,-1.83,-4.07,-6.53,NONE,NONE
ENSG00000108262,2.76,4.11,3.08,3.42,6.52,NONE,NONE
ENSG00000205476,2.77,2.2,2.46,3.79,6.52,NONE,NONE
ENSG00000182902,2.75,3.25,3.86,2.84,6.51,NONE,UP
ENSG00000158793,-4.3,-2.99,-4.23,-4.91,-6.5,NONE,NONE
ENSG00000158186,1.23,3.69,2.91,1.74,6.45,UP,UP
ENSG00000120729,1.39,4.43,2.29,1.46,6.44,UP,UP
ENSG00000171206,2.16,2.75,4.15,1.36,6.43,NONE,UP
ENSG00000119699,0.63,3.09,1.84,1.54,6.43,NONE,NONE
ENSG00000130294,4.04,5.71,3.17,1.14,6.42,NONE,NONE
ENSG00000079841,-1.48,-3.27,-3.24,-2.34,-6.41,NONE,DOWN
ENSG00000165092,-1.03,-5.29,-0.03,-2.45,-6.39,NONE,NONE
ENSG00000110148,-2.04,-3.58,-3.64,-1.32,-6.39,DOWN,DOWN
ENSG00000184208,1.47,3.26,1.43,2.51,6.37,NONE,NONE
ENSG00000155980,0.93,6.37,1.91,0.3,6.35,NONE,UP
ENSG00000196154,3.42,7.2,3.31,2.89,6.34,UP,UP
ENSG00000183963,2.2,3.84,3.88,1.09,6.34,NONE,UP
ENSG00000141433,-1.68,-3.41,-2.45,-2.48,-6.31,NONE,DOWN
ENSG00000104490,-1.78,-3.21,-3.24,-1.85,-6.31,NONE,DOWN
ENSG00000169884,-1.46,-4.41,-3.79,-1.02,-6.27,NONE,DOWN
ENSG00000125817,3.1,2.48,3.61,3.06,6.27,NONE,NONE
ENSG00000136718,-1.31,-4.81,-4.45,-2.75,-6.26,NONE,NONE
ENSG00000135678,3.87,4.65,6.48,1.64,6.26,UP,UP
ENSG00000164978,-2.75,-3.1,-4.99,-1.02,-6.24,NONE,NONE
ENSG00000112996,-1.72,-2.64,-2.31,-1.4,-6.23,NONE,NONE
ENSG00000165175,2.63,3.22,5.19,0.85,6.23,UP,UP
ENSG00000144057,-2.13,-5.89,-2.42,-1.32,-6.21,NONE,DOWN
ENSG00000140575,1.05,5.2,1.65,0.17,6.2,NONE,UP
ENSG00000117115,2.75,3.01,5.22,1.01,6.2,NONE,NONE
ENSG00000101363,-3.47,-2.49,-4.65,-1.71,-6.19,NONE,NONE
ENSG00000185658,-3.23,-3.52,-4.05,-2.8,-6.19,NONE,NONE
ENSG00000164050,2.31,2.36,4.4,1.1,6.18,NONE,UP
ENSG00000042062,2.98,5.52,4.17,4.12,6.18,UP,UP
ENSG00000154845,1.84,4.62,2.94,0.64,6.17,NONE,NONE
ENSG00000233452,-2.41,-2.71,-4,-2.26,-6.15,NONE,DOWN
ENSG00000251372,0.3,3.71,1.32,1.13,6.11,NONE,UP
ENSG00000143321,1.88,2.58,6.23,2.48,6.11,NONE,NONE
ENSG00000244038,-2.21,-3.72,-2.23,-2.29,-6.1,NONE,NONE
ENSG00000094916,4.77,3.93,4.45,4.15,6.06,NONE,NONE
ENSG00000126602,-3.61,-3.54,-6.18,-3.17,-6.06,NONE,NONE
ENSG00000168016,-2.52,-3.03,-5.52,-2.76,-6.06,DOWN,DOWN
ENSG00000121413,-2.87,-4.79,-1.31,-4.04,-6.06,NONE,NONE
ENSG00000064393,1.73,4.3,3.5,1.12,6.04,NONE,NONE
ENSG00000198624,2.95,6.39,3.14,3.51,6.03,NONE,UP
ENSG00000103021,-2.42,-4.15,-2.34,-2.1,-6.02,DOWN,DOWN
ENSG00000204130,-3.2,-1.86,-1.96,-1.64,-6.02,DOWN,DOWN
ENSG00000181555,1.4,3.07,1.36,2.69,6.02,NONE,NONE
ENSG00000070718,-0.7,-2.65,-1.6,-0.96,-6.02,NONE,DOWN
ENSG00000124785,-1.74,-3.09,-2.43,-1.85,-6.01,NONE,DOWN
ENSG00000115282,2.16,3.21,2.55,1.38,5.99,DOWN,NONE
ENSG00000236609,4.7,3.67,5.03,3.09,5.99,NONE,NONE
ENSG00000068308,-0.7,-3.48,-2.5,-2.2,-5.97,NONE,NONE
ENSG00000147862,1.84,2.42,2.62,2.99,5.97,NONE,NONE
ENSG00000198185,-3.54,-4.6,-3.88,-2.91,-5.96,DOWN,DOWN
ENSG00000135447,1.11,3.42,0.78,3.66,5.95,DOWN,UP
ENSG00000141858,2.35,2.38,1.88,3.66,5.95,NONE,NONE
ENSG00000149451,3.48,4.01,3.41,3.39,5.94,NONE,UP
ENSG00000146278,0.99,4.02,2.92,0.35,5.93,UP,UP
ENSG00000150175,-1.45,-3.05,-1.31,-2.67,-5.93,UP,NONE
ENSG00000080200,1.52,2.84,3.98,2.2,5.91,UP,UP
ENSG00000136521,-2.12,-2.7,-3.88,-2.09,-5.91,DOWN,NONE
ENSG00000122512,-2.46,-1.63,-3.17,-2.27,-5.9,NONE,DOWN
ENSG00000260001,-3,-4.92,-3.58,-2.98,-5.89,NONE,DOWN
ENSG00000168309,0.91,1.7,1.84,0.8,5.89,NONE,UP
ENSG00000135365,0.93,3.2,1.92,0.54,5.89,NONE,NONE
ENSG00000161642,2.17,3.31,1.92,2.87,5.87,NONE,UP
ENSG00000184178,-1.32,-2.67,-2.19,-2.06,-5.86,NONE,NONE
ENSG00000150760,1.41,3.9,4.53,0.89,5.86,NONE,UP
ENSG00000165801,2.34,2.19,3.44,1.06,5.86,NONE,UP
ENSG00000147421,3.57,4.39,2.84,4.27,5.85,NONE,UP
ENSG00000198932,-2.59,-3.38,-3.08,-3.01,-5.85,NONE,DOWN
ENSG00000134294,2.88,5.97,4.39,2.23,5.85,UP,UP
ENSG00000174306,3.41,3.09,4.67,3.68,5.82,NONE,UP
ENSG00000185340,2.53,3,3.24,3.59,5.81,NONE,UP
ENSG00000115758,-1.3,-4.09,-1.09,-2.95,-5.8,NONE,NONE
ENSG00000164332,-2.02,-3.98,-3,-1.87,-5.8,NONE,NONE
ENSG00000110492,-3.53,-4.16,-3.85,-3.73,-5.79,DOWN,NONE
ENSG00000105856,1.05,3.24,2.94,0.21,5.78,NONE,UP
ENSG00000117266,4.66,4.4,6.15,1.15,5.78,NONE,NONE
ENSG00000102452,-1.04,-2.84,-1.08,-0.86,-5.76,NONE,NONE
ENSG00000068745,2.15,4.4,2.09,3.51,5.75,NONE,NONE
ENSG00000160131,-2.06,-2.64,-3.03,-2.36,-5.74,NONE,NONE
ENSG00000102547,1.89,4.39,3.04,2.01,5.73,NONE,UP
ENSG00000172466,1.32,2.36,4.66,0.63,5.73,NONE,NONE
ENSG00000148204,3.24,2.72,5.29,0.94,5.72,NONE,UP
ENSG00000130517,3.07,1.82,3.86,3.89,5.71,NONE,NONE
ENSG00000175287,2.28,3.18,2.51,3.6,5.71,NONE,UP
ENSG00000082781,2.06,2.34,5.04,1.4,5.71,NONE,UP
ENSG00000105419,-2.92,-5.69,-2.67,-1.82,-5.7,DOWN,DOWN
ENSG00000164949,0.97,3.31,2.62,0.5,5.66,UP,UP
ENSG00000176105,2.26,3.7,6.03,0.89,5.66,NONE,UP
ENSG00000140488,-3.16,-5.85,-2.69,-2.1,-5.65,NA,NA
ENSG00000100139,2.53,4.25,4.1,1.02,5.65,NONE,NONE
ENSG00000074219,1.44,3.77,2.64,1.49,5.64,UP,UP
ENSG00000184307,-2.27,-2.24,-3,-4.46,-5.62,NONE,DOWN
ENSG00000105202,2.55,2.93,3.71,4.01,5.62,NONE,NONE
ENSG00000162889,2.4,2.21,4.68,2.06,5.62,NONE,UP
ENSG00000162975,-1.9,-2.86,-3.45,-2.36,-5.61,NONE,NONE
ENSG00000108691,1.06,2.14,1.52,0.74,5.61,UP,UP
ENSG00000104324,1.88,3.21,4.24,1.03,5.59,NONE,UP
ENSG00000149269,-1.44,-2.8,-3.21,-1.38,-5.59,DOWN,DOWN
ENSG00000100364,2.36,2.8,2.54,2.34,5.58,NONE,NONE
ENSG00000178234,-2.69,-3.49,-3.03,-2.18,-5.57,NONE,NONE
ENSG00000128039,-0.85,-2.19,-2.33,-0.48,-5.55,DOWN,DOWN
ENSG00000188542,-1.76,-3.13,-3.05,-0.86,-5.54,NONE,NONE
ENSG00000125753,1.44,3.24,2.28,1.7,5.54,NONE,UP
ENSG00000188599,1.99,3.7,1.41,2.22,5.54,NONE,NONE
ENSG00000092203,-1.07,-3.28,-0.4,-2.34,-5.54,NONE,NONE
ENSG00000176401,-3.92,-3.82,-5.49,-1.66,-5.54,NONE,DOWN
ENSG00000145545,-2.2,-2.81,-3.88,-1.85,-5.53,NONE,NONE
ENSG00000166716,3.88,5.92,4.73,2.31,5.53,NONE,NONE
ENSG00000123595,1.36,3.28,4.13,1.29,5.53,UP,UP
ENSG00000177732,3.38,2.08,2.16,2.78,5.53,NONE,NONE
ENSG00000197256,1.48,3.12,2.83,0.76,5.52,NONE,UP
ENSG00000175906,-1.33,-3.4,-2.63,-2.38,-5.52,NONE,DOWN
ENSG00000184634,1.84,3.71,0.68,1.65,5.51,NONE,NONE
ENSG00000157827,1.37,3.3,4.99,0.66,5.51,NONE,UP
ENSG00000152284,2.62,2.91,3.31,2.21,5.5,NONE,UP
ENSG00000064961,2.49,2.84,4.45,2.2,5.5,NONE,UP
ENSG00000175390,-3.29,-2.01,-1.15,-2.2,-5.5,NONE,NONE
ENSG00000176463,2.26,3.78,3.3,1.55,5.5,NONE,NONE
ENSG00000142530,-2.76,-2.9,-5.36,-1.07,-5.5,NONE,NONE
ENSG00000047644,1.77,3.32,3.32,0.96,5.49,NONE,NONE
ENSG00000142227,3.65,3.78,3.79,2.86,5.49,UP,UP
ENSG00000179314,2.74,3.12,6.16,1.73,5.48,NONE,UP
ENSG00000116120,-2.59,-2.24,-6.16,-2.18,-5.47,DOWN,DOWN
ENSG00000146834,3.04,2.1,2.7,5.2,5.47,NONE,NONE
ENSG00000010310,2.35,3.38,3.01,2,5.46,NONE,NONE
ENSG00000100360,-0.26,-2.94,-0.9,-0.47,-5.45,DOWN,DOWN
ENSG00000163884,0.9,1.73,2.42,1.76,5.45,NONE,UP
ENSG00000065809,2.24,3.62,5.48,0.78,5.45,NONE,NONE
ENSG00000183196,2.24,4.33,6.49,0.5,5.44,UP,UP
ENSG00000197329,1.76,3.93,3.48,1.41,5.44,NONE,NONE
ENSG00000118515,3.86,2.72,7.12,2.1,5.44,NONE,UP
ENSG00000103502,-0.8,-4.94,-1.67,-1.06,-5.43,NONE,NONE
ENSG00000128585,1.09,2.7,3.83,0.96,5.43,UP,UP
ENSG00000118007,2.8,3.99,4.92,4.47,5.43,UP,UP
ENSG00000070159,-2.12,-2.35,-2.96,-1.97,-5.42,DOWN,DOWN
ENSG00000145907,1.34,4.05,2.98,0.64,5.41,NONE,UP
ENSG00000144741,-3.5,-3.25,-4.71,-1.87,-5.41,NONE,NONE
ENSG00000177731,2.33,2.47,1.89,3.07,5.4,NONE,NONE
ENSG00000142599,1.76,4.87,1.98,1.44,5.39,NONE,NONE
ENSG00000179241,2.36,4.08,3.36,2.42,5.39,NONE,UP
ENSG00000160097,-0.38,-3.19,-2.85,-0.75,-5.39,NONE,DOWN
ENSG00000187446,-1.53,-2.92,-1.25,-2.32,-5.38,NONE,NONE
ENSG00000138378,-2.61,-2.73,-5.61,-1.79,-5.38,NONE,DOWN
ENSG00000132305,-2.46,-1.49,-3.38,-3.37,-5.36,NONE,NONE
ENSG00000100865,-1.57,-2.83,-1.38,-1.94,-5.35,NONE,NONE
