Gene_1,Gene_2,Combined_Score
ENSG00000164163,ENSG00000067248,0.63
ENSG00000164163,ENSG00000088205,0.944
ENSG00000164163,ENSG00000265354,0.46
ENSG00000164163,ENSG00000165280,0.511
ENSG00000164163,ENSG00000070756,0.552
ENSG00000164163,ENSG00000087269,0.569
ENSG00000164163,ENSG00000164162,0.581
ENSG00000164163,ENSG00000128050,0.672
ENSG00000164163,ENSG00000111335,0.722
ENSG00000164163,ENSG00000167658,0.892
ENSG00000164163,ENSG00000175390,0.931
ENSG00000164163,ENSG00000084623,0.986
ENSG00000164163,ENSG00000107581,0.991
ENSG00000164163,ENSG00000106263,0.997
ENSG00000164163,ENSG00000120705,0.999
ENSG00000164162,ENSG00000164163,0.581
ENSG00000164162,ENSG00000170185,0.456
ENSG00000181072,ENSG00000116741,0.442
ENSG00000175216,ENSG00000126216,0.629
ENSG00000175216,ENSG00000088205,0.513
ENSG00000175216,ENSG00000010244,0.819
ENSG00000175216,ENSG00000128050,0.594
ENSG00000141551,ENSG00000126216,0.426
ENSG00000141551,ENSG00000100934,0.418
ENSG00000141551,ENSG00000178718,0.818
ENSG00000088205,ENSG00000106344,0.956
ENSG00000088205,ENSG00000067248,0.515
ENSG00000088205,ENSG00000100902,0.619
ENSG00000088205,ENSG00000119707,0.458
ENSG00000088205,ENSG00000157349,0.421
ENSG00000088205,ENSG00000070756,0.464
ENSG00000088205,ENSG00000175216,0.513
ENSG00000088205,ENSG00000106263,0.647
ENSG00000088205,ENSG00000121892,0.78
ENSG00000088205,ENSG00000087269,0.877
ENSG00000088205,ENSG00000164163,0.944
ENSG00000088205,ENSG00000089737,0.995
ENSG00000157349,ENSG00000088205,0.421
ENSG00000157349,ENSG00000153201,0.579
ENSG00000157349,ENSG00000089737,0.435
ENSG00000157349,ENSG00000070756,0.539
ENSG00000089737,ENSG00000106344,0.974
ENSG00000089737,ENSG00000067248,0.516
ENSG00000089737,ENSG00000119707,0.429
ENSG00000089737,ENSG00000088205,0.995
ENSG00000089737,ENSG00000157349,0.435
ENSG00000089737,ENSG00000087269,0.946
ENSG00000067248,ENSG00000144028,0.452
ENSG00000067248,ENSG00000070756,0.475
ENSG00000067248,ENSG00000004534,0.485
ENSG00000067248,ENSG00000088205,0.515
ENSG00000067248,ENSG00000089737,0.516
ENSG00000067248,ENSG00000100109,0.536
ENSG00000067248,ENSG00000175390,0.566
ENSG00000067248,ENSG00000167658,0.575
ENSG00000067248,ENSG00000107581,0.627
ENSG00000067248,ENSG00000164163,0.63
ENSG00000067248,ENSG00000084623,0.763
ENSG00000067248,ENSG00000106263,0.797
ENSG00000167658,ENSG00000120948,0.51
ENSG00000167658,ENSG00000067248,0.575
ENSG00000167658,ENSG00000100902,0.687
ENSG00000167658,ENSG00000119707,0.492
ENSG00000167658,ENSG00000108424,0.597
ENSG00000167658,ENSG00000164163,0.892
ENSG00000167658,ENSG00000165280,0.45
ENSG00000167658,ENSG00000125743,0.494
ENSG00000167658,ENSG00000144028,0.63
ENSG00000167658,ENSG00000165119,0.686
ENSG00000167658,ENSG00000107581,0.696
ENSG00000167658,ENSG00000175390,0.756
ENSG00000167658,ENSG00000178952,0.811
ENSG00000167658,ENSG00000120705,0.832
ENSG00000167658,ENSG00000084623,0.844
ENSG00000167658,ENSG00000070756,0.858
ENSG00000167658,ENSG00000106263,0.953
ENSG00000115211,ENSG00000106263,0.666
ENSG00000115211,ENSG00000084623,0.558
ENSG00000115211,ENSG00000175390,0.414
ENSG00000107581,ENSG00000120948,0.404
ENSG00000107581,ENSG00000067248,0.627
ENSG00000107581,ENSG00000119707,0.482
ENSG00000107581,ENSG00000154767,0.507
ENSG00000107581,ENSG00000108424,0.539
ENSG00000107581,ENSG00000164163,0.991
ENSG00000107581,ENSG00000167658,0.696
ENSG00000107581,ENSG00000070756,0.629
ENSG00000107581,ENSG00000120705,0.827
ENSG00000107581,ENSG00000106263,0.999
ENSG00000107581,ENSG00000102172,0.431
ENSG00000107581,ENSG00000175390,0.999
ENSG00000107581,ENSG00000084623,0.999
ENSG00000106263,ENSG00000120948,0.476
ENSG00000106263,ENSG00000067248,0.797
ENSG00000106263,ENSG00000100902,0.629
ENSG00000106263,ENSG00000088205,0.647
ENSG00000106263,ENSG00000108424,0.831
ENSG00000106263,ENSG00000164163,0.997
ENSG00000106263,ENSG00000167658,0.953
ENSG00000106263,ENSG00000070756,0.851
ENSG00000106263,ENSG00000120705,0.963
ENSG00000106263,ENSG00000115211,0.666
ENSG00000106263,ENSG00000107581,0.999
ENSG00000106263,ENSG00000175390,0.999
ENSG00000106263,ENSG00000084623,0.999
ENSG00000175390,ENSG00000067248,0.566
ENSG00000175390,ENSG00000100902,0.479
ENSG00000175390,ENSG00000108424,0.513
ENSG00000175390,ENSG00000164163,0.931
ENSG00000175390,ENSG00000167658,0.756
ENSG00000175390,ENSG00000070756,0.575
ENSG00000175390,ENSG00000120705,0.71
ENSG00000175390,ENSG00000106263,0.999
ENSG00000175390,ENSG00000107581,0.999
ENSG00000175390,ENSG00000084623,0.999
ENSG00000175390,ENSG00000165119,0.792
ENSG00000175390,ENSG00000115211,0.414
ENSG00000175390,ENSG00000163636,0.746
ENSG00000084623,ENSG00000120948,0.47
ENSG00000084623,ENSG00000067248,0.763
ENSG00000084623,ENSG00000100902,0.755
ENSG00000084623,ENSG00000108424,0.736
ENSG00000084623,ENSG00000164163,0.986
ENSG00000084623,ENSG00000167658,0.844
ENSG00000084623,ENSG00000070756,0.588
ENSG00000084623,ENSG00000178952,0.451
ENSG00000084623,ENSG00000125743,0.539
ENSG00000084623,ENSG00000120705,0.928
ENSG00000084623,ENSG00000106263,0.999
ENSG00000084623,ENSG00000107581,0.999
ENSG00000084623,ENSG00000165119,0.511
ENSG00000084623,ENSG00000115211,0.558
ENSG00000084623,ENSG00000175390,0.999
ENSG00000183495,ENSG00000119707,0.557
ENSG00000183495,ENSG00000099956,0.528
ENSG00000183495,ENSG00000144028,0.485
ENSG00000183495,ENSG00000172977,0.999
ENSG00000183495,ENSG00000127511,0.459
ENSG00000183495,ENSG00000118900,0.915
ENSG00000120705,ENSG00000100902,0.654
ENSG00000120705,ENSG00000108424,0.577
ENSG00000120705,ENSG00000164163,0.999
ENSG00000120705,ENSG00000167658,0.832
ENSG00000120705,ENSG00000070756,0.778
ENSG00000120705,ENSG00000265354,0.413
ENSG00000120705,ENSG00000128050,0.596
ENSG00000120705,ENSG00000175390,0.71
ENSG00000120705,ENSG00000107581,0.827
ENSG00000120705,ENSG00000084623,0.928
ENSG00000120705,ENSG00000106263,0.963
ENSG00000105755,ENSG00000079462,0.69
ENSG00000130713,ENSG00000120948,0.44
ENSG00000130713,ENSG00000108424,0.422
ENSG00000130713,ENSG00000125743,0.661
ENSG00000130713,ENSG00000010244,0.508
ENSG00000130713,ENSG00000165119,0.615
ENSG00000130713,ENSG00000087269,0.928
ENSG00000155760,ENSG00000108854,0.673
ENSG00000155760,ENSG00000198742,0.672
ENSG00000064961,ENSG00000150459,0.608
ENSG00000165119,ENSG00000120948,0.972
ENSG00000165119,ENSG00000119707,0.452
ENSG00000165119,ENSG00000108424,0.653
ENSG00000165119,ENSG00000167658,0.686
ENSG00000165119,ENSG00000070756,0.905
ENSG00000165119,ENSG00000144028,0.565
ENSG00000165119,ENSG00000133226,0.581
ENSG00000165119,ENSG00000125743,0.964
ENSG00000165119,ENSG00000147669,0.6
ENSG00000165119,ENSG00000165280,0.426
ENSG00000165119,ENSG00000026559,0.643
ENSG00000165119,ENSG00000130713,0.615
ENSG00000165119,ENSG00000084623,0.511
ENSG00000165119,ENSG00000065526,0.413
ENSG00000165119,ENSG00000205937,0.616
ENSG00000165119,ENSG00000150459,0.674
ENSG00000165119,ENSG00000175390,0.792
ENSG00000136231,ENSG00000125743,0.519
ENSG00000164171,ENSG00000106366,0.408
ENSG00000172977,ENSG00000049541,0.635
ENSG00000172977,ENSG00000105229,0.729
ENSG00000172977,ENSG00000164985,0.411
ENSG00000172977,ENSG00000046651,0.772
ENSG00000172977,ENSG00000183495,0.999
ENSG00000026559,ENSG00000165119,0.643
ENSG00000177807,ENSG00000110436,0.824
ENSG00000177807,ENSG00000117360,0.436
ENSG00000108424,ENSG00000100902,0.628
ENSG00000108424,ENSG00000064419,0.789
ENSG00000108424,ENSG00000153201,0.996
ENSG00000108424,ENSG00000130713,0.422
ENSG00000108424,ENSG00000070756,0.455
ENSG00000108424,ENSG00000125743,0.471
ENSG00000108424,ENSG00000175390,0.513
ENSG00000108424,ENSG00000107581,0.539
ENSG00000108424,ENSG00000120705,0.577
ENSG00000108424,ENSG00000167658,0.597
ENSG00000108424,ENSG00000165119,0.653
ENSG00000108424,ENSG00000084623,0.736
ENSG00000108424,ENSG00000106263,0.831
ENSG00000105486,ENSG00000049541,0.879
ENSG00000105486,ENSG00000154767,0.445
ENSG00000177239,ENSG00000013288,0.455
ENSG00000177239,ENSG00000161013,0.511
ENSG00000013288,ENSG00000177239,0.455
ENSG00000161013,ENSG00000177239,0.511
ENSG00000198598,ENSG00000106366,0.486
ENSG00000178860,ENSG00000112658,0.502
ENSG00000119421,ENSG00000120948,0.6
ENSG00000119421,ENSG00000173660,0.972
ENSG00000119421,ENSG00000184076,0.986
ENSG00000087269,ENSG00000106344,0.992
ENSG00000087269,ENSG00000088205,0.877
ENSG00000087269,ENSG00000004534,0.514
ENSG00000087269,ENSG00000164163,0.569
ENSG00000087269,ENSG00000130713,0.928
ENSG00000087269,ENSG00000089737,0.946
ENSG00000111335,ENSG00000164163,0.722
ENSG00000046651,ENSG00000172977,0.772
ENSG00000070756,ENSG00000120948,0.657
ENSG00000070756,ENSG00000067248,0.475
ENSG00000070756,ENSG00000088205,0.464
ENSG00000070756,ENSG00000157349,0.539
ENSG00000070756,ENSG00000108424,0.455
ENSG00000070756,ENSG00000164163,0.552
ENSG00000070756,ENSG00000167658,0.858
ENSG00000070756,ENSG00000128050,0.412
ENSG00000070756,ENSG00000205937,0.419
ENSG00000070756,ENSG00000165280,0.427
ENSG00000070756,ENSG00000144028,0.477
ENSG00000070756,ENSG00000175390,0.575
ENSG00000070756,ENSG00000084623,0.588
ENSG00000070756,ENSG00000107581,0.629
ENSG00000070756,ENSG00000164985,0.631
ENSG00000070756,ENSG00000120705,0.778
ENSG00000070756,ENSG00000106263,0.851
ENSG00000070756,ENSG00000165119,0.905
ENSG00000079462,ENSG00000105755,0.69
ENSG00000128050,ENSG00000164163,0.672
ENSG00000128050,ENSG00000070756,0.412
ENSG00000128050,ENSG00000176986,0.646
ENSG00000128050,ENSG00000120705,0.596
ENSG00000128050,ENSG00000175216,0.594
