ID,logFC_CBE_Mayo
ENSG00000131584,-0.209336382
ENSG00000097021,-0.031959545
ENSG00000116771,-0.168006687
ENSG00000188157,0.260900382
ENSG00000177674,-0.184133277
ENSG00000196581,0.067373334
ENSG00000053371,0.086472299
ENSG00000162482,-0.120169645
ENSG00000211454,-0.096017415
ENSG00000159423,-0.395153478
ENSG00000162551,0.272857741
ENSG00000171819,-0.054169575
ENSG00000235098,-0.093082261
ENSG00000074964,0.166396583
ENSG00000130762,0.208549539
ENSG00000142632,0.21628496
ENSG00000197785,-0.097238028
ENSG00000160072,-0.145343341
ENSG00000215915,-0.027678263
ENSG00000159363,-0.004802488
ENSG00000175756,-0.03294007
ENSG00000176022,-0.169390353
ENSG00000175262,-0.421551507
