ID,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles
ENSG00000175756,-0.15,-2.19,-0.75,0.21
ENSG00000244038,-2.21,-3.72,-2.23,-2.29
ENSG00000226029,NA,NA,NA,NA
ENSG00000130764,0.15,-1.34,-0.09,-0.14
ENSG00000242485,-0.19,-0.38,-0.52,-0.01
ENSG00000188976,0.05,-1.75,-0.76,0.29
ENSG00000157916,-0.91,-2.44,-0.08,-1.94
ENSG00000116251,-0.03,0.74,0.23,0.41
ENSG00000117118,-1.46,-0.85,-0.95,-1.71
ENSG00000065526,0.91,1.64,2.03,0.14
ENSG00000041988,-0.04,0.03,-0.52,-0.04
ENSG00000233954,NA,NA,NA,NA
ENSG00000116213,-0.08,0.33,-0.51,-0.25
ENSG00000117448,-1.04,-2.42,-1.73,-1.15
ENSG00000117410,0.14,-0.11,-0.23,0.21
ENSG00000116922,-1.38,-0.67,-0.67,-1.44
ENSG00000197982,0.25,0.23,1.44,0
ENSG00000117395,-1.46,-2.31,-2.54,-2.08
ENSG00000117308,-1.41,-0.92,-3.32,-0.14
ENSG00000134697,-0.21,0.1,-1.04,0.4
ENSG00000168653,-0.37,-0.16,-1.98,0.37
ENSG00000175087,-0.69,-0.86,-1.2,-0.38
ENSG00000084072,-0.65,-0.4,-1.97,-0.16
ENSG00000117748,-1.24,-0.25,-1.02,-1.3
ENSG00000142937,-0.63,-0.22,-0.27,-0.06
ENSG00000010803,0.41,1.26,-0.32,0.89
ENSG00000183431,-0.97,-1.26,-0.6,-1.53
ENSG00000163866,NA,NA,NA,NA
ENSG00000163877,0.65,1.38,2.5,0.19
ENSG00000117614,0.17,0.16,0.81,1.29
ENSG00000054116,0.18,0.94,-0.47,0.66
ENSG00000173660,-0.49,0.16,-1.5,0.05
ENSG00000126088,0.05,-0.29,-0.83,0.45
ENSG00000183520,NA,NA,NA,NA
ENSG00000065978,0.77,2.59,2.79,0.13
ENSG00000162384,-0.82,-1.27,-0.65,-0.75
ENSG00000162595,-0.42,-0.46,-0.4,-0.14
ENSG00000137947,-0.51,0.52,-0.48,-0.52
ENSG00000198841,-0.2,-0.52,-0.64,-0.12
ENSG00000157193,0.31,0.82,0.17,-0.58
ENSG00000058804,NA,NA,NA,NA
ENSG00000142892,-0.19,0.38,0.01,-0.93
ENSG00000116171,-0.19,0.34,0.91,0.18
ENSG00000198711,NA,NA,NA,NA
ENSG00000123473,NA,NA,NA,NA
ENSG00000162604,-2,-0.65,-1.45,-1.47
ENSG00000116209,-0.29,-0.18,0.57,-0.9
ENSG00000116459,NA,NA,NA,NA
ENSG00000116752,-1.38,-1.38,-1.25,-1.21
ENSG00000118292,-0.46,-0.98,-0.98,-0.54
ENSG00000117262,-0.27,0.51,-0.28,-0.78
ENSG00000188092,-0.79,0.09,-0.01,-0.79
ENSG00000163349,0.62,2.89,2.28,0.53
ENSG00000184270,NA,NA,NA,NA
ENSG00000224699,NA,NA,NA,NA
ENSG00000266472,-0.47,-0.47,-2.45,-0.03
ENSG00000273136,NA,NA,NA,NA
ENSG00000198890,-0.07,-0.59,-0.46,-0.59
ENSG00000143106,-0.68,-0.76,-1.09,-1.35
ENSG00000117569,0.9,0.38,2.03,0.58
ENSG00000215717,-0.21,0.24,0.18,-0.33
ENSG00000065183,-0.09,-0.9,-0.03,-0.58
ENSG00000143162,-0.96,-0.45,0.1,-3.09
ENSG00000179085,-0.47,-0.3,-0.81,0.32
ENSG00000160752,-0.16,1.49,0.26,-0.51
ENSG00000143575,-1.04,-0.31,-2.05,-1.3
ENSG00000162755,-1.75,-0.72,-3.85,-0.25
ENSG00000116586,-0.61,-0.83,-1.25,-0.66
ENSG00000143198,0.31,0.46,0.05,0.31
ENSG00000143314,-1.09,-1.24,-3.28,-0.73
ENSG00000143436,-0.55,-0.71,-1.42,0.56
ENSG00000173171,-0.07,-0.84,-1.2,0.48
ENSG00000162734,1.29,1.38,2.19,0.54
ENSG00000143224,-0.69,-0.4,-1.7,-0.12
ENSG00000159377,-0.92,-0.92,-1.54,-0.13
ENSG00000159352,0.11,-0.35,-0.51,0.36
ENSG00000163156,-0.01,-0.46,-0.41,0.29
ENSG00000143252,-0.53,-0.65,-0.15,-1.33
ENSG00000198952,1.68,2.03,2.4,0.85
ENSG00000143553,-0.08,0.4,0.56,-0.48
ENSG00000163479,-0.24,-1.05,-0.46,-0.02
ENSG00000143183,-1.43,-2.35,-0.29,-2.91
ENSG00000143549,-0.16,-0.52,-0.44,-0.48
ENSG00000215845,-0.3,-0.57,-2.07,-0.36
ENSG00000158773,-0.13,-0.78,-1.3,0.62
ENSG00000163159,0.23,1.28,-0.08,1.23
ENSG00000162757,NA,NA,NA,NA
ENSG00000213047,NA,NA,NA,NA
ENSG00000234741,-0.43,-0.46,-0.14,-0.15
ENSG00000123684,-0.09,-0.2,-0.09,-0.16
ENSG00000077157,-0.2,0.08,0.36,-0.49
ENSG00000117523,0.79,0.86,0.26,2.36
ENSG00000182004,-1.29,-0.49,-1.18,-0.03
ENSG00000134375,-0.2,-0.37,-0.79,-0.83
ENSG00000116857,-0.32,-0.38,-0.55,0.05
ENSG00000186283,0.16,-0.61,0.75,0.46
ENSG00000117533,-0.58,-1.1,-1.46,0.03
ENSG00000143727,-2.05,-1.35,-1.65,-2
ENSG00000154309,NA,NA,NA,NA
ENSG00000092978,0.16,-0.85,0.15,0.25
ENSG00000143774,0.09,-0.18,0.03,0.15
ENSG00000081692,-1.04,-3.8,-2.72,-0.94
ENSG00000162910,-0.92,-1.9,-2.71,-0.39
ENSG00000135778,-1.55,-0.44,-2.86,-1.74
ENSG00000067533,-0.18,-0.18,-0.26,0.21
ENSG00000151353,0.1,-1.11,-0.61,-0.01
ENSG00000221843,NA,NA,NA,NA
ENSG00000143933,-0.43,-0.05,-0.81,-0.11
ENSG00000115944,-0.39,-0.65,-0.23,-0.51
ENSG00000119203,-0.53,-2.51,-1.15,-0.69
ENSG00000119878,0.3,0.36,1.01,0.19
ENSG00000115137,-0.43,-0.25,-0.57,-0.16
ENSG00000032389,NA,NA,NA,NA
ENSG00000219626,-0.92,-1.56,-1.22,0.07
ENSG00000171055,-0.35,-0.54,-0.23,-0.43
ENSG00000134330,-2.1,-0.8,-2.28,-0.75
ENSG00000138095,-2.47,-3,-1.21,-0.76
ENSG00000180398,-0.18,0.01,0.34,-0.57
ENSG00000084676,1.41,3.95,3.07,2.58
ENSG00000115216,0.05,0.02,-0.08,0.04
ENSG00000228474,-0.74,-0.03,-0.56,-0.43
ENSG00000240857,-0.02,-0.01,-0.19,-0.3
ENSG00000171863,-0.3,0.81,0.21,0.08
ENSG00000115128,NA,NA,NA,NA
ENSG00000115234,-0.06,-0.4,-0.22,-0.21
ENSG00000176887,NA,NA,NA,NA
ENSG00000115306,0.19,1.8,1.28,-0.19
ENSG00000115750,-0.45,0.09,0.36,-0.51
ENSG00000163170,-1.28,-0.93,-1.62,-0.49
ENSG00000135624,0.2,-0.04,-0.28,0.46
ENSG00000011523,-1.52,-2.52,-1.16,-1.2
ENSG00000035141,-0.2,-1.16,-1.53,-0.08
ENSG00000059728,-0.53,-0.09,-0.41,-0.72
ENSG00000169599,-0.31,-0.33,-1.26,-0.13
ENSG00000135617,0.01,-0.41,0.09,0.45
ENSG00000200488,NA,NA,NA,NA
ENSG00000168894,-1.06,-0.48,-1.08,-0.22
ENSG00000208772,NA,NA,NA,NA
ENSG00000115525,-0.34,-0.89,-0.2,-0.38
ENSG00000163541,-0.25,-0.73,-1.08,-0.36
ENSG00000116001,-0.14,0.35,0.27,-0.78
ENSG00000034510,-0.38,0.23,-1.25,-0.11
ENSG00000136002,1.14,0.69,0.52,0.37
ENSG00000136710,-1.19,-2.38,-2.22,-0.6
ENSG00000135940,-0.25,0.2,-1.14,0.87
ENSG00000136718,-1.31,-4.81,-4.45,-2.75
ENSG00000173272,-0.1,-0.08,-0.71,0
ENSG00000152082,0.06,-0.08,-0.38,0.24
ENSG00000155438,NA,NA,NA,NA
ENSG00000115539,0.92,0.07,-0.01,0.21
ENSG00000115762,-1.45,-1.94,-1.03,-2.54
ENSG00000125630,0.45,0.05,0.55,-0.28
