ID,custom_color_proteasome
ENSG00000222028,Red
ENSG00000100911,Red
ENSG00000163636,Red
ENSG00000111537,Red
ENSG00000110801,Red
ENSG00000041357,Red
ENSG00000130706,Red
ENSG00000175166,Red
ENSG00000013275,Red
ENSG00000125818,Red
ENSG00000100567,Red
ENSG00000161057,Red
ENSG00000087191,Red
ENSG00000106588,Red
ENSG00000154611,Red
ENSG00000099341,Red
ENSG00000092010,Red
ENSG00000204264,Red
ENSG00000129084,Red
ENSG00000165916,Red
ENSG00000131467,Red
ENSG00000185627,Red
ENSG00000100902,Red
ENSG00000173692,Red
ENSG00000100804,Red
ENSG00000115233,Red
ENSG00000240065,Red
ENSG00000100764,Red
ENSG00000100519,Red
ENSG00000277791,Red
ENSG00000008018,Red
ENSG00000101182,Red
ENSG00000108671,Red
ENSG00000108344,Red
ENSG00000143106,Red
ENSG00000136930,Red
ENSG00000132963,Red
ENSG00000142507,Red
ENSG00000197170,Red
ENSG00000126067,Red
ENSG00000205220,Red
ENSG00000159352,Red
ENSG00000159377,Red
ENSG00000127922,Red
ENSG00000103035,Red
ENSG00000068878,Red
