ID,custom_color_vesicle_transport
ENSG00000169223,Red
ENSG00000103111,Red
ENSG00000123892,Red
ENSG00000151532,Red
ENSG00000103051,Red
ENSG00000166685,Red
ENSG00000204843,Red
ENSG00000100528,Red
ENSG00000175416,Red
ENSG00000138798,Red
ENSG00000113734,Red
ENSG00000068354,Red
ENSG00000166444,Red
ENSG00000182287,Red
ENSG00000084674,Red
ENSG00000074319,Red
ENSG00000160460,Red
ENSG00000135597,Red
ENSG00000172780,Red
ENSG00000124333,Red
ENSG00000196814,Red
ENSG00000183020,Red
ENSG00000166200,Red
ENSG00000173744,Red
ENSG00000206418,Red
ENSG00000100196,Red
ENSG00000150961,Red
ENSG00000158270,Red
ENSG00000136816,Red
ENSG00000127241,Red
ENSG00000142945,Red
ENSG00000079462,Red
ENSG00000174485,Red
ENSG00000174839,Red
ENSG00000145979,Red
ENSG00000147457,Red
ENSG00000175793,Red
ENSG00000042753,Red
ENSG00000105402,Red
ENSG00000123384,Red
ENSG00000001626,Red
ENSG00000117533,Red
ENSG00000088986,Red
ENSG00000198399,Red
ENSG00000105612,Red
ENSG00000009844,Red
ENSG00000196961,Red
ENSG00000206560,Red
ENSG00000077380,Red
ENSG00000168818,Red
ENSG00000159082,Red
ENSG00000167286,Red
ENSG00000100099,Red
ENSG00000125337,Red
ENSG00000162849,Red
ENSG00000188021,Red
ENSG00000110075,Red
ENSG00000166128,Red
ENSG00000175203,Red
ENSG00000114988,Red
ENSG00000265808,Red
ENSG00000154917,Red
ENSG00000113070,Red
ENSG00000143553,Red
ENSG00000105355,Red
ENSG00000163466,Red
ENSG00000203668,Red
ENSG00000223519,Red
ENSG00000049245,Red
ENSG00000198734,Red
ENSG00000105443,Red
ENSG00000180398,Red
ENSG00000197694,Red
ENSG00000129250,Red
ENSG00000115353,Red
ENSG00000118640,Red
ENSG00000168461,Red
ENSG00000132612,Red
ENSG00000127946,Red
ENSG00000160948,Red
ENSG00000136100,Red
ENSG00000161800,Red
ENSG00000165699,Red
ENSG00000066735,Red
ENSG00000155975,Red
ENSG00000132912,Red
ENSG00000090889,Red
ENSG00000148396,Red
ENSG00000135677,Red
ENSG00000085832,Red
ENSG00000119522,Red
ENSG00000141200,Red
ENSG00000140600,Red
ENSG00000138663,Red
ENSG00000155980,Red
ENSG00000168090,Red
ENSG00000157978,Red
ENSG00000168092,Red
ENSG00000111737,Red
ENSG00000111731,Red
ENSG00000198162,Red
ENSG00000242247,Red
ENSG00000162236,Red
ENSG00000110395,Red
ENSG00000123595,Red
ENSG00000103496,Red
ENSG00000152661,Red
ENSG00000165474,Red
ENSG00000198898,Red
ENSG00000115977,Red
ENSG00000167632,Red
ENSG00000175582,Red
ENSG00000126062,Red
ENSG00000140506,Red
ENSG00000163631,Red
ENSG00000121621,Red
ENSG00000136738,Red
ENSG00000183011,Red
ENSG00000142192,Red
ENSG00000109861,Red
ENSG00000143933,Red
ENSG00000137502,Red
ENSG00000176108,Red
ENSG00000167110,Red
ENSG00000130203,Red
ENSG00000205726,Red
ENSG00000135249,Red
ENSG00000173898,Red
ENSG00000110195,Red
ENSG00000154710,Red
ENSG00000144566,Red
ENSG00000154305,Red
ENSG00000105438,Red
ENSG00000173020,Red
ENSG00000168434,Red
ENSG00000092108,Red
ENSG00000105649,Red
ENSG00000196655,Red
ENSG00000168538,Red
ENSG00000114251,Red
ENSG00000177182,Red
ENSG00000131966,Red
ENSG00000237649,Red
ENSG00000164627,Red
ENSG00000086827,Red
ENSG00000276600,Red
ENSG00000034713,Red
ENSG00000164692,Red
ENSG00000170296,Red
ENSG00000133812,Red
ENSG00000172007,Red
ENSG00000113597,Red
ENSG00000116489,Red
ENSG00000168542,Red
ENSG00000101246,Red
ENSG00000105221,Red
ENSG00000197892,Red
ENSG00000197959,Red
ENSG00000100055,Red
ENSG00000158623,Red
ENSG00000041353,Red
ENSG00000133138,Red
ENSG00000163554,Red
ENSG00000104946,Red
ENSG00000111652,Red
ENSG00000110514,Red
ENSG00000122126,Red
ENSG00000134243,Red
ENSG00000161203,Red
ENSG00000141480,Red
ENSG00000104892,Red
ENSG00000164924,Red
ENSG00000134287,Red
ENSG00000083937,Red
ENSG00000139977,Red
ENSG00000158560,Red
ENSG00000140941,Red
ENSG00000165006,Red
ENSG00000135441,Red
ENSG00000125733,Red
ENSG00000142765,Red
ENSG00000108433,Red
ENSG00000119396,Red
ENSG00000274808,Red
ENSG00000092531,Red
ENSG00000166598,Red
ENSG00000103197,Red
ENSG00000105829,Red
ENSG00000163808,Red
ENSG00000137942,Red
ENSG00000111907,Red
ENSG00000141985,Red
ENSG00000128245,Red
ENSG00000103769,Red
ENSG00000184840,Red
ENSG00000063245,Red
ENSG00000089818,Red
ENSG00000111885,Red
ENSG00000136717,Red
ENSG00000188536,Red
ENSG00000197879,Red
ENSG00000110169,Red
ENSG00000007168,Red
ENSG00000104164,Red
ENSG00000186185,Red
ENSG00000135040,Red
ENSG00000143858,Red
ENSG00000177951,Red
ENSG00000101421,Red
ENSG00000144635,Red
ENSG00000117643,Red
ENSG00000178996,Red
ENSG00000203879,Red
ENSG00000112893,Red
ENSG00000151150,Red
ENSG00000175984,Red
ENSG00000143947,Red
ENSG00000136935,Red
ENSG00000100266,Red
ENSG00000136933,Red
ENSG00000181704,Red
ENSG00000120805,Red
ENSG00000088727,Red
ENSG00000130787,Red
ENSG00000101160,Red
ENSG00000135968,Red
ENSG00000164695,Red
ENSG00000135218,Red
ENSG00000168374,Red
ENSG00000170027,Red
ENSG00000100280,Red
ENSG00000135823,Red
ENSG00000130340,Red
ENSG00000124882,Red
ENSG00000213983,Red
ENSG00000139116,Red
ENSG00000179331,Red
ENSG00000223501,Red
ENSG00000164265,Red
ENSG00000089006,Red
ENSG00000151746,Red
ENSG00000165912,Red
ENSG00000072958,Red
ENSG00000054116,Red
ENSG00000169891,Red
ENSG00000019169,Red
ENSG00000114745,Red
ENSG00000129083,Red
ENSG00000162409,Red
ENSG00000106299,Red
ENSG00000197122,Red
ENSG00000136111,Red
ENSG00000176986,Red
ENSG00000111540,Red
ENSG00000155961,Red
ENSG00000174996,Red
ENSG00000257923,Red
ENSG00000205302,Red
ENSG00000006125,Red
ENSG00000113441,Red
ENSG00000106617,Red
ENSG00000070371,Red
ENSG00000134339,Red
ENSG00000182585,Red
ENSG00000136240,Red
ENSG00000153130,Red
ENSG00000249884,Red
ENSG00000131475,Red
ENSG00000130475,Red
ENSG00000029725,Red
ENSG00000124222,Red
ENSG00000099940,Red
ENSG00000101199,Red
ENSG00000125814,Red
ENSG00000010327,Red
ENSG00000073921,Red
ENSG00000264364,Red
ENSG00000113615,Red
ENSG00000142208,Red
ENSG00000166747,Red
ENSG00000137877,Red
ENSG00000133103,Red
ENSG00000075785,Red
ENSG00000011454,Red
ENSG00000167461,Red
ENSG00000169727,Red
ENSG00000089177,Red
ENSG00000100228,Red
ENSG00000100342,Red
ENSG00000166847,Red
ENSG00000136874,Red
ENSG00000008256,Red
ENSG00000087086,Red
ENSG00000170471,Red
ENSG00000198837,Red
ENSG00000081014,Red
ENSG00000085063,Red
ENSG00000196169,Red
ENSG00000184432,Red
ENSG00000150527,Red
ENSG00000100934,Red
ENSG00000095139,Red
ENSG00000145362,Red
ENSG00000130724,Red
ENSG00000220205,Red
ENSG00000047579,Red
ENSG00000141971,Red
ENSG00000275954,Red
ENSG00000189114,Red
ENSG00000177885,Red
ENSG00000130294,Red
ENSG00000157107,Red
ENSG00000065882,Red
ENSG00000106976,Red
ENSG00000150991,Red
ENSG00000205744,Red
ENSG00000197249,Red
ENSG00000115306,Red
ENSG00000132254,Red
ENSG00000136883,Red
ENSG00000178950,Red
ENSG00000135775,Red
ENSG00000196547,Red
ENSG00000072134,Red
ENSG00000136011,Red
ENSG00000146574,Red
ENSG00000107651,Red
ENSG00000003056,Red
ENSG00000167987,Red
ENSG00000117020,Red
ENSG00000069974,Red
ENSG00000084731,Red
ENSG00000109321,Red
ENSG00000084733,Red
ENSG00000177169,Red
ENSG00000127328,Red
ENSG00000108582,Red
ENSG00000108587,Red
ENSG00000138160,Red
ENSG00000134871,Red
ENSG00000066455,Red
ENSG00000079616,Red
ENSG00000073969,Red
ENSG00000068781,Red
ENSG00000143786,Red
ENSG00000148248,Red
ENSG00000135720,Red
ENSG00000174804,Red
ENSG00000144891,Red
ENSG00000077549,Red
ENSG00000168118,Red
ENSG00000174808,Red
ENSG00000221983,Red
ENSG00000114354,Red
ENSG00000138768,Red
ENSG00000074660,Red
ENSG00000127527,Red
ENSG00000119541,Red
ENSG00000136152,Red
ENSG00000138760,Red
ENSG00000164292,Red
ENSG00000134594,Red
ENSG00000126895,Red
ENSG00000144674,Red
ENSG00000169562,Red
ENSG00000100478,Red
ENSG00000124507,Red
ENSG00000164597,Red
ENSG00000177938,Red
ENSG00000181789,Red
ENSG00000104671,Red
ENSG00000144747,Red
ENSG00000111481,Red
ENSG00000007255,Red
ENSG00000121542,Red
ENSG00000157020,Red
ENSG00000149823,Red
ENSG00000123240,Red
ENSG00000122705,Red
ENSG00000134970,Red
ENSG00000131437,Red
ENSG00000104915,Red
ENSG00000073060,Red
ENSG00000011405,Red
ENSG00000143952,Red
ENSG00000152700,Red
ENSG00000196586,Red
ENSG00000131791,Red
ENSG00000243244,Red
ENSG00000099992,Red
ENSG00000004975,Red
ENSG00000165219,Red
ENSG00000126214,Red
ENSG00000188419,Red
ENSG00000138182,Red
ENSG00000147010,Red
ENSG00000137807,Red
ENSG00000184381,Red
ENSG00000188559,Red
ENSG00000132669,Red
ENSG00000144524,Red
ENSG00000107185,Red
ENSG00000197081,Red
ENSG00000132842,Red
ENSG00000166557,Red
ENSG00000114270,Red
ENSG00000187498,Red
ENSG00000204070,Red
ENSG00000108669,Red
