ID,logFC_CBE_Mayo,direction_CBE_Mayo,logFC_TCX_Mayo,direction_TCX_Mayo
ENSG00000175756,-0.03294007,NONE,0.053082438,NONE
ENSG00000244038,0.14982806,NONE,0.058633401,NONE
ENSG00000226029,-0.302877553,DOWN,-0.105750636,NONE
ENSG00000130764,0.05570021,NONE,-0.156593027,NONE
ENSG00000242485,-0.125283157,NONE,-0.108217558,NONE
ENSG00000188976,0.092637103,NONE,-0.225979762,NONE
ENSG00000157916,0.154233791,NONE,-0.034524526,NONE
ENSG00000116251,-0.013460951,NONE,-0.122192698,NONE
ENSG00000117118,0.059354541,NONE,-0.027829325,NONE
ENSG00000065526,0.149377692,NONE,0.075930711,NONE
ENSG00000041988,0.097614826,NONE,-0.142474714,NONE
ENSG00000233954,0.074678331,NONE,-0.301407695,DOWN
ENSG00000116213,-0.034115794,NONE,-0.053833814,NONE
ENSG00000117448,-0.159747306,NONE,-0.063140983,NONE
ENSG00000117410,-0.028089828,NONE,-0.143449681,NONE
ENSG00000116922,0.126873596,NONE,-0.092293693,NONE
ENSG00000197982,0.081612728,NONE,0.100742569,NONE
ENSG00000117395,0.084940539,NONE,-0.145620431,NONE
ENSG00000117308,-0.136431889,NONE,-0.16889451,NONE
ENSG00000134697,-0.115738248,NONE,-0.072405552,NONE
ENSG00000168653,-0.175621209,NONE,-0.00893276,NONE
ENSG00000175087,0.132022391,NONE,-0.123910456,NONE
ENSG00000084072,-0.136255539,NONE,-0.189730846,NONE
ENSG00000117748,-0.047190926,NONE,0.05980205,NONE
ENSG00000142937,-0.095648437,NONE,-0.03386327,NONE
ENSG00000010803,-0.355587992,DOWN,-0.007384202,NONE
ENSG00000183431,0.000913071,NONE,-0.006574665,NONE
ENSG00000163866,-0.00892119,NONE,-0.148764181,NONE
ENSG00000163877,0.00298261,NONE,-0.013315924,NONE
ENSG00000117614,0.004448555,NONE,0.065417985,NONE
ENSG00000054116,-0.077965446,NONE,-0.001467856,NONE
ENSG00000173660,-0.004743497,NONE,-0.122066935,NONE
ENSG00000126088,-0.145559906,NONE,-0.032092709,NONE
ENSG00000183520,-0.110792236,NONE,-0.090731211,NONE
ENSG00000065978,0.047230889,NONE,0.296224559,UP
ENSG00000162384,-0.35167165,DOWN,-0.132152868,NONE
ENSG00000162595,-0.6383649,DOWN,-0.056395884,NONE
ENSG00000137947,0.119509644,NONE,0.00083274,NONE
ENSG00000198841,0.088513546,NONE,-0.112337593,NONE
ENSG00000157193,0.123140753,NONE,0.032848873,NONE
ENSG00000058804,0.148346669,NONE,0.012124278,NONE
ENSG00000142892,0.031777739,NONE,0.085316121,NONE
ENSG00000116171,-0.10326665,NONE,0.096572676,NONE
ENSG00000198711,0.250990359,NONE,-0.045386833,NONE
ENSG00000123473,0.000687993,NONE,-0.037723507,NONE
ENSG00000162604,-0.12567251,NONE,-0.120250458,NONE
ENSG00000116209,-0.050575847,NONE,-0.011976494,NONE
ENSG00000116459,-0.01453924,NONE,-0.023776815,NONE
ENSG00000116752,0.028431013,NONE,-0.151029887,NONE
ENSG00000118292,-0.037052062,NONE,0.347334868,UP
ENSG00000117262,-0.306182412,DOWN,-0.189011727,NONE
ENSG00000188092,-0.369901989,DOWN,-0.214884383,NONE
ENSG00000163349,0.213970923,NONE,0.201148844,NONE
ENSG00000184270,NA,NA,NA,NA
ENSG00000224699,-0.192606087,NONE,-0.469074428,DOWN
ENSG00000266472,-0.143445433,NONE,-0.008379159,NONE
ENSG00000273136,-4.20E-05,NONE,0.160005828,NONE
ENSG00000198890,-0.133179068,NONE,-0.210094545,NONE
ENSG00000143106,-0.248275617,NONE,-0.247319035,NONE
ENSG00000117569,-0.13011579,NONE,-0.073103775,NONE
ENSG00000215717,0.012408302,NONE,0.019810429,NONE
ENSG00000065183,0.087481575,NONE,-0.00413652,NONE
ENSG00000143162,0.129444626,NONE,0.138492889,NONE
ENSG00000179085,-0.201794329,NONE,0.116103669,NONE
ENSG00000160752,0.19951002,NONE,0.063869837,NONE
ENSG00000143575,0.020902728,NONE,0.098846912,NONE
ENSG00000162755,-0.45823516,DOWN,-0.147232527,NONE
ENSG00000116586,-0.104760559,NONE,0.048291965,NONE
ENSG00000143198,-0.148891917,NONE,-0.140024905,NONE
ENSG00000143314,-0.259291029,NONE,-0.044794259,NONE
ENSG00000143436,-0.020630302,NONE,0.049861911,NONE
ENSG00000173171,-0.042588525,NONE,-0.048929499,NONE
ENSG00000162734,0.197338647,NONE,0.087336322,NONE
ENSG00000143224,-0.204780571,NONE,-0.231528383,NONE
ENSG00000159377,-0.12369435,NONE,-0.004052033,NONE
ENSG00000159352,-0.175606008,NONE,-0.048311416,NONE
ENSG00000163156,-0.161067396,NONE,-0.098314051,NONE
ENSG00000143252,-0.12815613,NONE,-0.192366786,NONE
ENSG00000198952,0.067968327,NONE,0.176487625,NONE
ENSG00000143553,0.010112418,NONE,0.258312946,NONE
ENSG00000163479,-0.121715512,NONE,-0.021774077,NONE
ENSG00000143183,0.160947751,NONE,0.101532975,NONE
ENSG00000143549,-0.029348993,NONE,-0.04424684,NONE
ENSG00000215845,0.034877076,NONE,-0.263934755,NONE
ENSG00000158773,-0.012855562,NONE,-0.03041549,NONE
ENSG00000163159,-0.001827705,NONE,0.04633747,NONE
ENSG00000162757,-0.001425802,NONE,-0.203797183,NONE
ENSG00000213047,0.065456579,NONE,-0.017792711,NONE
ENSG00000234741,-0.265689343,DOWN,-0.150326589,NONE
ENSG00000123684,-0.034456652,NONE,-0.230807944,NONE
ENSG00000077157,0.112954326,NONE,-0.164545243,NONE
ENSG00000117523,-0.138419452,NONE,-0.064680782,NONE
