ID,logFC_CBE_Mayo,direction_CBE_Mayo,logFC_TCX_Mayo,direction_TCX_Mayo,trait_PathoAD,trait_ClinAD,trait_B.amyloid,trait_Tau.tangles,custom_color_deubiquitination
ENSG00000175756,-0.03294007,NONE,0.053082438,NONE,-0.15,-2.19,-0.75,0.21,
ENSG00000244038,0.14982806,NONE,0.058633401,NONE,-2.21,-3.72,-2.23,-2.29,
ENSG00000226029,-0.302877553,DOWN,-0.105750636,NONE,NA,NA,NA,NA,
ENSG00000130764,0.05570021,NONE,-0.156593027,NONE,0.15,-1.34,-0.09,-0.14,
ENSG00000242485,-0.125283157,NONE,-0.108217558,NONE,-0.19,-0.38,-0.52,-0.01,
ENSG00000188976,0.092637103,NONE,-0.225979762,NONE,0.05,-1.75,-0.76,0.29,
ENSG00000157916,0.154233791,NONE,-0.034524526,NONE,-0.91,-2.44,-0.08,-1.94,
ENSG00000116251,-0.013460951,NONE,-0.122192698,NONE,-0.03,0.74,0.23,0.41,
ENSG00000117118,0.059354541,NONE,-0.027829325,NONE,-1.46,-0.85,-0.95,-1.71,
ENSG00000065526,0.149377692,NONE,0.075930711,NONE,0.91,1.64,2.03,0.14,
ENSG00000041988,0.097614826,NONE,-0.142474714,NONE,-0.04,0.03,-0.52,-0.04,
ENSG00000233954,0.074678331,NONE,-0.301407695,DOWN,NA,NA,NA,NA,
ENSG00000116213,-0.034115794,NONE,-0.053833814,NONE,-0.08,0.33,-0.51,-0.25,
ENSG00000117448,-0.159747306,NONE,-0.063140983,NONE,-1.04,-2.42,-1.73,-1.15,
ENSG00000117410,-0.028089828,NONE,-0.143449681,NONE,0.14,-0.11,-0.23,0.21,
ENSG00000116922,0.126873596,NONE,-0.092293693,NONE,-1.38,-0.67,-0.67,-1.44,
ENSG00000197982,0.081612728,NONE,0.100742569,NONE,0.25,0.23,1.44,0,
ENSG00000117395,0.084940539,NONE,-0.145620431,NONE,-1.46,-2.31,-2.54,-2.08,
ENSG00000117308,-0.136431889,NONE,-0.16889451,NONE,-1.41,-0.92,-3.32,-0.14,
ENSG00000134697,-0.115738248,NONE,-0.072405552,NONE,-0.21,0.1,-1.04,0.4,
ENSG00000168653,-0.175621209,NONE,-0.00893276,NONE,-0.37,-0.16,-1.98,0.37,
ENSG00000175087,0.132022391,NONE,-0.123910456,NONE,-0.69,-0.86,-1.2,-0.38,
ENSG00000084072,-0.136255539,NONE,-0.189730846,NONE,-0.65,-0.4,-1.97,-0.16,
ENSG00000117748,-0.047190926,NONE,0.05980205,NONE,-1.24,-0.25,-1.02,-1.3,
ENSG00000142937,-0.095648437,NONE,-0.03386327,NONE,-0.63,-0.22,-0.27,-0.06,
ENSG00000010803,-0.355587992,DOWN,-0.007384202,NONE,0.41,1.26,-0.32,0.89,
ENSG00000183431,0.000913071,NONE,-0.006574665,NONE,-0.97,-1.26,-0.6,-1.53,
ENSG00000163866,-0.00892119,NONE,-0.148764181,NONE,NA,NA,NA,NA,
ENSG00000163877,0.00298261,NONE,-0.013315924,NONE,0.65,1.38,2.5,0.19,
ENSG00000117614,0.004448555,NONE,0.065417985,NONE,0.17,0.16,0.81,1.29,
ENSG00000054116,-0.077965446,NONE,-0.001467856,NONE,0.18,0.94,-0.47,0.66,
ENSG00000173660,-0.004743497,NONE,-0.122066935,NONE,-0.49,0.16,-1.5,0.05,
ENSG00000126088,-0.145559906,NONE,-0.032092709,NONE,0.05,-0.29,-0.83,0.45,
ENSG00000183520,-0.110792236,NONE,-0.090731211,NONE,NA,NA,NA,NA,
ENSG00000065978,0.047230889,NONE,0.296224559,UP,0.77,2.59,2.79,0.13,
ENSG00000162384,-0.35167165,DOWN,-0.132152868,NONE,-0.82,-1.27,-0.65,-0.75,
ENSG00000162595,-0.6383649,DOWN,-0.056395884,NONE,-0.42,-0.46,-0.4,-0.14,
ENSG00000137947,0.119509644,NONE,0.00083274,NONE,-0.51,0.52,-0.48,-0.52,
ENSG00000198841,0.088513546,NONE,-0.112337593,NONE,-0.2,-0.52,-0.64,-0.12,
ENSG00000157193,0.123140753,NONE,0.032848873,NONE,0.31,0.82,0.17,-0.58,
ENSG00000058804,0.148346669,NONE,0.012124278,NONE,NA,NA,NA,NA,
ENSG00000142892,0.031777739,NONE,0.085316121,NONE,-0.19,0.38,0.01,-0.93,
ENSG00000116171,-0.10326665,NONE,0.096572676,NONE,-0.19,0.34,0.91,0.18,
ENSG00000198711,0.250990359,NONE,-0.045386833,NONE,NA,NA,NA,NA,
