Gene1,Gene2,Score
ENSG00000069431,ENSG00000187486,0.990732
ENSG00000138029,ENSG00000084754,0.99998
ENSG00000153767,ENSG00000197265,0.97317
ENSG00000102981,ENSG00000004975,0.995887
ENSG00000070808,ENSG00000135341,0.992371
ENSG00000145675,ENSG00000121879,0.997185
ENSG00000197122,ENSG00000089159,0.993659
ENSG00000127928,ENSG00000078369,0.997201
ENSG00000168522,ENSG00000257365,0.999979
ENSG00000020922,ENSG00000113522,0.999963
ENSG00000172977,ENSG00000149311,0.991241
ENSG00000103275,ENSG00000116030,0.998302
ENSG00000169139,ENSG00000177889,0.999527
ENSG00000012048,ENSG00000138376,0.999934
ENSG00000188612,ENSG00000137337,0.95578
ENSG00000163605,ENSG00000149923,0.974288
ENSG00000051180,ENSG00000139618,0.998281
ENSG00000115904,ENSG00000177885,0.974394
ENSG00000134057,ENSG00000170312,0.997751
ENSG00000074219,ENSG00000137693,0.995059
ENSG00000007866,ENSG00000137693,0.984507
ENSG00000112237,ENSG00000132964,0.952064
ENSG00000141510,ENSG00000171862,0.995948
ENSG00000103197,ENSG00000165699,0.999014
ENSG00000141510,ENSG00000048392,0.986913
ENSG00000141510,ENSG00000015475,0.990567
ENSG00000177595,ENSG00000141510,0.971889
ENSG00000138794,ENSG00000141510,0.995689
ENSG00000141510,ENSG00000003400,0.950493
ENSG00000141510,ENSG00000113916,0.992718
ENSG00000177606,ENSG00000115966,0.997095
ENSG00000177606,ENSG00000170345,0.999492
ENSG00000076242,ENSG00000141510,0.997648
ENSG00000141510,ENSG00000158169,0.971494
ENSG00000141510,ENSG00000135679,1
ENSG00000135679,ENSG00000198625,0.982439
ENSG00000149136,ENSG00000092201,0.967314
ENSG00000101266,ENSG00000070770,0.999769
ENSG00000141510,ENSG00000188976,0.973703
ENSG00000124762,ENSG00000137203,0.976631
ENSG00000197122,ENSG00000159216,0.96501
ENSG00000137693,ENSG00000078900,0.969645
ENSG00000110092,ENSG00000135446,0.999182
ENSG00000109819,ENSG00000173153,0.95952
ENSG00000141646,ENSG00000170365,0.97516
ENSG00000166949,ENSG00000141646,0.999702
ENSG00000109320,ENSG00000173039,0.988011
ENSG00000118689,ENSG00000112096,0.992699
ENSG00000125651,ENSG00000188342,0.997021
ENSG00000085224,ENSG00000204209,0.990975
ENSG00000117560,ENSG00000026103,0.985682
ENSG00000067182,ENSG00000204490,0.99949
ENSG00000184216,ENSG00000172936,0.97837
ENSG00000119048,ENSG00000070950,0.999615
ENSG00000121060,ENSG00000156587,0.990172
ENSG00000130175,ENSG00000089597,0.988767
ENSG00000179218,ENSG00000127022,0.998589
ENSG00000239672,ENSG00000243678,0.963263
ENSG00000221823,ENSG00000120910,0.991579
ENSG00000171791,ENSG00000015475,0.998411
ENSG00000171791,ENSG00000002330,0.975243
ENSG00000015475,ENSG00000030110,0.99401
ENSG00000164305,ENSG00000101966,0.983047
ENSG00000108387,ENSG00000101966,0.965561
ENSG00000101966,ENSG00000184047,0.978988
ENSG00000108424,ENSG00000114030,0.987853
ENSG00000175104,ENSG00000184216,0.998601
ENSG00000175104,ENSG00000134070,0.982584
ENSG00000116030,ENSG00000263528,0.974742
ENSG00000198898,ENSG00000077549,0.995237
ENSG00000077549,ENSG00000116489,0.997834
ENSG00000167110,ENSG00000114745,0.9501
ENSG00000172757,ENSG00000106683,0.96519
ENSG00000077782,ENSG00000149294,0.988968
ENSG00000010810,ENSG00000149294,0.974588
ENSG00000184144,ENSG00000149294,0.995639
ENSG00000169855,ENSG00000099250,0.988425
ENSG00000184144,ENSG00000198910,0.997303
ENSG00000198910,ENSG00000170017,0.995713
ENSG00000198910,ENSG00000133216,0.986658
ENSG00000149294,ENSG00000198910,0.965983
ENSG00000198910,ENSG00000099250,0.991444
ENSG00000169032,ENSG00000102882,0.999535
ENSG00000100030,ENSG00000126934,0.997686
ENSG00000164171,ENSG00000150093,0.988275
ENSG00000163531,ENSG00000091129,0.990978
ENSG00000184144,ENSG00000091129,0.991779
ENSG00000183454,ENSG00000176884,0.999808
ENSG00000273079,ENSG00000176884,0.999605
ENSG00000176884,ENSG00000161509,0.99908
ENSG00000105464,ENSG00000176884,0.999641
ENSG00000198785,ENSG00000176884,0.999134
ENSG00000120251,ENSG00000155511,0.99501
ENSG00000108262,ENSG00000102606,0.98148
ENSG00000197879,ENSG00000075624,0.998566
ENSG00000111530,ENSG00000055130,0.968353
ENSG00000160691,ENSG00000141736,0.97281
ENSG00000121879,ENSG00000117461,0.999816
ENSG00000121879,ENSG00000105647,0.999738
ENSG00000033327,ENSG00000177885,0.969525
ENSG00000144228,ENSG00000121067,0.968731
ENSG00000047932,ENSG00000001626,0.955344
ENSG00000149269,ENSG00000186575,0.987916
ENSG00000149269,ENSG00000196924,0.990115
ENSG00000078142,ENSG00000196455,0.997043
ENSG00000118260,ENSG00000110092,0.992107
ENSG00000148384,ENSG00000169379,0.95675
ENSG00000254647,ENSG00000171105,0.954095
ENSG00000168036,ENSG00000100211,0.982143
ENSG00000168036,ENSG00000178585,0.965088
ENSG00000170348,ENSG00000086598,0.994886
ENSG00000115415,ENSG00000168610,0.994684
ENSG00000198909,ENSG00000161011,0.999308
ENSG00000122705,ENSG00000141367,0.999515
ENSG00000104067,ENSG00000152661,0.995493
ENSG00000152661,ENSG00000197122,0.994713
ENSG00000081479,ENSG00000153071,0.990385
ENSG00000173744,ENSG00000124333,0.957014
ENSG00000078053,ENSG00000136717,0.99806
ENSG00000130202,ENSG00000177707,0.997163
ENSG00000073008,ENSG00000177707,0.979906
ENSG00000168214,ENSG00000100603,0.996397
ENSG00000100644,ENSG00000148400,0.972052
ENSG00000148400,ENSG00000185559,0.965901
ENSG00000177885,ENSG00000110395,0.99895
ENSG00000204525,ENSG00000166710,0.999934
ENSG00000136158,ENSG00000110395,0.994172
ENSG00000187840,ENSG00000151247,0.978334
ENSG00000126456,ENSG00000185507,0.995403
ENSG00000005339,ENSG00000110092,0.995304
ENSG00000110492,ENSG00000134250,0.989957
ENSG00000109320,ENSG00000100906,0.999083
ENSG00000124762,ENSG00000141510,0.996099
ENSG00000006062,ENSG00000213341,0.992528
ENSG00000064012,ENSG00000172175,0.955211
ENSG00000073712,ENSG00000162458,0.952271
ENSG00000150093,ENSG00000166333,0.997093
ENSG00000089159,ENSG00000197702,0.998991
ENSG00000148484,ENSG00000169756,0.956898
ENSG00000107140,ENSG00000197702,0.953603
ENSG00000126261,ENSG00000142230,0.984608
ENSG00000069956,ENSG00000177606,0.992049
ENSG00000150093,ENSG00000005884,0.996875
ENSG00000186350,ENSG00000025434,0.988603
ENSG00000204231,ENSG00000025434,0.985011
ENSG00000101213,ENSG00000142208,0.968219
ENSG00000123374,ENSG00000105173,0.999783
ENSG00000164109,ENSG00000117399,0.99758
ENSG00000184557,ENSG00000168610,0.954657
ENSG00000175387,ENSG00000141646,0.999954
ENSG00000187608,ENSG00000069869,0.954326
ENSG00000187608,ENSG00000156587,0.985837
ENSG00000135605,ENSG00000141968,0.962901
ENSG00000179295,ENSG00000177885,0.986891
ENSG00000110395,ENSG00000141968,0.992838
ENSG00000213658,ENSG00000124181,0.959202
ENSG00000055208,ENSG00000135341,0.99818
ENSG00000150093,ENSG00000115232,0.995459
ENSG00000115232,ENSG00000139626,0.99279
ENSG00000166710,ENSG00000204592,0.999352
ENSG00000206450,ENSG00000166710,0.999724
ENSG00000132155,ENSG00000197122,0.997097
ENSG00000132155,ENSG00000164924,0.985161
ENSG00000141510,ENSG00000075218,0.991001
ENSG00000136997,ENSG00000125952,0.999132
ENSG00000133101,ENSG00000170312,0.993119
ENSG00000143815,ENSG00000108424,0.998248
ENSG00000100401,ENSG00000116030,0.997413
ENSG00000164190,ENSG00000129933,0.997493
ENSG00000116030,ENSG00000169083,0.998229
ENSG00000091831,ENSG00000116030,0.996718
ENSG00000116030,ENSG00000186350,0.977321
ENSG00000134853,ENSG00000113721,0.981908
ENSG00000132155,ENSG00000166913,0.985996
ENSG00000126934,ENSG00000169032,0.992288
ENSG00000129315,ENSG00000136807,0.998758
ENSG00000100324,ENSG00000135341,0.999237
ENSG00000145604,ENSG00000070010,0.950655
ENSG00000118503,ENSG00000137275,0.968086
ENSG00000066427,ENSG00000165280,0.986945
ENSG00000066427,ENSG00000185345,0.978203
ENSG00000179115,ENSG00000116120,0.997877
ENSG00000108854,ENSG00000175387,0.993937
ENSG00000166949,ENSG00000103266,0.995038
ENSG00000163513,ENSG00000110395,0.998302
ENSG00000154721,ENSG00000166086,0.986063
ENSG00000105974,ENSG00000172270,0.998227
ENSG00000171862,ENSG00000204713,0.961656
ENSG00000172175,ENSG00000142867,0.988203
ENSG00000141968,ENSG00000177885,0.984325
ENSG00000012048,ENSG00000116030,0.995749
ENSG00000143799,ENSG00000116030,0.984416
ENSG00000116030,ENSG00000067066,0.977586
ENSG00000116030,ENSG00000005339,0.983333
ENSG00000159692,ENSG00000116030,0.965253
ENSG00000204209,ENSG00000116030,0.997821
ENSG00000116030,ENSG00000100393,0.995612
ENSG00000196498,ENSG00000116030,0.989607
ENSG00000084676,ENSG00000116030,0.994547
ENSG00000116030,ENSG00000116288,0.989118
ENSG00000116030,ENSG00000068024,0.97147
